LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, CHUNGARA AJATA (STAID: 557).
Blended and updated with sources: 101198 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
101198,19910501,-9999,    9
101198,19910502,-9999,    9
101198,19910503,-9999,    9
101198,19910504,-9999,    9
101198,19910505,-9999,    9
101198,19910506,-9999,    9
101198,19910507,-9999,    9
101198,19910508,-9999,    9
101198,19910509,-9999,    9
101198,19910510,-9999,    9
101198,19910511,   40,    0
101198,19910512,   20,    0
101198,19910513,   25,    0
101198,19910514,   40,    0
101198,19910515,   47,    0
101198,19910516,   47,    0
101198,19910517,   56,    0
101198,19910518,   47,    0
101198,19910519,   43,    0
101198,19910520,-9999,    9
101198,19910521,   27,    0
101198,19910522,   23,    0
101198,19910523,   30,    0
101198,19910524,   31,    0
101198,19910525,   20,    0
101198,19910526,   26,    0
101198,19910527,   29,    0
101198,19910528,   44,    0
101198,19910529,   46,    0
101198,19910530,-9999,    9
101198,19910531,   47,    0
101198,19910601,   35,    0
101198,19910602,   26,    0
101198,19910603,-9999,    9
101198,19910604,   26,    0
101198,19910605,    6,    0
101198,19910606,   14,    0
101198,19910607,   27,    0
101198,19910608,   22,    0
101198,19910609,    4,    0
101198,19910610,   27,    0
101198,19910611,   28,    0
101198,19910612,   23,    0
101198,19910613,   20,    0
101198,19910614,    8,    0
101198,19910615,   14,    0
101198,19910616,   19,    0
101198,19910617,    6,    0
101198,19910618,  -20,    0
101198,19910619,   12,    0
101198,19910620,   14,    0
101198,19910621,    8,    0
101198,19910622,   13,    0
101198,19910623,   33,    0
101198,19910624,   17,    0
101198,19910625,    9,    0
101198,19910626,   13,    0
101198,19910627,   24,    0
101198,19910628,   18,    0
101198,19910629,   20,    0
101198,19910630,-9999,    9
101198,19910701,   14,    0
101198,19910702,   15,    0
101198,19910703,   20,    0
101198,19910704,   13,    0
101198,19910705,   22,    0
101198,19910706,    2,    0
101198,19910707,   -8,    0
101198,19910708,-9999,    9
101198,19910709,-9999,    9
101198,19910710,-9999,    9
101198,19910711,-9999,    9
101198,19910712,-9999,    9
101198,19910713,-9999,    9
101198,19910714,-9999,    9
101198,19910715,   19,    0
101198,19910716,   27,    0
101198,19910717,   12,    0
101198,19910718,   10,    0
101198,19910719,   18,    0
101198,19910720,-9999,    9
101198,19910721,   15,    0
101198,19910722,-9999,    9
101198,19910723,   23,    0
101198,19910724,   17,    0
101198,19910725,   33,    0
101198,19910726,   35,    0
101198,19910727,   21,    0
101198,19910728,   34,    0
101198,19910729,   27,    0
101198,19910730,   12,    0
101198,19910731,   23,    0
101198,19910801,   47,    0
101198,19910802,   36,    0
101198,19910803,   30,    0
101198,19910804,   32,    0
101198,19910805,-9999,    9
101198,19910806,   32,    0
101198,19910807,   35,    0
101198,19910808,   29,    0
101198,19910809,   31,    0
101198,19910810,   31,    0
101198,19910811,   38,    0
101198,19910812,   30,    0
101198,19910813,   55,    0
101198,19910814,   53,    0
101198,19910815,   54,    0
101198,19910816,   38,    0
101198,19910817,   47,    0
101198,19910818,   48,    0
101198,19910819,   46,    0
101198,19910820,   49,    0
101198,19910821,   34,    0
101198,19910822,   42,    0
101198,19910823,   40,    0
101198,19910824,   50,    0
101198,19910825,   52,    0
101198,19910826,   61,    0
101198,19910827,   46,    0
101198,19910828,   27,    0
101198,19910829,   29,    0
101198,19910830,   29,    0
101198,19910831,   31,    0
101198,19910901,   33,    0
101198,19910902,   62,    0
101198,19910903,   51,    0
101198,19910904,   54,    0
101198,19910905,   49,    0
101198,19910906,   30,    0
101198,19910907,   32,    0
101198,19910908,   32,    0
101198,19910909,   26,    0
101198,19910910,   39,    0
101198,19910911,   47,    0
101198,19910912,   42,    0
101198,19910913,   46,    0
101198,19910914,   48,    0
101198,19910915,   45,    0
101198,19910916,   46,    0
101198,19910917,   38,    0
101198,19910918,   45,    0
101198,19910919,   47,    0
101198,19910920,   49,    0
101198,19910921,   55,    0
101198,19910922,   68,    0
101198,19910923,-9999,    9
101198,19910924,   74,    0
101198,19910925,   71,    0
101198,19910926,   64,    0
101198,19910927,   58,    0
101198,19910928,   64,    0
101198,19910929,   49,    0
101198,19910930,   43,    0
101198,19911001,   42,    0
101198,19911002,   60,    0
101198,19911003,   66,    0
101198,19911004,   61,    0
101198,19911005,   53,    0
101198,19911006,   64,    0
101198,19911007,   50,    0
101198,19911008,   46,    0
101198,19911009,   65,    0
101198,19911010,   59,    0
101198,19911011,   71,    0
101198,19911012,   77,    0
101198,19911013,-9999,    9
101198,19911014,   86,    0
101198,19911015,   78,    0
101198,19911016,   72,    0
101198,19911017,   74,    0
101198,19911018,   58,    0
101198,19911019,   51,    0
101198,19911020,   44,    0
101198,19911021,   61,    0
101198,19911022,   76,    0
101198,19911023,   71,    0
101198,19911024,   89,    0
101198,19911025,   72,    0
101198,19911026,   63,    0
101198,19911027,   66,    0
101198,19911028,   49,    0
101198,19911029,   41,    0
101198,19911030,   41,    0
101198,19911031,   57,    0
101198,19911101,   49,    0
101198,19911102,   43,    0
101198,19911103,   39,    0
101198,19911104,-9999,    9
101198,19911105,   48,    0
101198,19911106,   57,    0
101198,19911107,   58,    0
101198,19911108,   54,    0
101198,19911109,   53,    0
101198,19911110,   54,    0
101198,19911111,   46,    0
101198,19911112,   32,    0
101198,19911113,   23,    0
101198,19911114,   35,    0
101198,19911115,   38,    0
101198,19911116,   37,    0
101198,19911117,   42,    0
101198,19911118,   52,    0
101198,19911119,   48,    0
101198,19911120,   66,    0
101198,19911121,   66,    0
101198,19911122,   65,    0
101198,19911123,   74,    0
101198,19911124,   66,    0
101198,19911125,   73,    0
101198,19911126,   54,    0
101198,19911127,   80,    0
101198,19911128,   68,    0
101198,19911129,   69,    0
101198,19911130,   80,    0
101198,19911201,   88,    0
101198,19911202,   62,    0
101198,19911203,   71,    0
101198,19911204,   41,    0
101198,19911205,   55,    0
101198,19911206,   51,    0
101198,19911207,   57,    0
101198,19911208,   43,    0
101198,19911209,   44,    0
101198,19911210,   44,    0
101198,19911211,   52,    0
101198,19911212,   53,    0
101198,19911213,   46,    0
101198,19911214,   46,    0
101198,19911215,   47,    0
101198,19911216,   58,    0
101198,19911217,   65,    0
101198,19911218,   75,    0
101198,19911219,   77,    0
101198,19911220,   80,    0
