LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, PARINACOTA EX ENDESA (STAID: 562).
Blended and updated with sources: 101182 101218 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
101182,19761001,-9999,    9
101182,19761002,-9999,    9
101182,19761003,-9999,    9
101182,19761004,   33,    0
101182,19761005,   21,    0
101182,19761006,   23,    0
101182,19761007,   29,    0
101182,19761008,   25,    0
101182,19761009,   32,    0
101182,19761010,   22,    0
101182,19761011,   62,    0
101182,19761012,   53,    0
101182,19761013,   56,    0
101182,19761014,   55,    0
101182,19761015,   50,    0
101182,19761016,   32,    0
101182,19761017,   17,    0
101182,19761018,   17,    0
101182,19761019,   31,    0
101182,19761020,   39,    0
101182,19761021,   54,    0
101182,19761022,   58,    0
101182,19761023,   55,    0
101182,19761024,   37,    0
101182,19761025,   19,    0
101182,19761026,   27,    0
101182,19761027,   17,    0
101182,19761028,   28,    0
101182,19761029,   23,    0
101182,19761030,   39,    0
101182,19761031,   30,    0
101182,19761101,   31,    0
101182,19761102,   38,    0
101182,19761103,   12,    0
101182,19761104,   21,    0
101182,19761105,   26,    0
101182,19761106,   38,    0
101182,19761107,   35,    0
101182,19761108,   50,    0
101182,19761109,   54,    0
101182,19761110,   59,    0
101182,19761111,   49,    0
101182,19761112,   45,    0
101182,19761113,   29,    0
101182,19761114,   22,    0
101182,19761115,   20,    0
101182,19761116,   28,    0
101182,19761117,   36,    0
101182,19761118,   27,    0
101182,19761119,   47,    0
101182,19761120,   54,    0
101182,19761121,   65,    0
101182,19761122,   71,    0
101182,19761123,   70,    0
101182,19761124,   67,    0
101182,19761125,   61,    0
101182,19761126,   61,    0
101182,19761127,   51,    0
101182,19761128,   52,    0
101182,19761129,-9999,    9
101182,19761130,-9999,    9
101182,19761201,-9999,    9
101182,19761202,-9999,    9
101182,19761203,-9999,    9
101182,19761204,-9999,    9
101182,19761205,-9999,    9
101182,19761206,-9999,    9
101182,19761207,   63,    0
101182,19761208,   57,    0
101182,19761209,   62,    0
101182,19761210,   59,    0
101182,19761211,   65,    0
101182,19761212,   73,    0
101182,19761213,   65,    0
101182,19761214,   54,    0
101182,19761215,   22,    0
101182,19761216,    4,    0
101182,19761217,    9,    0
101182,19761218,   30,    0
101182,19761219,   22,    0
101182,19761220,   42,    0
101182,19761221,   43,    0
101182,19761222,   47,    0
101182,19761223,-9999,    9
101182,19761224,-9999,    9
101182,19761225,   71,    0
101182,19761226,   62,    0
101182,19761227,   56,    0
101182,19761228,   30,    0
101182,19761229,   55,    0
101182,19761230,   53,    0
101182,19761231,   70,    0
101182,19770101,   55,    0
101182,19770102,   46,    0
101182,19770103,   50,    0
101182,19770104,   56,    0
101182,19770105,   71,    0
101182,19770106,   80,    0
101182,19770107,   51,    0
101182,19770108,   47,    0
101182,19770109,   58,    0
101182,19770110,   61,    0
101182,19770111,   38,    0
101182,19770112,   49,    0
101182,19770113,   36,    0
101182,19770114,   63,    0
101182,19770115,   32,    0
101182,19770116,   52,    0
101182,19770117,   55,    0
101182,19770118,   44,    0
101182,19770119,   57,    0
101182,19770120,   63,    0
101182,19770121,   63,    0
101182,19770122,   52,    0
101182,19770123,   53,    0
101182,19770124,-9999,    9
101182,19770125,-9999,    9
101182,19770126,-9999,    9
101182,19770127,-9999,    9
101182,19770128,-9999,    9
101182,19770129,-9999,    9
101182,19770130,-9999,    9
101182,19770131,-9999,    9
101182,19770201,-9999,    9
101182,19770202,-9999,    9
101182,19770203,   53,    0
101182,19770204,   73,    0
101182,19770205,   59,    0
101182,19770206,   57,    0
101182,19770207,   29,    0
101182,19770208,   31,    0
101182,19770209,   19,    0
101182,19770210,   10,    0
101182,19770211,   40,    0
101182,19770212,   27,    0
101182,19770213,   15,    0
101182,19770214,    4,    0
101182,19770215,  -14,    0
101182,19770216,    0,    0
101182,19770217,  -27,    0
101182,19770218,   -2,    0
101182,19770219,    5,    0
101182,19770220,  -16,    0
101182,19770221,  -25,    0
101182,19770222,  -23,    0
101182,19770223,  -19,    0
101182,19770224,  -11,    0
101182,19770225,  -20,    0
101182,19770226,  -27,    0
101182,19770227,  -30,    0
101182,19770228,  -22,    0
101182,19770301,  -32,    0
101182,19770302,  -19,    0
101182,19770303,  -13,    0
101182,19770304,  -10,    0
101182,19770305,   -8,    0
101182,19770306,  -20,    0
101182,19770307,   -5,    0
101182,19770308,    9,    0
101182,19770309,    0,    0
101182,19770310,   15,    0
101182,19770311,   -3,    0
101182,19770312,  -23,    0
101182,19770313,  -20,    0
101182,19770314,   -7,    0
101182,19770315,   -1,    0
101182,19770316,    9,    0
101182,19770317,   16,    0
101182,19770318,    4,    0
101182,19770319,   10,    0
101182,19770320,   -1,    0
101182,19770321,  -13,    0
101182,19770322,  -23,    0
101182,19770323,  -20,    0
101182,19770324,  -13,    0
101182,19770325,    0,    0
101182,19770326,  -12,    0
101182,19770327,   -5,    0
101182,19770328,  -17,    0
101182,19770329,  -22,    0
101182,19770330,  -28,    0
101182,19770331,  -42,    0
101182,19770401,  -38,    0
101182,19770402,  -30,    0
101182,19770403,  -17,    0
101182,19770404,  -26,    0
101182,19770405,  -13,    0
101182,19770406,    3,    0
101182,19770407,   -3,    0
101182,19770408,  -36,    0
101182,19770409,  -17,    0
101182,19770410,  -10,    0
101182,19770411,   -1,    0
101182,19770412,  -10,    0
101182,19770413,  -14,    0
101182,19770414,  -12,    0
101182,19770415,  -18,    0
101182,19770416,  -20,    0
101182,19770417,  -28,    0
101182,19770418,  -30,    0
101182,19770419,  -20,    0
101182,19770420,  -21,    0
101182,19770421,  -21,    0
101182,19770422,  -31,    0
101182,19770423,  -22,    0
101182,19770424,  -18,    0
101182,19770425,  -30,    0
101182,19770426,  -20,    0
101182,19770427,  -22,    0
101182,19770428,  -33,    0
101182,19770429,  -39,    0
101182,19770430,  -46,    0
101182,19770501,  -50,    0
101182,19770502,  -38,    0
101182,19770503,  -38,    0
101182,19770504,  -28,    0
101182,19770505,  -28,    0
101182,19770506,  -34,    0
101182,19770507,  -36,    0
101182,19770508,  -38,    0
101182,19770509,  -40,    0
101182,19770510,  -35,    0
101182,19770511,  -24,    0
101182,19770512,  -26,    0
101182,19770513,  -23,    0
101182,19770514,  -33,    0
101182,19770515,  -36,    0
101182,19770516,-9999,    9
101182,19770517,  -49,    0
101182,19770518,  -45,    0
101182,19770519,  -53,    0
101182,19770520,  -74,    0
101182,19770521, -103,    0
101182,19770522,  -76,    0
101182,19770523,  -42,    0
101182,19770524,  -45,    0
101182,19770525,  -47,    0
101182,19770526,  -38,    0
101182,19770527,  -48,    0
101182,19770528,  -55,    0
101182,19770529,  -43,    0
101182,19770530,  -62,    0
101182,19770531,  -73,    0
101182,19770601,  -69,    0
101182,19770602,  -57,    0
101182,19770603,  -50,    0
101182,19770604,  -51,    0
101182,19770605,  -56,    0
101182,19770606,  -48,    0
101182,19770607,  -53,    0
101182,19770608,  -57,    0
101182,19770609,  -66,    0
101182,19770610,  -69,    0
101182,19770611,  -74,    0
101182,19770612,  -73,    0
101182,19770613,  -71,    0
101182,19770614,  -69,    0
101182,19770615,  -62,    0
101182,19770616,  -69,    0
101182,19770617,  -50,    0
101182,19770618,  -57,    0
101182,19770619,  -60,    0
101182,19770620,  -76,    0
101182,19770621,  -62,    0
101182,19770622,   -3,    0
101182,19770623,  -12,    0
101182,19770624,   -2,    0
101182,19770625,   18,    0
