LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, GUALLATIRE (STAID: 564).
Blended and updated with sources: 101226 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
101226,19681201,-9999,    9
101226,19681202,-9999,    9
101226,19681203,-9999,    9
101226,19681204,-9999,    9
101226,19681205,-9999,    9
101226,19681206,-9999,    9
101226,19681207,-9999,    9
101226,19681208,-9999,    9
101226,19681209,-9999,    9
101226,19681210,-9999,    9
101226,19681211,-9999,    9
101226,19681212,-9999,    9
101226,19681213,-9999,    9
101226,19681214,-9999,    9
101226,19681215,-9999,    9
101226,19681216,-9999,    9
101226,19681217,-9999,    9
101226,19681218,-9999,    9
101226,19681219,-9999,    9
101226,19681220,   32,    0
101226,19681221,   23,    0
101226,19681222,   23,    0
101226,19681223,    0,    0
101226,19681224,   12,    0
101226,19681225,   14,    0
101226,19681226,   13,    0
101226,19681227,   22,    0
101226,19681228,   38,    0
101226,19681229,   33,    0
101226,19681230,-9999,    9
101226,19681231,-9999,    9
101226,19690101,-9999,    9
101226,19690102,-9999,    9
101226,19690103,-9999,    9
101226,19690104,-9999,    9
101226,19690105,-9999,    9
101226,19690106,-9999,    9
101226,19690107,-9999,    9
101226,19690108,-9999,    9
101226,19690109,-9999,    9
101226,19690110,-9999,    9
101226,19690111,-9999,    9
101226,19690112,-9999,    9
101226,19690113,-9999,    9
101226,19690114,-9999,    9
101226,19690115,-9999,    9
101226,19690116,-9999,    9
101226,19690117,-9999,    9
101226,19690118,-9999,    9
101226,19690119,-9999,    9
101226,19690120,-9999,    9
101226,19690121,-9999,    9
101226,19690122,-9999,    9
101226,19690123,-9999,    9
101226,19690124,-9999,    9
101226,19690125,-9999,    9
101226,19690126,-9999,    9
101226,19690127,-9999,    9
101226,19690128,-9999,    9
101226,19690129,-9999,    9
101226,19690130,-9999,    9
101226,19690131,-9999,    9
101226,19690201,-9999,    9
101226,19690202,-9999,    9
101226,19690203,-9999,    9
101226,19690204,   37,    0
101226,19690205,   60,    0
101226,19690206,   55,    0
101226,19690207,   44,    0
101226,19690208,   26,    0
101226,19690209,   16,    0
101226,19690210,   53,    0
101226,19690211,   26,    0
101226,19690212,   36,    0
101226,19690213,   44,    0
101226,19690214,   41,    0
101226,19690215,   20,    0
101226,19690216,   23,    0
101226,19690217,   68,    0
101226,19690218,   70,    0
101226,19690219,   53,    0
101226,19690220,   40,    0
101226,19690221,   54,    0
101226,19690222,   63,    0
