LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, CHILCAYA (STAID: 565).
Blended and updated with sources: 101230 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
101230,19711001,-9999,    9
101230,19711002,-9999,    9
101230,19711003,-9999,    9
101230,19711004,-9999,    9
101230,19711005,-9999,    9
101230,19711006,-9999,    9
101230,19711007,-9999,    9
101230,19711008,-9999,    9
101230,19711009,-9999,    9
101230,19711010,-9999,    9
101230,19711011,-9999,    9
101230,19711012,-9999,    9
101230,19711013,-9999,    9
101230,19711014,-9999,    9
101230,19711015,-9999,    9
101230,19711016,-9999,    9
101230,19711017,-9999,    9
101230,19711018,-9999,    9
101230,19711019,-9999,    9
101230,19711020,-9999,    9
101230,19711021,-9999,    9
101230,19711022,-9999,    9
101230,19711023,-9999,    9
101230,19711024,-9999,    9
101230,19711025,-9999,    9
101230,19711026,   35,    0
101230,19711027,   39,    0
101230,19711028,   40,    0
101230,19711029,   22,    0
101230,19711030,   -3,    0
101230,19711031,   13,    0
101230,19711101,-9999,    9
101230,19711102,-9999,    9
101230,19711103,   30,    0
101230,19711104,-9999,    9
101230,19711105,-9999,    9
101230,19711106,-9999,    9
101230,19711107,-9999,    9
101230,19711108,-9999,    9
101230,19711109,-9999,    9
101230,19711110,-9999,    9
101230,19711111,-9999,    9
101230,19711112,-9999,    9
101230,19711113,-9999,    9
101230,19711114,-9999,    9
101230,19711115,-9999,    9
101230,19711116,-9999,    9
101230,19711117,-9999,    9
101230,19711118,-9999,    9
101230,19711119,-9999,    9
101230,19711120,-9999,    9
101230,19711121,-9999,    9
101230,19711122,-9999,    9
101230,19711123,-9999,    9
101230,19711124,-9999,    9
101230,19711125,-9999,    9
101230,19711126,-9999,    9
101230,19711127,   -9,    0
101230,19711128,-9999,    9
101230,19711129,    7,    0
101230,19711130,   44,    0
101230,19711201,   51,    0
101230,19711202,   33,    0
101230,19711203,   27,    0
101230,19711204,   44,    0
101230,19711205,   37,    0
101230,19711206,   66,    0
101230,19711207,   69,    0
101230,19711208,   60,    0
101230,19711209,   31,    0
101230,19711210,   36,    0
101230,19711211,   64,    0
101230,19711212,   55,    0
101230,19711213,-9999,    9
101230,19711214,-9999,    9
101230,19711215,   72,    0
101230,19711216,   69,    0
101230,19711217,   67,    0
101230,19711218,   51,    0
101230,19711219,   59,    0
101230,19711220,   64,    0
101230,19711221,   65,    0
101230,19711222,   60,    0
101230,19711223,   41,    0
101230,19711224,   38,    0
101230,19711225,   51,    0
101230,19711226,   46,    0
101230,19711227,   49,    0
101230,19711228,   39,    0
101230,19711229,   49,    0
101230,19711230,   63,    0
101230,19711231,   55,    0
101230,19720101,   49,    0
101230,19720102,   37,    0
101230,19720103,   58,    0
101230,19720104,   48,    0
101230,19720105,   50,    0
101230,19720106,   37,    0
101230,19720107,   42,    0
101230,19720108,   49,    0
101230,19720109,   48,    0
101230,19720110,   24,    0
101230,19720111,   36,    0
101230,19720112,   41,    0
101230,19720113,   45,    0
101230,19720114,   42,    0
101230,19720115,   45,    0
101230,19720116,   38,    0
101230,19720117,   43,    0
101230,19720118,   43,    0
101230,19720119,   50,    0
101230,19720120,   43,    0
101230,19720121,   55,    0
101230,19720122,   54,    0
101230,19720123,   53,    0
