LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, PACOLLO (STAID: 584).
Blended and updated with sources: 101306 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
101306,19781101,-9999,    9
101306,19781102,-9999,    9
101306,19781103,-9999,    9
101306,19781104,-9999,    9
101306,19781105,-9999,    9
101306,19781106,-9999,    9
101306,19781107,-9999,    9
101306,19781108,-9999,    9
101306,19781109,-9999,    9
101306,19781110,-9999,    9
101306,19781111,-9999,    9
101306,19781112,-9999,    9
101306,19781113,-9999,    9
101306,19781114,-9999,    9
101306,19781115,-9999,    9
101306,19781116,-9999,    9
101306,19781117,-9999,    9
101306,19781118,-9999,    9
101306,19781119,-9999,    9
101306,19781120,   70,    0
101306,19781121,   73,    0
101306,19781122,   86,    0
101306,19781123,   79,    0
101306,19781124,   80,    0
101306,19781125,   82,    0
101306,19781126,   86,    0
101306,19781127,   84,    0
101306,19781128,   77,    0
101306,19781129,   64,    0
101306,19781130,   62,    0
101306,19781201,   67,    0
101306,19781202,   78,    0
101306,19781203,   79,    0
101306,19781204,   47,    0
101306,19781205,   44,    0
101306,19781206,   46,    0
101306,19781207,   61,    0
101306,19781208,   58,    0
101306,19781209,   51,    0
101306,19781210,   72,    0
101306,19781211,   65,    0
101306,19781212,   72,    0
101306,19781213,   67,    0
101306,19781214,   71,    0
101306,19781215,   72,    0
101306,19781216,   68,    0
101306,19781217,   76,    0
101306,19781218,   62,    0
101306,19781219,   64,    0
101306,19781220,   66,    0
101306,19781221,   69,    0
101306,19781222,   77,    0
101306,19781223,   81,    0
101306,19781224,   81,    0
101306,19781225,   87,    0
101306,19781226,   81,    0
101306,19781227,   80,    0
101306,19781228,   79,    0
101306,19781229,   88,    0
101306,19781230,   78,    0
101306,19781231,   75,    0
101306,19790101,   47,    0
101306,19790102,   68,    0
101306,19790103,   76,    0
101306,19790104,   72,    0
101306,19790105,   75,    0
101306,19790106,   58,    0
101306,19790107,   38,    0
101306,19790108,   58,    0
101306,19790109,   58,    0
101306,19790110,   54,    0
101306,19790111,   56,    0
101306,19790112,   62,    0
101306,19790113,   72,    0
101306,19790114,   59,    0
101306,19790115,   42,    0
101306,19790116,   34,    0
101306,19790117,   42,    0
101306,19790118,   62,    0
101306,19790119,   73,    0
101306,19790120,   73,    0
101306,19790121,   69,    0
101306,19790122,   48,    0
101306,19790123,   42,    0
101306,19790124,   50,    0
101306,19790125,   32,    0
101306,19790126,   57,    0
101306,19790127,   66,    0
101306,19790128,   74,    0
101306,19790129,   47,    0
101306,19790130,   53,    0
101306,19790131,   63,    0
101306,19790201,   54,    0
101306,19790202,   61,    0
101306,19790203,   61,    0
101306,19790204,   70,    0
101306,19790205,   70,    0
101306,19790206,   62,    0
101306,19790207,   70,    0
101306,19790208,   68,    0
101306,19790209,   62,    0
101306,19790210,   57,    0
101306,19790211,   75,    0
101306,19790212,   56,    0
101306,19790213,   47,    0
101306,19790214,   44,    0
101306,19790215,   50,    0
101306,19790216,   54,    0
101306,19790217,   52,    0
101306,19790218,   72,    0
101306,19790219,   76,    0
101306,19790220,   68,    0
101306,19790221,   67,    0
101306,19790222,   69,    0
101306,19790223,   66,    0
101306,19790224,   54,    0
101306,19790225,   64,    0
101306,19790226,   84,    0
101306,19790227,   77,    0
101306,19790228,   65,    0
101306,19790301,   80,    0
101306,19790302,   80,    0
101306,19790303,   67,    0
101306,19790304,   63,    0
101306,19790305,   47,    0
101306,19790306,   46,    0
101306,19790307,   46,    0
101306,19790308,   54,    0
101306,19790309,   59,    0
101306,19790310,   61,    0
101306,19790311,   47,    0
101306,19790312,   30,    0
101306,19790313,   38,    0
101306,19790314,   45,    0
101306,19790315,   55,    0
101306,19790316,   70,    0
101306,19790317,   69,    0
101306,19790318,   64,    0
101306,19790319,   82,    0
