SOUID,    DATE,   TG, Q_TG
101350,19741201,-9999,    9
101350,19741202,-9999,    9
101350,19741203,-9999,    9
101350,19741204,-9999,    9
101350,19741205,-9999,    9
101350,19741206,-9999,    9
101350,19741207,-9999,    9
101350,19741208,-9999,    9
101350,19741209,-9999,    9
101350,19741210,-9999,    9
101350,19741211,-9999,    9
101350,19741212,-9999,    9
101350,19741213,-9999,    9
101350,19741214,-9999,    9
101350,19741215,-9999,    9
101350,19741216,-9999,    9
101350,19741217,-9999,    9
101350,19741218,-9999,    9
101350,19741219,-9999,    9
101350,19741220,-9999,    9
101350,19741221,-9999,    9
101350,19741222,-9999,    9
101350,19741223,-9999,    9
101350,19741224,-9999,    9
101350,19741225,-9999,    9
101350,19741226,-9999,    9
101350,19741227,-9999,    9
101350,19741228,-9999,    9
101350,19741229,-9999,    9
101350,19741230,-9999,    9
101350,19741231,  206,    0
101350,19750101,  211,    0
101350,19750102,  208,    0
101350,19750103,  210,    0
101350,19750104,  214,    0
101350,19750105,  219,    0
101350,19750106,  206,    0
101350,19750107,  210,    0
101350,19750108,  212,    0
101350,19750109,  214,    0
101350,19750110,  217,    0
101350,19750111,  213,    0
101350,19750112,  211,    0
101350,19750113,  215,    0
101350,19750114,  211,    0
101350,19750115,  215,    0
101350,19750116,  217,    0
101350,19750117,  221,    0
101350,19750118,  220,    0
101350,19750119,  209,    0
101350,19750120,  212,    0
101350,19750121,  217,    0
101350,19750122,  225,    0
101350,19750123,  225,    0
101350,19750124,  217,    0
101350,19750125,  209,    0
101350,19750126,  213,    0
101350,19750127,  223,    0
101350,19750128,  220,    0
101350,19750129,  217,    0
101350,19750130,  228,    0
101350,19750131,  228,    0
101350,19750201,  236,    0
101350,19750202,  235,    0
101350,19750203,  237,    0
101350,19750204,  240,    0
101350,19750205,  236,    0
101350,19750206,  219,    0
101350,19750207,  220,    0
101350,19750208,  223,    0
101350,19750209,  216,    0
101350,19750210,  211,    0
101350,19750211,  213,    0
101350,19750212,  216,    0
101350,19750213,  220,    0
101350,19750214,  225,    0
101350,19750215,  225,    0
101350,19750216,  228,    0
101350,19750217,  227,    0
101350,19750218,  230,    0
101350,19750219,  227,    0
101350,19750220,  228,    0
101350,19750221,  225,    0
101350,19750222,  222,    0
101350,19750223,  216,    0
101350,19750224,  213,    0
101350,19750225,  223,    0
101350,19750226,  225,    0
101350,19750227,  221,    0
101350,19750228,  217,    0
101350,19750301,  215,    0
101350,19750302,  213,    0
101350,19750303,  225,    0
101350,19750304,  228,    0
101350,19750305,  221,    0
101350,19750306,  217,    0
101350,19750307,  221,    0
101350,19750308,  216,    0
101350,19750309,  215,    0
101350,19750310,  213,    0
101350,19750311,  217,    0
101350,19750312,  216,    0
101350,19750313,  215,    0
101350,19750314,  218,    0
101350,19750315,  223,    0
101350,19750316,  225,    0
101350,19750317,  220,    0
101350,19750318,  209,    0
101350,19750319,  210,    0
101350,19750320,  210,    0
101350,19750321,  210,    0
101350,19750322,  203,    0
101350,19750323,  206,    0
101350,19750324,  207,    0
101350,19750325,  205,    0
101350,19750326,  204,    0
101350,19750327,  202,    0
101350,19750328,  198,    0
101350,19750329,  201,    0
101350,19750330,  201,    0
101350,19750331,  200,    0
101350,19750401,  197,    0
101350,19750402,  193,    0
101350,19750403,  207,    0
101350,19750404,  201,    0
101350,19750405,  211,    0
101350,19750406,  204,    0
101350,19750407,  191,    0
101350,19750408,  188,    0
101350,19750409,  200,    0
101350,19750410,  203,    0
101350,19750411,  196,    0
101350,19750412,  191,    0
101350,19750413,  189,    0
