LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, U. DEL NORTE (STAID: 597).
Blended and updated with sources: 101350 101358 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
101350,19741201,-9999,    9
101350,19741202,-9999,    9
101350,19741203,-9999,    9
101350,19741204,-9999,    9
101350,19741205,-9999,    9
101350,19741206,-9999,    9
101350,19741207,-9999,    9
101350,19741208,-9999,    9
101350,19741209,-9999,    9
101350,19741210,-9999,    9
101350,19741211,-9999,    9
101350,19741212,-9999,    9
101350,19741213,-9999,    9
101350,19741214,-9999,    9
101350,19741215,-9999,    9
101350,19741216,-9999,    9
101350,19741217,-9999,    9
101350,19741218,-9999,    9
101350,19741219,-9999,    9
101350,19741220,-9999,    9
101350,19741221,-9999,    9
101350,19741222,-9999,    9
101350,19741223,-9999,    9
101350,19741224,-9999,    9
101350,19741225,-9999,    9
101350,19741226,-9999,    9
101350,19741227,-9999,    9
101350,19741228,-9999,    9
101350,19741229,-9999,    9
101350,19741230,-9999,    9
101350,19741231,  206,    0
101350,19750101,  211,    0
101350,19750102,  208,    0
101350,19750103,  210,    0
101350,19750104,  214,    0
101350,19750105,  219,    0
101350,19750106,  206,    0
101350,19750107,  210,    0
101350,19750108,  212,    0
101350,19750109,  214,    0
101350,19750110,  217,    0
101350,19750111,  213,    0
101350,19750112,  211,    0
101350,19750113,  215,    0
101350,19750114,  211,    0
101350,19750115,  215,    0
101350,19750116,  217,    0
101350,19750117,  221,    0
101350,19750118,  220,    0
101350,19750119,  209,    0
101350,19750120,  212,    0
101350,19750121,  217,    0
101350,19750122,  225,    0
101350,19750123,  225,    0
101350,19750124,  217,    0
101350,19750125,  209,    0
101350,19750126,  213,    0
101350,19750127,  223,    0
101350,19750128,  220,    0
101350,19750129,  217,    0
101350,19750130,  228,    0
101350,19750131,  228,    0
101350,19750201,  236,    0
101350,19750202,  235,    0
101350,19750203,  237,    0
101350,19750204,  240,    0
101350,19750205,  236,    0
101350,19750206,  219,    0
101350,19750207,  220,    0
101350,19750208,  223,    0
101350,19750209,  216,    0
101350,19750210,  211,    0
101350,19750211,  213,    0
101350,19750212,  216,    0
101350,19750213,  220,    0
101350,19750214,  225,    0
101350,19750215,  225,    0
101350,19750216,  228,    0
101350,19750217,  227,    0
101350,19750218,  230,    0
101350,19750219,  227,    0
101350,19750220,  228,    0
101350,19750221,  225,    0
101350,19750222,  222,    0
101350,19750223,  216,    0
101350,19750224,  213,    0
101350,19750225,  223,    0
101350,19750226,  225,    0
101350,19750227,  221,    0
101350,19750228,  217,    0
101350,19750301,  215,    0
101350,19750302,  213,    0
101350,19750303,  225,    0
101350,19750304,  228,    0
101350,19750305,  221,    0
101350,19750306,  217,    0
101350,19750307,  221,    0
101350,19750308,  216,    0
101350,19750309,  215,    0
101350,19750310,  213,    0
101350,19750311,  217,    0
101350,19750312,  216,    0
101350,19750313,  215,    0
