LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, EL BUITRE AERODROMO (STAID: 598).
Blended and updated with sources: 101362 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
101362,19850801,-9999,    9
101362,19850802,-9999,    9
101362,19850803,-9999,    9
101362,19850804,-9999,    9
101362,19850805,-9999,    9
101362,19850806,-9999,    9
101362,19850807,-9999,    9
101362,19850808,-9999,    9
101362,19850809,-9999,    9
101362,19850810,-9999,    9
101362,19850811,-9999,    9
101362,19850812,-9999,    9
101362,19850813,-9999,    9
101362,19850814,-9999,    9
101362,19850815,-9999,    9
101362,19850816,-9999,    9
101362,19850817,-9999,    9
101362,19850818,-9999,    9
101362,19850819,-9999,    9
101362,19850820,-9999,    9
101362,19850821,-9999,    9
101362,19850822,-9999,    9
101362,19850823,-9999,    9
101362,19850824,-9999,    9
101362,19850825,-9999,    9
101362,19850826,-9999,    9
101362,19850827,  154,    0
101362,19850828,  163,    0
101362,19850829,  167,    0
101362,19850830,-9999,    9
101362,19850831,-9999,    9
101362,19850901,-9999,    9
101362,19850902,-9999,    9
101362,19850903,  168,    0
101362,19850904,  166,    0
101362,19850905,  167,    0
101362,19850906,  174,    0
101362,19850907,  172,    0
101362,19850908,  188,    0
101362,19850909,-9999,    9
101362,19850910,  171,    0
101362,19850911,  184,    0
101362,19850912,  171,    0
101362,19850913,  168,    0
101362,19850914,  195,    0
101362,19850915,  178,    0
101362,19850916,  175,    0
101362,19850917,  171,    0
101362,19850918,  178,    0
101362,19850919,  173,    0
101362,19850920,  170,    0
101362,19850921,  171,    0
101362,19850922,  173,    0
101362,19850923,  168,    0
101362,19850924,  161,    0
101362,19850925,  165,    0
101362,19850926,  173,    0
101362,19850927,  178,    0
101362,19850928,  171,    0
101362,19850929,  177,    0
101362,19850930,  177,    0
101362,19851001,  191,    0
101362,19851002,  189,    0
101362,19851003,  189,    0
101362,19851004,  193,    0
101362,19851005,  190,    0
101362,19851006,  198,    0
101362,19851007,  190,    0
101362,19851008,  189,    0
101362,19851009,  178,    0
101362,19851010,  174,    0
101362,19851011,  176,    0
101362,19851012,  166,    0
101362,19851013,  180,    0
101362,19851014,  178,    0
101362,19851015,  182,    0
101362,19851016,  188,    0
101362,19851017,  188,    0
101362,19851018,  195,    0
101362,19851019,  177,    0
101362,19851020,  185,    0
101362,19851021,  192,    0
101362,19851022,  202,    0
101362,19851023,  202,    0
101362,19851024,  210,    0
101362,19851025,  209,    0
101362,19851026,  201,    0
101362,19851027,  193,    0
101362,19851028,  195,    0
101362,19851029,  205,    0
101362,19851030,  208,    0
101362,19851031,  205,    0
101362,19851101,  203,    0
101362,19851102,  215,    0
101362,19851103,  198,    0
101362,19851104,  185,    0
101362,19851105,  179,    0
101362,19851106,  187,    0
101362,19851107,  202,    0
101362,19851108,  203,    0
101362,19851109,  209,    0
101362,19851110,  210,    0
101362,19851111,  203,    0
101362,19851112,  195,    0
101362,19851113,  200,    0
101362,19851114,  206,    0
101362,19851115,  211,    0
101362,19851116,  200,    0
101362,19851117,  192,    0
101362,19851118,  205,    0
101362,19851119,  206,    0
101362,19851120,  217,    0
101362,19851121,  208,    0
101362,19851122,  215,    0
101362,19851123,  223,    0
101362,19851124,  217,    0
101362,19851125,  216,    0
101362,19851126,  219,    0
101362,19851127,  214,    0
101362,19851128,  215,    0
101362,19851129,  225,    0
101362,19851130,  226,    0
101362,19851201,  221,    0
101362,19851202,  230,    0
101362,19851203,  225,    0
101362,19851204,  232,    0
101362,19851205,  223,    0
101362,19851206,  227,    0
101362,19851207,  229,    0
101362,19851208,  228,    0
101362,19851209,  220,    0
101362,19851210,  236,    0
101362,19851211,  237,    0
101362,19851212,  238,    0
101362,19851213,  236,    0
101362,19851214,  244,    0
101362,19851215,  227,    0
101362,19851216,  236,    0
101362,19851217,  226,    0
101362,19851218,  234,    0
101362,19851219,  234,    0
101362,19851220,  235,    0
101362,19851221,  249,    0
101362,19851222,  253,    0
101362,19851223,  256,    0
101362,19851224,  256,    0
101362,19851225,  269,    0
101362,19851226,  278,    0
101362,19851227,  270,    0
101362,19851228,  249,    0
101362,19851229,  240,    0
101362,19851230,  236,    0
101362,19851231,  237,    0
101362,19860101,  254,    0
101362,19860102,  249,    0
101362,19860103,  251,    0
101362,19860104,  248,    0
101362,19860105,  250,    0
101362,19860106,  251,    0
101362,19860107,  235,    0
101362,19860108,  224,    0
101362,19860109,  234,    0
101362,19860110,  230,    0
101362,19860111,  219,    0
101362,19860112,  237,    0
101362,19860113,  226,    0
101362,19860114,  225,    0
101362,19860115,  238,    0
101362,19860116,  227,    0
101362,19860117,  229,    0
101362,19860118,  231,    0
101362,19860119,  236,    0
101362,19860120,  227,    0
101362,19860121,  228,    0
101362,19860122,  226,    0
101362,19860123,  233,    0
101362,19860124,  237,    0
101362,19860125,  234,    0
101362,19860126,  235,    0
101362,19860127,  241,    0
101362,19860128,  231,    0
101362,19860129,  240,    0
101362,19860130,  237,    0
101362,19860131,  236,    0
101362,19860201,  249,    0
101362,19860202,  253,    0
101362,19860203,  246,    0
101362,19860204,  244,    0
101362,19860205,  248,    0
101362,19860206,  252,    0
101362,19860207,  247,    0
101362,19860208,  252,    0
101362,19860209,  242,    0
101362,19860210,  250,    0
101362,19860211,  252,    0
101362,19860212,  254,    0
101362,19860213,  258,    0
101362,19860214,  236,    0
101362,19860215,  239,    0
101362,19860216,  223,    0
101362,19860217,  217,    0
101362,19860218,  221,    0
101362,19860219,  230,    0
101362,19860220,  232,    0
101362,19860221,  234,    0
101362,19860222,  236,    0
101362,19860223,  245,    0
101362,19860224,  236,    0
101362,19860225,  214,    0
101362,19860226,  225,    0
101362,19860227,  228,    0
101362,19860228,  225,    0
101362,19860301,  228,    0
101362,19860302,  224,    0
101362,19860303,  214,    0
101362,19860304,  223,    0
101362,19860305,  219,    0
101362,19860306,  232,    0
101362,19860307,  225,    0
101362,19860308,  229,    0
101362,19860309,  225,    0
101362,19860310,  213,    0
101362,19860311,  214,    0
101362,19860312,  217,    0
101362,19860313,  232,    0
101362,19860314,  217,    0
101362,19860315,  223,    0
101362,19860316,  226,    0
101362,19860317,  221,    0
101362,19860318,  207,    0
101362,19860319,  216,    0
101362,19860320,  210,    0
101362,19860321,  208,    0
101362,19860322,  206,    0
101362,19860323,  209,    0
101362,19860324,  199,    0
101362,19860325,  218,    0
101362,19860326,  219,    0
101362,19860327,  221,    0
101362,19860328,  230,    0
101362,19860329,  225,    0
101362,19860330,  237,    0
101362,19860331,  226,    0
101362,19860401,  223,    0
101362,19860402,  219,    0
101362,19860403,  204,    0
101362,19860404,  200,    0
101362,19860405,  206,    0
101362,19860406,  204,    0
101362,19860407,  202,    0
101362,19860408,  201,    0
101362,19860409,  205,    0
101362,19860410,  188,    0
101362,19860411,  200,    0
101362,19860412,  195,    0
101362,19860413,  188,    0
101362,19860414,  195,    0
101362,19860415,  204,    0
101362,19860416,  197,    0
101362,19860417,  199,    0
101362,19860418,  206,    0
101362,19860419,  193,    0
101362,19860420,  207,    0
101362,19860421,  189,    0
101362,19860422,  202,    0
101362,19860423,  206,    0
101362,19860424,  197,    0
101362,19860425,  196,    0
101362,19860426,  198,    0
101362,19860427,  199,    0
101362,19860428,  190,    0
101362,19860429,  191,    0
101362,19860430,  200,    0
101362,19860501,  199,    0
101362,19860502,  189,    0
101362,19860503,  196,    0
101362,19860504,  211,    0
101362,19860505,  215,    0
101362,19860506,  204,    0
101362,19860507,  200,    0
101362,19860508,  191,    0
101362,19860509,  206,    0
101362,19860510,  204,    0
101362,19860511,  202,    0
101362,19860512,  201,    0
101362,19860513,  189,    0
101362,19860514,  187,    0
101362,19860515,  183,    0
101362,19860516,  175,    0
101362,19860517,  174,    0
101362,19860518,  183,    0
101362,19860519,  203,    0
101362,19860520,  184,    0
101362,19860521,  195,    0
101362,19860522,  192,    0
101362,19860523,  181,    0
101362,19860524,  191,    0
101362,19860525,  184,    0
101362,19860526,  198,    0
101362,19860527,  170,    0
101362,19860528,  190,    0
101362,19860529,  196,    0
101362,19860530,  173,    0
101362,19860531,  174,    0
101362,19860601,  155,    0
101362,19860602,  170,    0
101362,19860603,  168,    0
101362,19860604,  181,    0
101362,19860605,  176,    0
101362,19860606,  157,    0
101362,19860607,  171,    0
101362,19860608,  153,    0
101362,19860609,  153,    0
101362,19860610,  149,    0
101362,19860611,  148,    0
101362,19860612,  144,    0
101362,19860613,  141,    0
101362,19860614,  155,    0
101362,19860615,  157,    0
101362,19860616,  161,    0
101362,19860617,  162,    0
101362,19860618,  160,    0
101362,19860619,  143,    0
101362,19860620,  157,    0
101362,19860621,  159,    0
101362,19860622,  160,    0
101362,19860623,  164,    0
101362,19860624,  171,    0
101362,19860625,  161,    0
101362,19860626,  154,    0
101362,19860627,  159,    0
101362,19860628,  169,    0
101362,19860629,  178,    0
101362,19860630,  154,    0
101362,19860701,  147,    0
101362,19860702,  149,    0
101362,19860703,  134,    0
101362,19860704,  137,    0
101362,19860705,  126,    0
101362,19860706,  125,    0
101362,19860707,  126,    0
101362,19860708,  138,    0
101362,19860709,  139,    0
101362,19860710,  150,    0
101362,19860711,  144,    0
101362,19860712,  150,    0
101362,19860713,  154,    0
101362,19860714,  145,    0
101362,19860715,  152,    0
101362,19860716,  152,    0
101362,19860717,  151,    0
101362,19860718,  167,    0
101362,19860719,  175,    0
101362,19860720,  167,    0
101362,19860721,  148,    0
101362,19860722,  140,    0
101362,19860723,  139,    0
101362,19860724,  151,    0
101362,19860725,  152,    0
101362,19860726,  141,    0
101362,19860727,  151,    0
101362,19860728,  152,    0
101362,19860729,  166,    0
101362,19860730,  161,    0
101362,19860731,  161,    0
101362,19860801,  161,    0
