LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, CHACA (STAID: 599).
Blended and updated with sources: 101366 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
101366,19681201,-9999,    9
101366,19681202,-9999,    9
101366,19681203,-9999,    9
101366,19681204,-9999,    9
101366,19681205,-9999,    9
101366,19681206,-9999,    9
101366,19681207,-9999,    9
101366,19681208,-9999,    9
101366,19681209,-9999,    9
101366,19681210,-9999,    9
101366,19681211,-9999,    9
101366,19681212,-9999,    9
101366,19681213,-9999,    9
101366,19681214,-9999,    9
101366,19681215,-9999,    9
101366,19681216,-9999,    9
101366,19681217,-9999,    9
101366,19681218,  205,    0
101366,19681219,  202,    0
101366,19681220,  205,    0
101366,19681221,  216,    0
101366,19681222,  209,    0
101366,19681223,  183,    0
101366,19681224,  179,    0
101366,19681225,  189,    0
101366,19681226,  189,    0
101366,19681227,  165,    0
101366,19681228,  163,    0
101366,19681229,  171,    0
101366,19681230,  163,    0
101366,19681231,  156,    0
101366,19690101,  158,    0
101366,19690102,  166,    0
101366,19690103,  162,    0
101366,19690104,  165,    0
101366,19690105,  162,    0
101366,19690106,  166,    0
101366,19690107,  171,    0
101366,19690108,  155,    0
101366,19690109,  163,    0
101366,19690110,  170,    0
101366,19690111,  176,    0
101366,19690112,  197,    0
101366,19690113,  219,    0
101366,19690114,  212,    0
101366,19690115,  190,    0
101366,19690116,  211,    0
101366,19690117,  206,    0
101366,19690118,  202,    0
101366,19690119,  206,    0
101366,19690120,  196,    0
101366,19690121,  188,    0
101366,19690122,  183,    0
101366,19690123,  183,    0
101366,19690124,  180,    0
101366,19690125,  189,    0
101366,19690126,  194,    0
101366,19690127,  202,    0
101366,19690128,  201,    0
101366,19690129,  197,    0
101366,19690130,  201,    0
101366,19690131,  204,    0
101366,19690201,  191,    0
101366,19690202,  205,    0
101366,19690203,  202,    0
101366,19690204,  202,    0
101366,19690205,  187,    0
101366,19690206,  183,    0
101366,19690207,  184,    0
