LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, CODPA (STAID: 600).
Blended and updated with sources: 101370 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
101370,19681201,-9999,    9
101370,19681202,-9999,    9
101370,19681203,-9999,    9
101370,19681204,-9999,    9
101370,19681205,-9999,    9
101370,19681206,-9999,    9
101370,19681207,-9999,    9
101370,19681208,-9999,    9
101370,19681209,-9999,    9
101370,19681210,-9999,    9
101370,19681211,-9999,    9
101370,19681212,-9999,    9
101370,19681213,-9999,    9
101370,19681214,-9999,    9
101370,19681215,-9999,    9
101370,19681216,-9999,    9
101370,19681217,-9999,    9
101370,19681218,  149,    0
101370,19681219,  151,    0
101370,19681220,  161,    0
101370,19681221,  156,    0
101370,19681222,  148,    0
101370,19681223,  123,    0
101370,19681224,  140,    0
101370,19681225,  114,    0
101370,19681226,  137,    0
101370,19681227,  145,    0
101370,19681228,  140,    0
101370,19681229,  146,    0
101370,19681230,  136,    0
101370,19681231,  136,    0
101370,19690101,  161,    0
101370,19690102,  143,    0
101370,19690103,  150,    0
101370,19690104,-9999,    9
101370,19690105,-9999,    9
101370,19690106,  144,    0
101370,19690107,  147,    0
101370,19690108,  169,    0
101370,19690109,  164,    0
101370,19690110,  159,    0
101370,19690111,  153,    0
101370,19690112,  169,    0
101370,19690113,  170,    0
101370,19690114,  162,    0
101370,19690115,  146,    0
101370,19690116,  143,    0
101370,19690117,  133,    0
101370,19690118,  156,    0
101370,19690119,  159,    0
101370,19690120,  151,    0
101370,19690121,  153,    0
101370,19690122,  149,    0
101370,19690123,  136,    0
101370,19690124,  145,    0
101370,19690125,  155,    0
101370,19690126,  149,    0
101370,19690127,  156,    0
101370,19690128,  166,    0
101370,19690129,  159,    0
101370,19690130,  182,    0
101370,19690131,  161,    0
101370,19690201,  164,    0
101370,19690202,  172,    0
101370,19690203,  182,    0
101370,19690204,  157,    0
101370,19690205,  158,    0
101370,19690206,  155,    0
101370,19690207,  147,    0
101370,19690208,  159,    0
101370,19690209,  158,    0
101370,19690210,  135,    0
101370,19690211,  131,    0
101370,19690212,  134,    0
101370,19690213,  142,    0
101370,19690214,  148,    0
101370,19690215,  160,    0
101370,19690216,  151,    0
101370,19690217,  148,    0
101370,19690218,  138,    0
101370,19690219,  160,    0
101370,19690220,  179,    0
101370,19690221,  161,    0
101370,19690222,  162,    0
101370,19690223,  150,    0
101370,19690224,  147,    0
101370,19690225,  144,    0
101370,19690226,  146,    0
101370,19690227,  156,    0
101370,19690228,  162,    0
101370,19690301,  170,    0
101370,19690302,  161,    0
101370,19690303,  148,    0
101370,19690304,  164,    0
101370,19690305,  160,    0
101370,19690306,  156,    0
101370,19690307,  158,    0
101370,19690308,  175,    0
101370,19690309,  161,    0
101370,19690310,  166,    0
101370,19690311,  174,    0
101370,19690312,  159,    0
101370,19690313,  156,    0
101370,19690314,  153,    0
101370,19690315,  143,    0
101370,19690316,  144,    0
101370,19690317,  129,    0
101370,19690318,  141,    0
101370,19690319,  147,    0
101370,19690320,  156,    0
101370,19690321,  152,    0
101370,19690322,  147,    0
101370,19690323,  151,    0
101370,19690324,  151,    0
101370,19690325,  156,    0
101370,19690326,  156,    0
101370,19690327,  138,    0
101370,19690328,  138,    0
101370,19690329,  144,    0
101370,19690330,  136,    0
101370,19690331,  143,    0
101370,19690401,  125,    0
101370,19690402,  134,    0
101370,19690403,  123,    0
101370,19690404,  150,    0
101370,19690405,  139,    0
101370,19690406,  133,    0
101370,19690407,  138,    0
101370,19690408,  123,    0
101370,19690409,  139,    0
101370,19690410,  138,    0
101370,19690411,  138,    0
101370,19690412,  142,    0
101370,19690413,  126,    0
101370,19690414,  129,    0
101370,19690415,  134,    0
101370,19690416,  140,    0
101370,19690417,  144,    0
101370,19690418,  135,    0
101370,19690419,  131,    0
101370,19690420,  136,    0
101370,19690421,  137,    0
101370,19690422,  131,    0
101370,19690423,  133,    0
101370,19690424,  131,    0
101370,19690425,  137,    0
101370,19690426,  131,    0
101370,19690427,  143,    0
101370,19690428,  134,    0
