LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, EL YESO EMBALSE (STAID: 860).
Blended and updated with sources: 102414 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
102414,19770701,-9999,    9
102414,19770702,-9999,    9
102414,19770703,-9999,    9
102414,19770704,-9999,    9
102414,19770705,-9999,    9
102414,19770706,-9999,    9
102414,19770707,-9999,    9
102414,19770708,-9999,    9
102414,19770709,-9999,    9
102414,19770710,-9999,    9
102414,19770711,-9999,    9
102414,19770712,-9999,    9
102414,19770713,-9999,    9
102414,19770714,-9999,    9
102414,19770715,-9999,    9
102414,19770716,-9999,    9
102414,19770717,-9999,    9
102414,19770718,-9999,    9
102414,19770719,-9999,    9
102414,19770720,-9999,    9
102414,19770721,-9999,    9
102414,19770722,-9999,    9
102414,19770723,-9999,    9
102414,19770724,-9999,    9
102414,19770725,-9999,    9
102414,19770726,  -22,    0
102414,19770727,  -12,    0
102414,19770728,   -8,    0
102414,19770729,  -26,    0
102414,19770730,  -66,    0
102414,19770731,  -54,    0
102414,19770801,  -29,    0
102414,19770802,   36,    0
102414,19770803,   19,    0
102414,19770804,   -6,    0
102414,19770805,   25,    0
102414,19770806,   13,    0
102414,19770807,   11,    0
102414,19770808,   48,    0
102414,19770809,   31,    0
102414,19770810,  -22,    0
102414,19770811,  -45,    0
102414,19770812, -111,    0
102414,19770813,  -67,    0
102414,19770814,  -73,    0
102414,19770815,-9999,    9
102414,19770816,-9999,    9
102414,19770817,    9,    0
102414,19770818,   24,    0
102414,19770819,   30,    0
102414,19770820,   20,    0
102414,19770821,   11,    0
102414,19770822,   24,    0
102414,19770823,   18,    0
102414,19770824,   25,    0
102414,19770825,   51,    0
102414,19770826,   65,    0
102414,19770827,   55,    0
102414,19770828,   49,    0
102414,19770829,   55,    0
102414,19770830,   63,    0
102414,19770831,   50,    0
102414,19770901,   57,    0
102414,19770902,   69,    0
102414,19770903,   80,    0
102414,19770904,   82,    0
102414,19770905,-9999,    9
102414,19770906,-9999,    9
102414,19770907,  103,    0
