LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, PIRQUE (STAID: 868).
Blended and updated with sources: 102446 104301 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
104301,19690101,  214,    0
104301,19690102,  214,    0
104301,19690103,-9999,    9
104301,19690104,  214,    0
104301,19690105,  222,    0
104301,19690106,  223,    0
104301,19690107,  225,    0
104301,19690108,-9999,    9
104301,19690109,  241,    0
104301,19690110,  230,    0
104301,19690111,  219,    0
104301,19690112,  206,    0
104301,19690113,  212,    0
104301,19690114,  208,    0
104301,19690115,  197,    0
104301,19690116,  193,    0
104301,19690117,  205,    0
104301,19690118,  223,    0
104301,19690119,  221,    0
104301,19690120,  197,    0
104301,19690121,  190,    0
104301,19690122,  205,    0
104301,19690123,  220,    0
104301,19690124,  194,    0
104301,19690125,  206,    0
104301,19690126,  225,    0
104301,19690127,  225,    0
104301,19690128,  235,    0
104301,19690129,  221,    0
104301,19690130,  223,    0
104301,19690131,  216,    0
104301,19690201,  201,    0
104301,19690202,  195,    0
104301,19690203,  212,    0
104301,19690204,  199,    0
104301,19690205,  203,    0
104301,19690206,  207,    0
104301,19690207,  194,    0
104301,19690208,  195,    0
104301,19690209,  186,    0
104301,19690210,  173,    0
104301,19690211,  201,    0
104301,19690212,  208,    0
104301,19690213,  181,    0
104301,19690214,  179,    0
104301,19690215,  186,    0
104301,19690216,  174,    0
104301,19690217,  173,    0
104301,19690218,-9999,    9
104301,19690219,-9999,    9
104301,19690220,  200,    0
104301,19690221,  207,    0
104301,19690222,  206,    0
104301,19690223,  201,    0
104301,19690224,  182,    0
104301,19690225,  197,    0
104301,19690226,  196,    0
104301,19690227,  203,    0
104301,19690228,  212,    0
104301,19690301,  193,    0
104301,19690302,  192,    0
104301,19690303,-9999,    9
104301,19690304,  207,    0
104301,19690305,  202,    0
104301,19690306,  194,    0
104301,19690307,  197,    0
104301,19690308,  206,    0
104301,19690309,-9999,    9
104301,19690310,-9999,    9
104301,19690311,  207,    0
104301,19690312,  200,    0
104301,19690313,  189,    0
104301,19690314,-9999,    9
104301,19690315,-9999,    9
104301,19690316,  151,    0
104301,19690317,  154,    0
104301,19690318,-9999,    9
104301,19690319,  161,    0
104301,19690320,  158,    0
104301,19690321,  176,    0
104301,19690322,  159,    0
104301,19690323,  141,    0
104301,19690324,-9999,    9
104301,19690325,  153,    0
104301,19690326,  147,    0
104301,19690327,  160,    0
104301,19690328,-9999,    9
104301,19690329,-9999,    9
104301,19690330,  115,    0
104301,19690331,  129,    0
104301,19690401,  150,    0
104301,19690402,  147,    0
104301,19690403,  150,    0
104301,19690404,  148,    0
104301,19690405,  144,    0
104301,19690406,  150,    0
104301,19690407,  156,    0
104301,19690408,  168,    0
104301,19690409,  136,    0
104301,19690410,  150,    0
104301,19690411,  157,    0
104301,19690412,  157,    0
104301,19690413,  125,    0
104301,19690414,   98,    0
104301,19690415,  131,    0
104301,19690416,  134,    0
104301,19690417,  150,    0
104301,19690418,  150,    0
104301,19690419,  152,    0
104301,19690420,  156,    0
104301,19690421,-9999,    9
104301,19690422,  160,    0
104301,19690423,  126,    0
104301,19690424,  145,    0
104301,19690425,  139,    0
104301,19690426,  127,    0
104301,19690427,  137,    0
104301,19690428,  150,    0
104301,19690429,  136,    0
104301,19690430,  107,    0
104301,19690501,  104,    0
104301,19690502,   74,    0
104301,19690503,-9999,    9
104301,19690504,  114,    0
104301,19690505,  126,    0
104301,19690506,-9999,    9
104301,19690507,  131,    0
104301,19690508,  113,    0
104301,19690509,  114,    0
104301,19690510,   96,    0
104301,19690511,   95,    0
104301,19690512,  107,    0
104301,19690513,  112,    0
104301,19690514,  104,    0
104301,19690515,  112,    0
104301,19690516,  104,    0
104301,19690517,   98,    0
104301,19690518,  118,    0
104301,19690519,  121,    0
104301,19690520,-9999,    9
104301,19690521,  117,    0
104301,19690522,   96,    0
104301,19690523,   97,    0
104301,19690524,  107,    0
104301,19690525,  120,    0
104301,19690526,  127,    0
104301,19690527,  109,    0
104301,19690528,  110,    0
104301,19690529,  125,    0
104301,19690530,  134,    0
104301,19690531,  112,    0
104301,19690601,  109,    0
104301,19690602,  101,    0
104301,19690603,   99,    0
104301,19690604,   79,    0
104301,19690605,  118,    0
104301,19690606,  134,    0
104301,19690607,  128,    0
104301,19690608,  116,    0
104301,19690609,  113,    0
104301,19690610,  108,    0
104301,19690611,   94,    0
104301,19690612,   84,    0
104301,19690613,   70,    0
104301,19690614,   74,    0
104301,19690615,   57,    0
104301,19690616,   59,    0
104301,19690617,   47,    0
104301,19690618,   68,    0
104301,19690619,   59,    0
104301,19690620,   67,    0
104301,19690621,   60,    0
104301,19690622,   77,    0
104301,19690623,   83,    0
104301,19690624,   83,    0
104301,19690625,   97,    0
104301,19690626,   82,    0
104301,19690627,   69,    0
104301,19690628,   59,    0
104301,19690629,   61,    0
104301,19690630,   68,    0
104301,19690701,   83,    0
104301,19690702,   84,    0
104301,19690703,   73,    0
104301,19690704,   57,    0
104301,19690705,   50,    0
104301,19690706,   23,    0
104301,19690707,   24,    0
104301,19690708,   30,    0
104301,19690709,   51,    0
104301,19690710,   78,    0
104301,19690711,   79,    0
104301,19690712,   94,    0
104301,19690713,  104,    0
104301,19690714,  108,    0
104301,19690715,  111,    0
104301,19690716,   75,    0
104301,19690717,   82,    0
104301,19690718,   78,    0
104301,19690719,  105,    0
104301,19690720,  120,    0
104301,19690721,  131,    0
104301,19690722,  138,    0
104301,19690723,  135,    0
104301,19690724,  120,    0
104301,19690725,   83,    0
104301,19690726,  144,    0
104301,19690727,  112,    0
104301,19690728,  105,    0
104301,19690729,   99,    0
104301,19690730,   74,    0
104301,19690731,   38,    0
104301,19690801,   54,    0
104301,19690802,   90,    0
104301,19690803,   90,    0
104301,19690804,   71,    0
104301,19690805,   42,    0
104301,19690806,   42,    0
104301,19690807,   81,    0
104301,19690808,   91,    0
104301,19690809,  103,    0
104301,19690810,   86,    0
104301,19690811,   88,    0
104301,19690812,   94,    0
104301,19690813,   94,    0
104301,19690814,  134,    0
104301,19690815,  121,    0
104301,19690816,  121,    0
104301,19690817,  125,    0
104301,19690818,  105,    0
104301,19690819,   97,    0
104301,19690820,   53,    0
104301,19690821,   97,    0
104301,19690822,   77,    0
104301,19690823,  100,    0
104301,19690824,  114,    0
104301,19690825,  120,    0
104301,19690826,   99,    0
104301,19690827,  111,    0
104301,19690828,  121,    0
104301,19690829,  135,    0
104301,19690830,  124,    0
104301,19690831,  136,    0
104301,19690901,  116,    0
104301,19690902,  125,    0
104301,19690903,  107,    0
104301,19690904,  120,    0
104301,19690905,  113,    0
104301,19690906,   96,    0
104301,19690907,  101,    0
104301,19690908,  125,    0
104301,19690909,  128,    0
104301,19690910,  135,    0
104301,19690911,  146,    0
104301,19690912,  164,    0
104301,19690913,  169,    0
104301,19690914,  164,    0
104301,19690915,  150,    0
104301,19690916,  133,    0
104301,19690917,  126,    0
