LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, CERRO CALAN (STAID: 880).
Blended and updated with sources: 102494 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
102494,19780101,-9999,    9
102494,19780102,-9999,    9
102494,19780103,  235,    0
102494,19780104,  234,    0
102494,19780105,  217,    0
102494,19780106,  198,    0
102494,19780107,  216,    0
102494,19780108,  228,    0
102494,19780109,  218,    0
102494,19780110,  237,    0
102494,19780111,  230,    0
102494,19780112,  156,    0
102494,19780113,  172,    0
102494,19780114,  201,    0
102494,19780115,  245,    0
102494,19780116,  248,    0
102494,19780117,  249,    0
102494,19780118,  236,    0
102494,19780119,  238,    0
102494,19780120,  234,    0
102494,19780121,  203,    0
102494,19780122,  191,    0
102494,19780123,  208,    0
102494,19780124,  222,    0
102494,19780125,  226,    0
102494,19780126,  241,    0
102494,19780127,  224,    0
102494,19780128,  224,    0
102494,19780129,  226,    0
102494,19780130,-9999,    9
102494,19780131,-9999,    9
102494,19780201,-9999,    9
102494,19780202,-9999,    9
102494,19780203,-9999,    9
102494,19780204,-9999,    9
102494,19780205,-9999,    9
102494,19780206,-9999,    9
102494,19780207,  216,    0
102494,19780208,  216,    0
102494,19780209,  233,    0
102494,19780210,  200,    0
102494,19780211,  200,    0
102494,19780212,  226,    0
102494,19780213,  224,    0
102494,19780214,  225,    0
102494,19780215,  231,    0
102494,19780216,  256,    0
102494,19780217,  221,    0
102494,19780218,  189,    0
102494,19780219,-9999,    9
102494,19780220,  217,    0
102494,19780221,  229,    0
102494,19780222,  249,    0
102494,19780223,  242,    0
102494,19780224,  216,    0
102494,19780225,  195,    0
102494,19780226,  175,    0
102494,19780227,  188,    0
102494,19780228,  213,    0
102494,19780301,  244,    0
102494,19780302,  233,    0
102494,19780303,  214,    0
102494,19780304,-9999,    9
102494,19780305,  220,    0
102494,19780306,  214,    0
102494,19780307,  215,    0
102494,19780308,  207,    0
102494,19780309,  206,    0
102494,19780310,  187,    0
102494,19780311,  194,    0
102494,19780312,  186,    0
102494,19780313,  160,    0
102494,19780314,  171,    0
102494,19780315,  165,    0
102494,19780316,  172,    0
102494,19780317,  168,    0
102494,19780318,  161,    0
102494,19780319,  185,    0
102494,19780320,  210,    0
