 SOUID,    DATE,   TG, Q_TG
102482,19990801,-9999,    9
102482,19990802,-9999,    9
102482,19990803,   69,    0
102482,19990804,  118,    0
102482,19990805,   99,    0
102482,19990806,   66,    0
102482,19990807,   99,    0
102482,19990808,  137,    0
102482,19990809,  168,    0
102482,19990810,  154,    0
102482,19990811,   92,    0
102482,19990812,   74,    0
102482,19990813,   73,    0
102482,19990814,  161,    0
102482,19990815,   92,    0
102482,19990816,   76,    0
102482,19990817,-9999,    9
102482,19990818,-9999,    9
102482,19990819,   81,    0
102482,19990820,   89,    0
102482,19990821,   78,    0
102482,19990822,   85,    0
102482,19990823,   47,    0
102482,19990824,   69,    0
102482,19990825,  130,    0
102482,19990826,  130,    0
102482,19990827,   71,    0
102482,19990828,  103,    0
102482,19990829,   93,    0
102482,19990830,-9999,    9
102482,19990831,-9999,    9
102482,19990901,   99,    0
102482,19990902,  109,    0
102482,19990903,  112,    0
102482,19990904,  106,    0
102482,19990905,   88,    0
102482,19990906,-9999,    9
102482,19990907,-9999,    9
102482,19990908,   43,    0
102482,19990909,   76,    0
102482,19990910,   94,    0
102482,19990911,  126,    0
102482,19990912,   59,    0
102482,19990913,   47,    0
102482,19990914,   94,    0
102482,19990915,  129,    0
102482,19990916,  136,    0
102482,19990917,  149,    0
102482,19990918,  153,    0
102482,19990919,  152,    0
102482,19990920,  167,    0
102482,19990921,  132,    0
102482,19990922,  100,    0
102482,19990923,  113,    0
102482,19990924,  119,    0
102482,19990925,  109,    0
102482,19990926,   97,    0
102482,19990927,   89,    0
102482,19990928,  106,    0
102482,19990929,-9999,    9
102482,19990930,-9999,    9
102482,19991001,   69,    0
102482,19991002,  125,    0
102482,19991003,  141,    0
102482,19991004,   99,    0
102482,19991005,   88,    0
102482,19991006,  107,    0
102482,19991007,  156,    0
102482,19991008,  139,    0
102482,19991009,  112,    0
102482,19991010,  131,    0
102482,19991011,  113,    0
102482,19991012,  119,    0
102482,19991013,  138,    0
102482,19991014,   96,    0
102482,19991015,  108,    0
102482,19991016,  129,    0
102482,19991017,  144,    0
102482,19991018,  163,    0
102482,19991019,  154,    0
102482,19991020,  169,    0
102482,19991021,  190,    0
102482,19991022,  148,    0
102482,19991023,  118,    0
102482,19991024,  173,    0
102482,19991025,  179,    0
102482,19991026,  121,    0
102482,19991027,  109,    0
102482,19991028,  136,    0
102482,19991029,  158,    0
102482,19991030,  168,    0
102482,19991031,  106,    0
102482,19991101,  108,    0
102482,19991102,  114,    0
102482,19991103,  136,    0
102482,19991104,  151,    0
102482,19991105,  183,    0
102482,19991106,  162,    0
102482,19991107,  151,    0
102482,19991108,  162,    0
102482,19991109,  169,    0
102482,19991110,  175,    0
102482,19991111,  172,    0
102482,19991112,  191,    0
102482,19991113,-9999,    9
102482,19991114,-9999,    9
102482,19991115,-9999,    9
102482,19991116,-9999,    9
102482,19991117,-9999,    9
102482,19991118,-9999,    9
102482,19991119,-9999,    9
102482,19991120,-9999,    9
102482,19991121,-9999,    9
102482,19991122,-9999,    9
102482,19991123,-9999,    9
102482,19991124,-9999,    9
102482,19991125,-9999,    9
102482,19991126,-9999,    9
102482,19991127,-9999,    9
102482,19991128,-9999,    9
102482,19991129,-9999,    9
102482,19991130,-9999,    9
102482,19991201,  125,    0
102482,19991202,  183,    0
102482,19991203,  207,    0
102482,19991204,  183,    0
102482,19991205,  171,    0
102482,19991206,  160,    0
102482,19991207,  169,    0
102482,19991208,  197,    0
102482,19991209,  185,    0
102482,19991210,  155,    0
102482,19991211,  195,    0
102482,19991212,  206,    0
102482,19991213,  207,    0
102482,19991214,  200,    0
102482,19991215,  204,    0
102482,19991216,  192,    0
102482,19991217,  184,    0
102482,19991218,  171,    0
102482,19991219,  179,    0
102482,19991220,  183,    0
102482,19991221,  200,    0
102482,19991222,  207,    0
102482,19991223,  184,    0
102482,19991224,  203,    0
102482,19991225,  212,    0
102482,19991226,  218,    0
102482,19991227,  212,    0
102482,19991228,  180,    0
102482,19991229,  195,    0
102482,19991230,  207,    0
102482,19991231,-9999,    9
102482,20000101,-9999,    9
102482,20000102,-9999,    9
102482,20000103,-9999,    9
102482,20000104,  207,    0
102482,20000105,  210,    0
102482,20000106,  213,    0
102482,20000107,  203,    0
102482,20000108,  197,    0
102482,20000109,  206,    0
102482,20000110,  217,    0
102482,20000111,  216,    0
102482,20000112,  203,    0
102482,20000113,  194,    0
102482,20000114,  183,    0
102482,20000115,  169,    0
102482,20000116,  179,    0
102482,20000117,  205,    0
102482,20000118,  222,    0
102482,20000119,  235,    0
102482,20000120,  226,    0
102482,20000121,  210,    0
102482,20000122,  207,    0
102482,20000123,  210,    0
102482,20000124,  213,    0
102482,20000125,  216,    0
102482,20000126,  232,    0
102482,20000127,  224,    0
102482,20000128,  204,    0
102482,20000129,  193,    0
102482,20000130,  204,    0
102482,20000131,  207,    0
102482,20000201,  193,    0
102482,20000202,  197,    0
102482,20000203,  205,    0
102482,20000204,  193,    0
102482,20000205,  183,    0
102482,20000206,  205,    0
102482,20000207,  203,    0
102482,20000208,  205,    0
102482,20000209,  198,    0
102482,20000210,  214,    0
102482,20000211,  193,    0
102482,20000212,  134,    0
102482,20000213,  167,    0
102482,20000214,  205,    0
102482,20000215,  187,    0
102482,20000216,  195,    0
102482,20000217,  195,    0
102482,20000218,  200,    0
102482,20000219,  194,    0
102482,20000220,  204,    0
102482,20000221,  205,    0
102482,20000222,  192,    0
102482,20000223,  204,    0
102482,20000224,  202,    0
102482,20000225,  190,    0
102482,20000226,  137,    0
102482,20000227,  151,    0
102482,20000228,  175,    0
102482,20000229,-9999,    9
102482,20000301,-9999,    9
102482,20000302,  171,    0
102482,20000303,  181,    0
102482,20000304,  189,    0
102482,20000305,  199,    0
102482,20000306,  212,    0
102482,20000307,  201,    0
102482,20000308,  194,    0
102482,20000309,  179,    0
102482,20000310,  193,    0
102482,20000311,  185,    0
102482,20000312,  169,    0
102482,20000313,  171,    0
102482,20000314,  184,    0
102482,20000315,  189,    0
102482,20000316,  179,    0
102482,20000317,  189,    0
102482,20000318,  203,    0
102482,20000319,  184,    0
102482,20000320,  163,    0
102482,20000321,  210,    0
102482,20000322,  196,    0
102482,20000323,  161,    0
102482,20000324,  185,    0
102482,20000325,  167,    0
102482,20000326,  161,    0
102482,20000327,  142,    0
102482,20000328,  200,    0
102482,20000329,  176,    0
102482,20000330,  159,    0
102482,20000331,  163,    0
102482,20000401,  204,    0
102482,20000402,  145,    0
102482,20000403,  153,    0
102482,20000404,-9999,    9
102482,20000405,  167,    0
102482,20000406,  143,    0
102482,20000407,  148,    0
102482,20000408,  151,    0
102482,20000409,  145,    0
102482,20000410,  171,    0
102482,20000411,  188,    0
102482,20000412,  173,    0
102482,20000413,  120,    0
102482,20000414,  118,    0
102482,20000415,  126,    0
102482,20000416,  133,    0
102482,20000417,  122,    0
102482,20000418,  152,    0
102482,20000419,  150,    0
102482,20000420,  137,    0
102482,20000421,  137,    0
102482,20000422,  154,    0
102482,20000423,  174,    0
102482,20000424,  215,    0
102482,20000425,   88,    0
102482,20000426,  133,    0
102482,20000427,  134,    0
102482,20000428,  140,    0
102482,20000429,  154,    0
102482,20000430,  151,    0
102482,20000501,   94,    0
102482,20000502,   88,    0
102482,20000503,   83,    0
102482,20000504,   83,    0
102482,20000505,  117,    0
102482,20000506,  152,    0
102482,20000507,  128,    0
102482,20000508,  151,    0
102482,20000509,  140,    0
102482,20000510,   90,    0
102482,20000511,  107,    0
102482,20000512,  114,    0
102482,20000513,   90,    0
102482,20000514,   99,    0
102482,20000515,   99,    0
102482,20000516,  115,    0
102482,20000517,  157,    0
102482,20000518,-9999,    9
102482,20000519,-9999,    9
102482,20000520,   99,    0
102482,20000521,  134,    0
102482,20000522,  142,    0
102482,20000523,  103,    0
102482,20000524,   70,    0
102482,20000525,   87,    0
102482,20000526,  118,    0
102482,20000527,-9999,    9
102482,20000528,-9999,    9
102482,20000529,-9999,    9
102482,20000530,-9999,    9
102482,20000531,  111,    0
102482,20000601,  123,    0
102482,20000602,  105,    0
102482,20000603,  147,    0
102482,20000604,  123,    0
102482,20000605,   88,    0
102482,20000606,   73,    0
102482,20000607,   78,    0
102482,20000608,  102,    0
102482,20000609,   96,    0
102482,20000610,  119,    0
102482,20000611,  115,    0
102482,20000612,  104,    0
102482,20000613,  126,    0
102482,20000614,   52,    0
102482,20000615,   60,    0
102482,20000616,   47,    0
102482,20000617,   37,    0
102482,20000618,   28,    0
102482,20000619,   56,    0
102482,20000620,   98,    0
102482,20000621,  109,    0
102482,20000622,  108,    0
102482,20000623,   92,    0
102482,20000624,   64,    0
102482,20000625,   70,    0
102482,20000626,   85,    0
102482,20000627,   54,    0
102482,20000628,   40,    0
102482,20000629,   55,    0
102482,20000630,   89,    0
102482,20000701,   64,    0
102482,20000702,   52,    0
102482,20000703,  110,    0
102482,20000704,  139,    0
102482,20000705,  150,    0
102482,20000706,  100,    0
102482,20000707,   66,    0
102482,20000708,   50,    0
102482,20000709,   31,    0
102482,20000710,   30,    0
102482,20000711,   36,    0
102482,20000712,   58,    0
102482,20000713,  141,    0
102482,20000714,   97,    0
102482,20000715,  119,    0
102482,20000716,  157,    0
102482,20000717,  120,    0
102482,20000718,-9999,    9
102482,20000719,-9999,    9
102482,20000720,  109,    0
102482,20000721,   27,    0
102482,20000722,   39,    0
102482,20000723,   89,    0
102482,20000724,   95,    0
102482,20000725,  159,    0
102482,20000726,  155,    0
102482,20000727,  112,    0
102482,20000728,  130,    0
102482,20000729,  101,    0
102482,20000730,  153,    0
102482,20000731,  134,    0
102482,20000801,   84,    0
102482,20000802,  120,    0
102482,20000803,  155,    0
102482,20000804,-9999,    9
102482,20000805,-9999,    9
102482,20000806,-9999,    9
102482,20000807,-9999,    9
102482,20000808,  122,    0
102482,20000809,  136,    0
102482,20000810,  145,    0
102482,20000811,  107,    0
102482,20000812,-9999,    9
102482,20000813,-9999,    9
102482,20000814,-9999,    9
102482,20000815,  110,    0
102482,20000816,  114,    0
102482,20000817,  158,    0
102482,20000818,  173,    0
102482,20000819,  151,    0
102482,20000820,  144,    0
102482,20000821,   97,    0
102482,20000822,   87,    0
102482,20000823,   95,    0
102482,20000824,   66,    0
102482,20000825,   79,    0
102482,20000826,   77,    0
102482,20000827,   67,    0
102482,20000828,   64,    0
102482,20000829,  101,    0
102482,20000830,   85,    0
102482,20000831,  117,    0
102482,20000901,  111,    0
102482,20000902,  134,    0
102482,20000903,  118,    0
102482,20000904,  108,    0
102482,20000905,  108,    0
102482,20000906,   89,    0
102482,20000907,  102,    0
102482,20000908,  127,    0
102482,20000909,   94,    0
102482,20000910,   43,    0
102482,20000911,   44,    0
102482,20000912,   47,    0
102482,20000913,   65,    0
102482,20000914,  153,    0
102482,20000915,  105,    0
102482,20000916,  127,    0
102482,20000917,  106,    0
102482,20000918,  111,    0
102482,20000919,  100,    0
102482,20000920,   57,    0
102482,20000921,   99,    0
102482,20000922,  124,    0
102482,20000923,  111,    0
102482,20000924,  100,    0
102482,20000925,  144,    0
102482,20000926,-9999,    9
102482,20000927,-9999,    9
102482,20000928,-9999,    9
102482,20000929,-9999,    9
102482,20000930,-9999,    9
102482,20001001,-9999,    9
102482,20001002,-9999,    9
102482,20001003,-9999,    9
102482,20001004,-9999,    9
102482,20001005,  154,    0
102482,20001006,  144,    0
102482,20001007,  150,    0
102482,20001008,  117,    0
102482,20001009,  118,    0
102482,20001010,  135,    0
102482,20001011,  138,    0
102482,20001012,  126,    0
102482,20001013,  141,    0
102482,20001014,  137,    0
102482,20001015,  108,    0
102482,20001016,  149,    0
102482,20001017,  173,    0
102482,20001018,  171,    0
102482,20001019,  194,    0
102482,20001020,  191,    0
102482,20001021,   99,    0
102482,20001022,  122,    0
102482,20001023,  121,    0
102482,20001024,   96,    0
102482,20001025,-9999,    9
102482,20001026,  140,    0
102482,20001027,  193,    0
102482,20001028,  196,    0
102482,20001029,  198,    0
102482,20001030,  116,    0
102482,20001031,  105,    0
102482,20001101,  137,    0
102482,20001102,  140,    0
102482,20001103,-9999,    9
102482,20001104,-9999,    9
102482,20001105,-9999,    9
102482,20001106,-9999,    9
102482,20001107,  132,    0
102482,20001108,  113,    0
102482,20001109,-9999,    9
102482,20001110,  132,    0
102482,20001111,  126,    0
102482,20001112,  123,    0
102482,20001113,  130,    0
102482,20001114,  155,    0
102482,20001115,  175,    0
102482,20001116,  191,    0
102482,20001117,  206,    0
102482,20001118,  195,    0
102482,20001119,  189,    0
102482,20001120,  205,    0
102482,20001121,  191,    0
102482,20001122,  199,    0
102482,20001123,  186,    0
102482,20001124,  202,    0
102482,20001125,  213,    0
102482,20001126,  209,    0
102482,20001127,  192,    0
102482,20001128,  175,    0
102482,20001129,  206,    0
102482,20001130,  214,    0
102482,20001201,  216,    0
102482,20001202,  204,    0
102482,20001203,  185,    0
102482,20001204,  191,    0
102482,20001205,  216,    0
102482,20001206,  201,    0
102482,20001207,  198,    0
102482,20001208,  216,    0
102482,20001209,  236,    0
102482,20001210,  209,    0
102482,20001211,  215,    0
102482,20001212,  216,    0
102482,20001213,  192,    0
102482,20001214,-9999,    9
102482,20001215,  193,    0
102482,20001216,  218,    0
102482,20001217,  231,    0
102482,20001218,  222,    0
102482,20001219,  203,    0
102482,20001220,  204,    0
102482,20001221,  179,    0
102482,20001222,  195,    0
102482,20001223,  208,    0
102482,20001224,  214,    0
102482,20001225,  189,    0
102482,20001226,  160,    0
102482,20001227,  129,    0
102482,20001228,  189,    0
102482,20001229,  191,    0
102482,20001230,  183,    0
102482,20001231,  169,    0
102482,20010101,  219,    0
102482,20010102,  205,    0
102482,20010103,  219,    0
102482,20010104,  211,    0
102482,20010105,  185,    0
102482,20010106,  209,    0
102482,20010107,  220,    0
102482,20010108,  171,    0
102482,20010109,  150,    0
102482,20010110,  128,    0
102482,20010111,  222,    0
102482,20010112,  205,    0
102482,20010113,-9999,    9
102482,20010114,  235,    0
102482,20010115,  221,    0
102482,20010116,  216,    0
102482,20010117,  212,    0
102482,20010118,  205,    0
102482,20010119,  222,    0
102482,20010120,  201,    0
102482,20010121,  192,    0
102482,20010122,  198,    0
102482,20010123,  207,    0
102482,20010124,  214,    0
102482,20010125,  225,    0
102482,20010126,  218,    0
102482,20010127,  195,    0
102482,20010128,  201,    0
102482,20010129,  202,    0
102482,20010130,  195,    0
102482,20010131,  193,    0
102482,20010201,  206,    0
102482,20010202,  214,    0
102482,20010203,  219,    0
102482,20010204,  224,    0
102482,20010205,  230,    0
102482,20010206,  236,    0
102482,20010207,  228,    0
102482,20010208,  227,    0
102482,20010209,  206,    0
102482,20010210,  209,    0
102482,20010211,-9999,    9
102482,20010212,-9999,    9
102482,20010213,  224,    0
102482,20010214,  224,    0
102482,20010215,  224,    0
102482,20010216,  226,    0
102482,20010217,  230,    0
102482,20010218,  220,    0
102482,20010219,  215,    0
102482,20010220,  205,    0
102482,20010221,  211,    0
102482,20010222,  204,    0
102482,20010223,  191,    0
102482,20010224,  222,    0
102482,20010225,  222,    0
102482,20010226,  198,    0
102482,20010227,  202,    0
102482,20010228,  193,    0
102482,20010301,  209,    0
102482,20010302,  207,    0
102482,20010303,  216,    0
102482,20010304,  213,    0
102482,20010305,  210,    0
102482,20010306,  205,    0
102482,20010307,  207,    0
102482,20010308,  198,    0
102482,20010309,  168,    0
102482,20010310,  173,    0
102482,20010311,  202,    0
102482,20010312,  175,    0
102482,20010313,  205,    0
102482,20010314,  214,    0
102482,20010315,  210,    0
102482,20010316,  200,    0
102482,20010317,  201,    0
102482,20010318,  201,    0
102482,20010319,  205,    0
102482,20010320,  181,    0
102482,20010321,  118,    0
102482,20010322,   99,    0
102482,20010323,  117,    0
102482,20010324,  169,    0
102482,20010325,  183,    0
102482,20010326,  180,    0
102482,20010327,  178,    0
102482,20010328,  207,    0
102482,20010329,  189,    0
102482,20010330,  178,    0
102482,20010331,  157,    0
102482,20010401,  190,    0
102482,20010402,  200,    0
102482,20010403,  187,    0
102482,20010404,-9999,    9
102482,20010405,  157,    0
102482,20010406,  202,    0
102482,20010407,  157,    0
102482,20010408,  179,    0
102482,20010409,  179,    0
102482,20010410,  107,    0
102482,20010411,  144,    0
102482,20010412,  176,    0
102482,20010413,  142,    0
102482,20010414,  136,    0
102482,20010415,  192,    0
102482,20010416,  177,    0
102482,20010417,  125,    0
102482,20010418,  129,    0
102482,20010419,  128,    0
102482,20010420,  124,    0
102482,20010421,  143,    0
102482,20010422,  117,    0
102482,20010423,   96,    0
102482,20010424,  135,    0
102482,20010425,  140,    0
102482,20010426,-9999,    9
102482,20010427,  103,    0
102482,20010428,-9999,    9
102482,20010429,-9999,    9
102482,20010430,-9999,    9
102482,20010501,-9999,    9
102482,20010502,-9999,    9
102482,20010503,  159,    0
102482,20010504,-9999,    9
102482,20010505,-9999,    9
102482,20010506,-9999,    9
102482,20010507,-9999,    9
102482,20010508,  101,    0
102482,20010509,   87,    0
102482,20010510,   84,    0
102482,20010511,   68,    0
102482,20010512,   80,    0
102482,20010513,  114,    0
102482,20010514,   96,    0
102482,20010515,   64,    0
102482,20010516,  101,    0
102482,20010517,  109,    0
102482,20010518,  113,    0
102482,20010519,-9999,    9
102482,20010520,-9999,    9
102482,20010521,   78,    0
102482,20010522,  103,    0
102482,20010523,  132,    0
102482,20010524,-9999,    9
102482,20010525,-9999,    9
102482,20010526,  143,    0
102482,20010527,  158,    0
102482,20010528,  142,    0
102482,20010529,   95,    0
102482,20010530,   83,    0
102482,20010531,   66,    0
102482,20010601,   63,    0
102482,20010602,   68,    0
102482,20010603,-9999,    9
102482,20010604,-9999,    9
102482,20010605,-9999,    9
102482,20010606,-9999,    9
102482,20010607,-9999,    9
102482,20010608,-9999,    9
102482,20010609,  144,    0
102482,20010610,  165,    0
102482,20010611,   93,    0
102482,20010612,  108,    0
102482,20010613,  114,    0
102482,20010614,  100,    0
102482,20010615,   70,    0
102482,20010616,   52,    0
102482,20010617,   75,    0
102482,20010618,   74,    0
102482,20010619,-9999,    9
102482,20010620,-9999,    9
102482,20010621,-9999,    9
102482,20010622,-9999,    9
102482,20010623,   56,    0
102482,20010624,-9999,    9
102482,20010625,-9999,    9
102482,20010626,  155,    0
102482,20010627,  141,    0
102482,20010628,  134,    0
102482,20010629,   67,    0
102482,20010630,  104,    0
102482,20010701,  135,    0
102482,20010702,  135,    0
102482,20010703,  115,    0
102482,20010704,  116,    0
102482,20010705,  174,    0
102482,20010706,  116,    0
102482,20010707,  130,    0
102482,20010708,   85,    0
102482,20010709,   52,    0
102482,20010710,   61,    0
102482,20010711,  102,    0
102482,20010712,  124,    0
102482,20010713,  108,    0
102482,20010714,  136,    0
102482,20010715,  141,    0
102482,20010716,  110,    0
102482,20010717,   79,    0
102482,20010718,  103,    0
102482,20010719,   84,    0
102482,20010720,   74,    0
102482,20010721,   80,    0
102482,20010722,  107,    0
102482,20010723,   76,    0
102482,20010724,   49,    0
102482,20010725,   41,    0
102482,20010726,-9999,    9
102482,20010727,  134,    0
102482,20010728,  142,    0
102482,20010729,   85,    0
102482,20010730,   86,    0
102482,20010731,-9999,    9
102482,20010801,  128,    0
102482,20010802,  108,    0
102482,20010803,  120,    0
102482,20010804,   76,    0
102482,20010805,   76,    0
102482,20010806,   90,    0
102482,20010807,-9999,    9
102482,20010808,  145,    0
102482,20010809,  157,    0
102482,20010810,  186,    0
102482,20010811,   76,    0
102482,20010812,   86,    0
102482,20010813,  100,    0
102482,20010814,   71,    0
102482,20010815,-9999,    9
102482,20010816,-9999,    9
102482,20010817,-9999,    9
102482,20010818,-9999,    9
102482,20010819,   93,    0
102482,20010820,  184,    0
102482,20010821,  193,    0
102482,20010822,  198,    0
102482,20010823,  119,    0
102482,20010824,  104,    0
102482,20010825,-9999,    9
102482,20010826,   35,    0
102482,20010827,   60,    0
102482,20010828,   97,    0
102482,20010829,  104,    0
102482,20010830,-9999,    9
102482,20010831,   69,    0
102482,20010901,   70,    0
102482,20010902,   62,    0
102482,20010903,   71,    0
102482,20010904,   78,    0
102482,20010905,-9999,    9
102482,20010906,   75,    0
102482,20010907,   94,    0
102482,20010908,   67,    0
102482,20010909,   91,    0
102482,20010910,  130,    0
102482,20010911,-9999,    9
102482,20010912,   86,    0
102482,20010913,   90,    0
102482,20010914,  129,    0
102482,20010915,  167,    0
102482,20010916,  129,    0
102482,20010917,  113,    0
102482,20010918,   95,    0
102482,20010919,  126,    0
102482,20010920,  144,    0
102482,20010921,  152,    0
102482,20010922,  119,    0
102482,20010923,  109,    0
102482,20010924,  106,    0
102482,20010925,  101,    0
102482,20010926,   63,    0
102482,20010927,   63,    0
102482,20010928,   84,    0
102482,20010929,   67,    0
102482,20010930,   89,    0
102482,20011001,  122,    0
102482,20011002,  139,    0
102482,20011003,-9999,    9
102482,20011004,  120,    0
102482,20011005,  134,    0
102482,20011006,  102,    0
102482,20011007,   85,    0
102482,20011008,  119,    0
102482,20011009,  146,    0
102482,20011010,  160,    0
102482,20011011,-9999,    9
102482,20011012,  169,    0
102482,20011013,  174,    0
102482,20011014,  179,    0
102482,20011015,  172,    0
102482,20011016,  161,    0
102482,20011017,  142,    0
102482,20011018,  145,    0
102482,20011019,  131,    0
102482,20011020,  150,    0
102482,20011021,  166,    0
102482,20011022,  172,    0
102482,20011023,  163,    0
102482,20011024,  164,    0
102482,20011025,  111,    0
102482,20011026,  131,    0
102482,20011027,   95,    0
102482,20011028,  111,    0
102482,20011029,  148,    0
102482,20011030,  181,    0
102482,20011031,  173,    0
102482,20011101,  175,    0
102482,20011102,  171,    0
102482,20011103,  150,    0
102482,20011104,  135,    0
102482,20011105,  110,    0
102482,20011106,  118,    0
102482,20011107,  138,    0
102482,20011108,  126,    0
102482,20011109,  113,    0
102482,20011110,  136,    0
102482,20011111,  169,    0
102482,20011112,  165,    0
102482,20011113,  148,    0
102482,20011114,  151,    0
102482,20011115,  167,    0
102482,20011116,  185,    0
102482,20011117,  194,    0
102482,20011118,  206,    0
102482,20011119,  173,    0
102482,20011120,  151,    0
102482,20011121,  174,    0
102482,20011122,  168,    0
102482,20011123,  116,    0
102482,20011124,  155,    0
102482,20011125,  170,    0
102482,20011126,  173,    0
102482,20011127,  190,    0
102482,20011128,  192,    0
102482,20011129,  209,    0
102482,20011130,  203,    0
102482,20011201,  178,    0
102482,20011202,  160,    0
102482,20011203,  159,    0
102482,20011204,  186,    0
102482,20011205,  209,    0
102482,20011206,  203,    0
102482,20011207,  203,    0
102482,20011208,  213,    0
102482,20011209,  186,    0
102482,20011210,  192,    0
102482,20011211,  222,    0
102482,20011212,  217,    0
102482,20011213,  198,    0
102482,20011214,  207,    0
102482,20011215,  232,    0
102482,20011216,  253,    0
102482,20011217,  244,    0
102482,20011218,  203,    0
102482,20011219,  188,    0
102482,20011220,  202,    0
102482,20011221,  210,    0
102482,20011222,  231,    0
102482,20011223,  244,    0
102482,20011224,  234,    0
102482,20011225,  222,    0
102482,20011226,  232,    0
102482,20011227,  240,    0
102482,20011228,  229,    0
102482,20011229,  211,    0
102482,20011230,  208,    0
102482,20011231,  214,    0
102482,20020101,  208,    0
102482,20020102,  209,    0
102482,20020103,  209,    0
102482,20020104,  201,    0
102482,20020105,-9999,    9
102482,20020106,-9999,    9
102482,20020107,  202,    0
102482,20020108,-9999,    9
102482,20020109,  220,    0
102482,20020110,-9999,    9
102482,20020111,-9999,    9
102482,20020112,-9999,    9
