LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, RUNGUE EMBALSE (STAID: 890).
Blended and updated with sources: 102534 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
102534,19770701,-9999,    9
102534,19770702,-9999,    9
102534,19770703,-9999,    9
102534,19770704,-9999,    9
102534,19770705,-9999,    9
102534,19770706,-9999,    9
102534,19770707,-9999,    9
102534,19770708,-9999,    9
102534,19770709,-9999,    9
102534,19770710,-9999,    9
102534,19770711,   72,    0
102534,19770712,   74,    0
102534,19770713,   64,    0
102534,19770714,   58,    0
102534,19770715,   40,    0
102534,19770716,   80,    0
102534,19770717,   79,    0
102534,19770718,  108,    0
102534,19770719,   93,    0
102534,19770720,   87,    0
102534,19770721,   98,    0
102534,19770722,  110,    0
102534,19770723,   89,    0
102534,19770724,  106,    0
102534,19770725,   78,    0
102534,19770726,   92,    0
102534,19770727,   77,    0
102534,19770728,   83,    0
102534,19770729,   54,    0
102534,19770730,   64,    0
102534,19770731,   33,    0
102534,19770801,   64,    0
102534,19770802,   65,    0
102534,19770803,   41,    0
102534,19770804,   41,    0
102534,19770805,   87,    0
102534,19770806,  124,    0
102534,19770807,  108,    0
102534,19770808,  111,    0
102534,19770809,   97,    0
102534,19770810,   98,    0
102534,19770811,   73,    0
102534,19770812,   54,    0
102534,19770813,   61,    0
102534,19770814,   80,    0
102534,19770815,   66,    0
102534,19770816,   66,    0
102534,19770817,   85,    0
102534,19770818,  105,    0
102534,19770819,  112,    0
102534,19770820,   85,    0
102534,19770821,  107,    0
102534,19770822,   79,    0
102534,19770823,  101,    0
102534,19770824,  104,    0
102534,19770825,  110,    0
102534,19770826,  124,    0
102534,19770827,  125,    0
102534,19770828,  125,    0
102534,19770829,  110,    0
102534,19770830,   95,    0
102534,19770831,  118,    0
102534,19770901,  137,    0
102534,19770902,-9999,    9
102534,19770903,  124,    0
102534,19770904,  105,    0
102534,19770905,  108,    0
102534,19770906,  138,    0
102534,19770907,  116,    0
102534,19770908,  103,    0
102534,19770909,  109,    0
102534,19770910,  117,    0
102534,19770911,   97,    0
102534,19770912,  106,    0
102534,19770913,   90,    0
102534,19770914,   89,    0
102534,19770915,  107,    0
102534,19770916,  105,    0
102534,19770917,  115,    0
102534,19770918,  120,    0
102534,19770919,  105,    0
102534,19770920,  108,    0
102534,19770921,-9999,    9
102534,19770922,-9999,    9
102534,19770923,-9999,    9
102534,19770924,-9999,    9
102534,19770925,  129,    0
102534,19770926,  117,    0
102534,19770927,  112,    0
102534,19770928,  118,    0
102534,19770929,  130,    0
102534,19770930,  139,    0
102534,19771001,  153,    0
102534,19771002,  117,    0
102534,19771003,-9999,    9
102534,19771004,  137,    0
102534,19771005,  122,    0
102534,19771006,  117,    0
102534,19771007,   99,    0
102534,19771008,-9999,    9
102534,19771009,-9999,    9
102534,19771010,  110,    0
102534,19771011,  144,    0
102534,19771012,  125,    0
102534,19771013,  108,    0
102534,19771014,   82,    0
102534,19771015,  114,    0
