LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, MELIPILLA (STAID: 898).
Blended and updated with sources: 102566 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
102566,19710601,-9999,    9
102566,19710602,-9999,    9
102566,19710603,   95,    0
102566,19710604,  108,    0
102566,19710605,   90,    0
102566,19710606,   98,    0
102566,19710607,  100,    0
102566,19710608,   81,    0
102566,19710609,   99,    0
102566,19710610,   97,    0
102566,19710611,   82,    0
102566,19710612,   78,    0
102566,19710613,   85,    0
102566,19710614,   70,    0
102566,19710615,   71,    0
102566,19710616,   65,    0
102566,19710617,   65,    0
102566,19710618,   74,    0
102566,19710619,   90,    0
102566,19710620,   76,    0
102566,19710621,   47,    0
102566,19710622,   54,    0
102566,19710623,   64,    0
102566,19710624,   82,    0
102566,19710625,   87,    0
102566,19710626,  116,    0
102566,19710627,   92,    0
102566,19710628,   99,    0
102566,19710629,   97,    0
102566,19710630,   87,    0
102566,19710701,   99,    0
102566,19710702,   88,    0
102566,19710703,  100,    0
102566,19710704,   87,    0
102566,19710705,   84,    0
102566,19710706,   78,    0
102566,19710707,   68,    0
102566,19710708,   86,    0
102566,19710709,   85,    0
102566,19710710,   78,    0
102566,19710711,  108,    0
102566,19710712,   92,    0
102566,19710713,  114,    0
102566,19710714,  120,    0
102566,19710715,  100,    0
102566,19710716,  108,    0
102566,19710717,   97,    0
102566,19710718,   97,    0
102566,19710719,  112,    0
102566,19710720,  149,    0
102566,19710721,  151,    0
102566,19710722,  130,    0
102566,19710723,  118,    0
102566,19710724,  145,    0
102566,19710725,  117,    0
102566,19710726,  128,    0
102566,19710727,  125,    0
102566,19710728,  124,    0
102566,19710729,  124,    0
102566,19710730,  112,    0
102566,19710731,  123,    0
102566,19710801,  106,    0
102566,19710802,  120,    0
102566,19710803,  106,    0
102566,19710804,   79,    0
102566,19710805,   71,    0
102566,19710806,   81,    0
102566,19710807,   75,    0
102566,19710808,  104,    0
102566,19710809,  119,    0
102566,19710810,  115,    0
102566,19710811,  108,    0
102566,19710812,  106,    0
102566,19710813,  109,    0
102566,19710814,  117,    0
102566,19710815,  143,    0
102566,19710816,-9999,    9
102566,19710817,   92,    0
102566,19710818,   98,    0
102566,19710819,   98,    0
102566,19710820,   81,    0
102566,19710821,   92,    0
102566,19710822,   93,    0
102566,19710823,  110,    0
102566,19710824,  128,    0
102566,19710825,  104,    0
102566,19710826,  111,    0
102566,19710827,   92,    0
102566,19710828,  101,    0
102566,19710829,  103,    0
102566,19710830,  116,    0
102566,19710831,  124,    0
102566,19710901,  111,    0
102566,19710902,  139,    0
102566,19710903,   99,    0
102566,19710904,  103,    0
102566,19710905,  111,    0
102566,19710906,  147,    0
102566,19710907,  151,    0
102566,19710908,  144,    0
102566,19710909,  130,    0
102566,19710910,  104,    0
102566,19710911,  113,    0
102566,19710912,  133,    0
102566,19710913,-9999,    9
102566,19710914,-9999,    9
102566,19710915,-9999,    9
102566,19710916,-9999,    9
102566,19710917,-9999,    9
102566,19710918,-9999,    9
102566,19710919,-9999,    9
102566,19710920,-9999,    9
102566,19710921,-9999,    9
102566,19710922,-9999,    9
102566,19710923,-9999,    9
102566,19710924,-9999,    9
102566,19710925,-9999,    9
102566,19710926,-9999,    9
102566,19710927,-9999,    9
102566,19710928,-9999,    9
102566,19710929,-9999,    9
102566,19710930,-9999,    9
102566,19711001,-9999,    9
102566,19711002,-9999,    9
102566,19711003,-9999,    9
102566,19711004,-9999,    9
102566,19711005,-9999,    9
102566,19711006,-9999,    9
102566,19711007,-9999,    9
102566,19711008,-9999,    9
102566,19711009,-9999,    9
102566,19711010,-9999,    9
102566,19711011,-9999,    9
102566,19711012,-9999,    9
102566,19711013,-9999,    9
102566,19711014,-9999,    9
102566,19711015,-9999,    9
102566,19711016,-9999,    9
102566,19711017,-9999,    9
102566,19711018,-9999,    9
102566,19711019,-9999,    9
102566,19711020,-9999,    9
102566,19711021,-9999,    9
102566,19711022,-9999,    9
102566,19711023,-9999,    9
102566,19711024,-9999,    9
102566,19711025,-9999,    9
102566,19711026,-9999,    9
102566,19711027,-9999,    9
102566,19711028,-9999,    9
102566,19711029,-9999,    9
102566,19711030,-9999,    9
102566,19711031,-9999,    9
102566,19711101,-9999,    9
102566,19711102,-9999,    9
102566,19711103,-9999,    9
102566,19711104,-9999,    9
102566,19711105,-9999,    9
102566,19711106,-9999,    9
102566,19711107,-9999,    9
102566,19711108,-9999,    9
102566,19711109,-9999,    9
102566,19711110,-9999,    9
102566,19711111,-9999,    9
102566,19711112,-9999,    9
102566,19711113,-9999,    9
102566,19711114,-9999,    9
102566,19711115,-9999,    9
102566,19711116,-9999,    9
102566,19711117,-9999,    9
102566,19711118,-9999,    9
102566,19711119,-9999,    9
102566,19711120,-9999,    9
102566,19711121,-9999,    9
102566,19711122,-9999,    9
102566,19711123,-9999,    9
102566,19711124,-9999,    9
102566,19711125,-9999,    9
102566,19711126,-9999,    9
102566,19711127,-9999,    9
102566,19711128,-9999,    9
102566,19711129,-9999,    9
102566,19711130,-9999,    9
102566,19711201,-9999,    9
102566,19711202,-9999,    9
102566,19711203,-9999,    9
102566,19711204,-9999,    9
102566,19711205,-9999,    9
102566,19711206,-9999,    9
102566,19711207,-9999,    9
102566,19711208,-9999,    9
102566,19711209,-9999,    9
102566,19711210,-9999,    9
102566,19711211,-9999,    9
102566,19711212,-9999,    9
102566,19711213,-9999,    9
102566,19711214,-9999,    9
102566,19711215,-9999,    9
102566,19711216,-9999,    9
102566,19711217,-9999,    9
102566,19711218,-9999,    9
102566,19711219,-9999,    9
102566,19711220,-9999,    9
102566,19711221,-9999,    9
102566,19711222,-9999,    9
102566,19711223,-9999,    9
102566,19711224,-9999,    9
102566,19711225,-9999,    9
102566,19711226,-9999,    9
102566,19711227,-9999,    9
102566,19711228,-9999,    9
102566,19711229,-9999,    9
102566,19711230,-9999,    9
102566,19711231,-9999,    9
102566,19720101,-9999,    9
102566,19720102,-9999,    9
102566,19720103,-9999,    9
102566,19720104,-9999,    9
102566,19720105,-9999,    9
102566,19720106,-9999,    9
102566,19720107,-9999,    9
102566,19720108,-9999,    9
102566,19720109,-9999,    9
102566,19720110,-9999,    9
102566,19720111,-9999,    9
102566,19720112,-9999,    9
102566,19720113,-9999,    9
102566,19720114,-9999,    9
102566,19720115,-9999,    9
102566,19720116,-9999,    9
102566,19720117,-9999,    9
102566,19720118,-9999,    9
102566,19720119,-9999,    9
102566,19720120,-9999,    9
102566,19720121,-9999,    9
102566,19720122,-9999,    9
102566,19720123,-9999,    9
102566,19720124,-9999,    9
102566,19720125,-9999,    9
102566,19720126,-9999,    9
102566,19720127,-9999,    9
102566,19720128,-9999,    9
102566,19720129,-9999,    9
102566,19720130,-9999,    9
102566,19720131,-9999,    9
102566,19720201,-9999,    9
102566,19720202,-9999,    9
102566,19720203,-9999,    9
102566,19720204,-9999,    9
102566,19720205,-9999,    9
102566,19720206,-9999,    9
102566,19720207,-9999,    9
102566,19720208,-9999,    9
102566,19720209,-9999,    9
102566,19720210,-9999,    9
102566,19720211,-9999,    9
102566,19720212,-9999,    9
102566,19720213,-9999,    9
102566,19720214,-9999,    9
102566,19720215,-9999,    9
102566,19720216,-9999,    9
102566,19720217,-9999,    9
102566,19720218,-9999,    9
102566,19720219,-9999,    9
102566,19720220,-9999,    9
102566,19720221,-9999,    9
102566,19720222,-9999,    9
102566,19720223,-9999,    9
102566,19720224,-9999,    9
102566,19720225,-9999,    9
102566,19720226,-9999,    9
102566,19720227,-9999,    9
102566,19720228,-9999,    9
102566,19720229,-9999,    9
102566,19720301,-9999,    9
102566,19720302,-9999,    9
102566,19720303,-9999,    9
102566,19720304,-9999,    9
102566,19720305,-9999,    9
102566,19720306,-9999,    9
102566,19720307,-9999,    9
102566,19720308,-9999,    9
102566,19720309,-9999,    9
102566,19720310,-9999,    9
102566,19720311,-9999,    9
102566,19720312,-9999,    9
102566,19720313,-9999,    9
102566,19720314,-9999,    9
102566,19720315,-9999,    9
102566,19720316,-9999,    9
102566,19720317,-9999,    9
102566,19720318,-9999,    9
102566,19720319,-9999,    9
102566,19720320,-9999,    9
102566,19720321,-9999,    9
102566,19720322,-9999,    9
102566,19720323,-9999,    9
102566,19720324,-9999,    9
102566,19720325,-9999,    9
102566,19720326,-9999,    9
102566,19720327,-9999,    9
102566,19720328,-9999,    9
102566,19720329,-9999,    9
102566,19720330,-9999,    9
102566,19720331,-9999,    9
102566,19720401,-9999,    9
102566,19720402,-9999,    9
102566,19720403,-9999,    9
102566,19720404,-9999,    9
102566,19720405,-9999,    9
102566,19720406,-9999,    9
102566,19720407,-9999,    9
102566,19720408,-9999,    9
102566,19720409,-9999,    9
102566,19720410,-9999,    9
102566,19720411,-9999,    9
102566,19720412,-9999,    9
102566,19720413,-9999,    9
102566,19720414,-9999,    9
102566,19720415,-9999,    9
102566,19720416,-9999,    9
102566,19720417,-9999,    9
102566,19720418,-9999,    9
102566,19720419,-9999,    9
102566,19720420,-9999,    9
102566,19720421,-9999,    9
102566,19720422,-9999,    9
102566,19720423,-9999,    9
102566,19720424,-9999,    9
102566,19720425,-9999,    9
102566,19720426,-9999,    9
102566,19720427,-9999,    9
102566,19720428,-9999,    9
102566,19720429,-9999,    9
102566,19720430,-9999,    9
102566,19720501,-9999,    9
102566,19720502,-9999,    9
102566,19720503,-9999,    9
102566,19720504,-9999,    9
102566,19720505,-9999,    9
102566,19720506,-9999,    9
102566,19720507,-9999,    9
102566,19720508,-9999,    9
102566,19720509,-9999,    9
102566,19720510,-9999,    9
102566,19720511,-9999,    9
102566,19720512,-9999,    9
102566,19720513,-9999,    9
102566,19720514,-9999,    9
102566,19720515,-9999,    9
102566,19720516,-9999,    9
102566,19720517,-9999,    9
102566,19720518,-9999,    9
102566,19720519,-9999,    9
102566,19720520,-9999,    9
102566,19720521,-9999,    9
102566,19720522,-9999,    9
102566,19720523,-9999,    9
102566,19720524,-9999,    9
102566,19720525,-9999,    9
102566,19720526,-9999,    9
102566,19720527,-9999,    9
102566,19720528,-9999,    9
102566,19720529,-9999,    9
102566,19720530,-9999,    9
102566,19720531,-9999,    9
102566,19720601,-9999,    9
102566,19720602,-9999,    9
102566,19720603,-9999,    9
102566,19720604,-9999,    9
102566,19720605,-9999,    9
102566,19720606,-9999,    9
102566,19720607,-9999,    9
102566,19720608,-9999,    9
102566,19720609,-9999,    9
102566,19720610,-9999,    9
102566,19720611,-9999,    9
102566,19720612,-9999,    9
102566,19720613,-9999,    9
102566,19720614,-9999,    9
102566,19720615,-9999,    9
102566,19720616,-9999,    9
102566,19720617,-9999,    9
102566,19720618,-9999,    9
102566,19720619,-9999,    9
102566,19720620,-9999,    9
102566,19720621,-9999,    9
102566,19720622,-9999,    9
102566,19720623,-9999,    9
102566,19720624,-9999,    9
102566,19720625,-9999,    9
102566,19720626,-9999,    9
102566,19720627,-9999,    9
