LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, LOS PANGUILES (STAID: 900).
Blended and updated with sources: 102574 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
102574,19801101,-9999,    9
102574,19801102,-9999,    9
102574,19801103,-9999,    9
102574,19801104,  173,    0
102574,19801105,  163,    0
102574,19801106,  152,    0
102574,19801107,  135,    0
102574,19801108,  143,    0
102574,19801109,  138,    0
102574,19801110,  149,    0
102574,19801111,  182,    0
102574,19801112,  212,    0
102574,19801113,  194,    0
102574,19801114,  210,    0
102574,19801115,  179,    0
102574,19801116,  181,    0
102574,19801117,  171,    0
102574,19801118,  174,    0
102574,19801119,  173,    0
102574,19801120,  160,    0
102574,19801121,  166,    0
102574,19801122,  181,    0
102574,19801123,  214,    0
102574,19801124,  199,    0
102574,19801125,  187,    0
102574,19801126,  187,    0
102574,19801127,  173,    0
102574,19801128,  203,    0
102574,19801129,  220,    0
102574,19801130,  185,    0
102574,19801201,-9999,    9
102574,19801202,-9999,    9
102574,19801203,-9999,    9
102574,19801204,-9999,    9
102574,19801205,-9999,    9
102574,19801206,-9999,    9
102574,19801207,-9999,    9
102574,19801208,-9999,    9
102574,19801209,-9999,    9
102574,19801210,-9999,    9
102574,19801211,-9999,    9
102574,19801212,-9999,    9
102574,19801213,-9999,    9
102574,19801214,-9999,    9
102574,19801215,-9999,    9
102574,19801216,-9999,    9
102574,19801217,-9999,    9
102574,19801218,-9999,    9
102574,19801219,-9999,    9
102574,19801220,-9999,    9
102574,19801221,-9999,    9
102574,19801222,-9999,    9
102574,19801223,-9999,    9
102574,19801224,-9999,    9
102574,19801225,-9999,    9
102574,19801226,-9999,    9
102574,19801227,-9999,    9
102574,19801228,-9999,    9
102574,19801229,-9999,    9
102574,19801230,-9999,    9
102574,19801231,-9999,    9
102574,19810101,  196,    0
102574,19810102,  206,    0
