LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, RIO FUI EN DESAGE LAGO PIRIHUEICO (STAID: 1136).
Blended and updated with sources: 103522 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
103522,20030401,-9999,    9
103522,20030402,-9999,    9
103522,20030403,-9999,    9
103522,20030404,-9999,    9
103522,20030405,-9999,    9
103522,20030406,-9999,    9
103522,20030407,-9999,    9
103522,20030408,-9999,    9
103522,20030409,-9999,    9
103522,20030410,-9999,    9
103522,20030411,-9999,    9
103522,20030412,  139,    0
103522,20030413,-9999,    9
103522,20030414,-9999,    9
103522,20030415,-9999,    9
103522,20030416,-9999,    9
103522,20030417,-9999,    9
103522,20030418,-9999,    9
103522,20030419,-9999,    9
103522,20030420,   91,    0
103522,20030421,-9999,    9
103522,20030422,-9999,    9
103522,20030423,-9999,    9
103522,20030424,-9999,    9
103522,20030425,-9999,    9
103522,20030426,-9999,    9
103522,20030427,   57,    0
103522,20030428,   65,    0
103522,20030429,-9999,    9
103522,20030430,-9999,    9
103522,20030501,-9999,    9
103522,20030502,-9999,    9
103522,20030503,-9999,    9
103522,20030504,-9999,    9
103522,20030505,-9999,    9
103522,20030506,-9999,    9
103522,20030507,-9999,    9
103522,20030508,   83,    0
103522,20030509,   81,    0
103522,20030510,-9999,    9
103522,20030511,-9999,    9
103522,20030512,   98,    0
103522,20030513,   75,    0
103522,20030514,   64,    0
103522,20030515,   54,    0
103522,20030516,   49,    0
103522,20030517,-9999,    9
103522,20030518,   74,    0
103522,20030519,   79,    0
103522,20030520,-9999,    9
103522,20030521,-9999,    9
103522,20030522,-9999,    9
103522,20030523,-9999,    9
103522,20030524,-9999,    9
103522,20030525,-9999,    9
103522,20030526,-9999,    9
103522,20030527,-9999,    9
103522,20030528,-9999,    9
103522,20030529,-9999,    9
103522,20030530,-9999,    9
103522,20030531,-9999,    9
103522,20030601,-9999,    9
103522,20030602,-9999,    9
103522,20030603,-9999,    9
103522,20030604,   39,    0
103522,20030605,   53,    0
103522,20030606,   19,    0
103522,20030607,-9999,    9
103522,20030608,-9999,    9
103522,20030609,-9999,    9
103522,20030610,   70,    0
103522,20030611,   87,    0
103522,20030612,-9999,    9
103522,20030613,-9999,    9
103522,20030614,-9999,    9
103522,20030615,-9999,    9
103522,20030616,-9999,    9
103522,20030617,   74,    0
103522,20030618,-9999,    9
103522,20030619,-9999,    9
103522,20030620,   80,    0
103522,20030621,   88,    0
103522,20030622,-9999,    9
103522,20030623,-9999,    9
103522,20030624,-9999,    9
103522,20030625,-9999,    9
103522,20030626,-9999,    9
103522,20030627,   79,    0
103522,20030628,   78,    0
103522,20030629,-9999,    9
103522,20030630,   83,    0
103522,20030701,-9999,    9
103522,20030702,   56,    0
103522,20030703,   36,    0
103522,20030704,   50,    0
103522,20030705,   58,    0
103522,20030706,-9999,    9
103522,20030707,   43,    0
103522,20030708,-9999,    9
103522,20030709,-9999,    9
103522,20030710,-9999,    9
103522,20030711,   51,    0
103522,20030712,-9999,    9
103522,20030713,-9999,    9
103522,20030714,-9999,    9
103522,20030715,   41,    0
103522,20030716,-9999,    9
103522,20030717,   38,    0
103522,20030718,-9999,    9
103522,20030719,-9999,    9
103522,20030720,   21,    0
103522,20030721,-9999,    9
103522,20030722,   14,    0
103522,20030723,-9999,    9
103522,20030724,   34,    0
103522,20030725,-9999,    9
103522,20030726,   92,    0
103522,20030727,-9999,    9
103522,20030728,-9999,    9
103522,20030729,-9999,    9
103522,20030730,-9999,    9
103522,20030731,   43,    0
103522,20030801,   19,    0
103522,20030802,   36,    0
103522,20030803,   29,    0
103522,20030804,   37,    0
103522,20030805,   26,    0
103522,20030806,   20,    0
103522,20030807,   41,    0
103522,20030808,   45,    0
103522,20030809,   70,    0
103522,20030810,   57,    0
103522,20030811,   42,    0
103522,20030812,   52,    0
103522,20030813,   38,    0
103522,20030814,   67,    0
103522,20030815,   85,    0
103522,20030816,   89,    0
103522,20030817,  126,    0
103522,20030818,-9999,    9
103522,20030819,-9999,    9
103522,20030820,-9999,    9
103522,20030821,-9999,    9
103522,20030822,-9999,    9
103522,20030823,-9999,    9
103522,20030824,-9999,    9
103522,20030825,-9999,    9
103522,20030826,-9999,    9
103522,20030827,   69,    0
103522,20030828,   68,    0
103522,20030829,   81,    0
103522,20030830,   64,    0
103522,20030831,   71,    0
103522,20030901,   80,    0
103522,20030902,  102,    0
103522,20030903,   91,    0
103522,20030904,   76,    0
103522,20030905,   73,    0
103522,20030906,   20,    0
103522,20030907,   21,    0
103522,20030908,   31,    0
103522,20030909,   46,    0
103522,20030910,   49,    0
103522,20030911,   57,    0
103522,20030912,   72,    0
103522,20030913,   80,    0
103522,20030914,   92,    0
103522,20030915,   92,    0
103522,20030916,   91,    0
103522,20030917,   72,    0
103522,20030918,   41,    0
103522,20030919,   50,    0
103522,20030920,   51,    0
103522,20030921,   58,    0
103522,20030922,   70,    0
103522,20030923,-9999,    9
103522,20030924,   62,    0
103522,20030925,   69,    0
103522,20030926,   54,    0
103522,20030927,   38,    0
103522,20030928,   60,    0
103522,20030929,   66,    0
103522,20030930,   72,    0
103522,20031001,   73,    0
103522,20031002,   93,    0
103522,20031003,   82,    0
103522,20031004,   89,    0
103522,20031005,  113,    0
103522,20031006,  117,    0
103522,20031007,   68,    0
103522,20031008,   66,    0
103522,20031009,   57,    0
103522,20031010,  103,    0
103522,20031011,   87,    0
103522,20031012,  109,    0
103522,20031013,  158,    0
103522,20031014,  126,    0
103522,20031015,   77,    0
103522,20031016,-9999,    9
103522,20031017,-9999,    9
103522,20031018,-9999,    9
103522,20031019,-9999,    9
103522,20031020,-9999,    9
103522,20031021,-9999,    9
103522,20031022,-9999,    9
103522,20031023,-9999,    9
103522,20031024,   55,    0
103522,20031025,   54,    0
103522,20031026,-9999,    9
103522,20031027,-9999,    9
103522,20031028,-9999,    9
103522,20031029,-9999,    9
103522,20031030,-9999,    9
103522,20031031,-9999,    9
103522,20031101,-9999,    9
103522,20031102,  199,    0
103522,20031103,-9999,    9
103522,20031104,-9999,    9
103522,20031105,-9999,    9
103522,20031106,-9999,    9
103522,20031107,-9999,    9
103522,20031108,-9999,    9
103522,20031109,  104,    0
103522,20031110,-9999,    9
103522,20031111,  112,    0
103522,20031112,  124,    0
103522,20031113,  125,    0
103522,20031114,   98,    0
103522,20031115,   75,    0
103522,20031116,   68,    0
103522,20031117,   97,    0
103522,20031118,-9999,    9
103522,20031119,-9999,    9
103522,20031120,-9999,    9
