LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, PUNTA ARENAS (STAID: 1282).
Blended and updated with sources: 104106 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
104106,19731101,-9999,    9
104106,19731102,-9999,    9
104106,19731103,-9999,    9
104106,19731104,-9999,    9
104106,19731105,-9999,    9
104106,19731106,-9999,    9
104106,19731107,-9999,    9
104106,19731108,-9999,    9
104106,19731109,-9999,    9
104106,19731110,-9999,    9
104106,19731111,-9999,    9
104106,19731112,-9999,    9
104106,19731113,-9999,    9
104106,19731114,-9999,    9
104106,19731115,-9999,    9
104106,19731116,   62,    0
104106,19731117,   80,    0
104106,19731118,   85,    0
104106,19731119,   92,    0
104106,19731120,   84,    0
104106,19731121,   88,    0
104106,19731122,   74,    0
104106,19731123,   84,    0
104106,19731124,   81,    0
104106,19731125,   97,    0
104106,19731126,  106,    0
104106,19731127,  106,    0
104106,19731128,   75,    0
104106,19731129,   59,    0
104106,19731130,   71,    0
104106,19731201,   95,    0
104106,19731202,   76,    0
104106,19731203,  106,    0
104106,19731204,  127,    0
104106,19731205,   91,    0
104106,19731206,  109,    0
104106,19731207,  113,    0
104106,19731208,  101,    0
104106,19731209,  101,    0
104106,19731210,  102,    0
104106,19731211,  106,    0
104106,19731212,   75,    0
104106,19731213,   79,    0
104106,19731214,   81,    0
104106,19731215,   92,    0
104106,19731216,  106,    0
104106,19731217,  100,    0
104106,19731218,  124,    0
104106,19731219,  121,    0
104106,19731220,  105,    0
104106,19731221,   99,    0
104106,19731222,   92,    0
104106,19731223,   85,    0
104106,19731224,  115,    0
104106,19731225,  133,    0
104106,19731226,  131,    0
104106,19731227,  151,    0
104106,19731228,  105,    0
104106,19731229,   90,    0
104106,19731230,   94,    0
104106,19731231,  115,    0
104106,19740101,  120,    0
104106,19740102,  130,    0
104106,19740103,  108,    0
104106,19740104,   82,    0
104106,19740105,  100,    0
104106,19740106,   90,    0
104106,19740107,   98,    0
104106,19740108,-9999,    9
104106,19740109,  104,    0
104106,19740110,   94,    0
104106,19740111,   98,    0
104106,19740112,   91,    0
104106,19740113,  119,    0
104106,19740114,  108,    0
104106,19740115,   93,    0
104106,19740116,   88,    0
104106,19740117,  111,    0
104106,19740118,   88,    0
104106,19740119,   91,    0
104106,19740120,   86,    0
104106,19740121,  106,    0
104106,19740122,  120,    0
104106,19740123,  117,    0
104106,19740124,  147,    0
104106,19740125,  145,    0
104106,19740126,  128,    0
104106,19740127,  136,    0
104106,19740128,  141,    0
104106,19740129,  132,    0
104106,19740130,  133,    0
104106,19740131,   83,    0
104106,19740201,   98,    0
104106,19740202,  106,    0
104106,19740203,  100,    0
104106,19740204,   94,    0
104106,19740205,   84,    0
104106,19740206,   84,    0
104106,19740207,  106,    0
104106,19740208,  100,    0
104106,19740209,  100,    0
104106,19740210,  104,    0
104106,19740211,   98,    0
104106,19740212,  147,    0
104106,19740213,  128,    0
104106,19740214,  111,    0
104106,19740215,  160,    0
104106,19740216,  153,    0
104106,19740217,  129,    0
104106,19740218,  142,    0
104106,19740219,  142,    0
104106,19740220,  157,    0
104106,19740221,  119,    0
104106,19740222,  106,    0
104106,19740223,  107,    0
104106,19740224,  119,    0
104106,19740225,  150,    0
104106,19740226,  113,    0
104106,19740227,   90,    0
104106,19740228,   93,    0
104106,19740301,   94,    0
104106,19740302,   77,    0
104106,19740303,   89,    0
104106,19740304,   93,    0
104106,19740305,  105,    0
104106,19740306,  107,    0
104106,19740307,  109,    0
104106,19740308,  104,    0
104106,19740309,   80,    0
104106,19740310,   72,    0
104106,19740311,   96,    0
104106,19740312,   90,    0
104106,19740313,  103,    0
104106,19740314,   83,    0
104106,19740315,   89,    0
104106,19740316,  102,    0
104106,19740317,   71,    0
104106,19740318,   88,    0
104106,19740319,  105,    0
104106,19740320,  124,    0
104106,19740321,  117,    0
104106,19740322,  102,    0
