LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, VILLA TEHUELCHE (STAID: 1292).
Blended and updated with sources: 104146 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
104146,19930401,-9999,    9
104146,19930402,-9999,    9
104146,19930403,-9999,    9
104146,19930404,-9999,    9
104146,19930405,-9999,    9
104146,19930406,-9999,    9
104146,19930407,-9999,    9
104146,19930408,-9999,    9
104146,19930409,-9999,    9
104146,19930410,-9999,    9
104146,19930411,-9999,    9
104146,19930412,-9999,    9
104146,19930413,-9999,    9
104146,19930414,-9999,    9
104146,19930415,-9999,    9
104146,19930416,   76,    0
104146,19930417,   60,    0
104146,19930418,   55,    0
104146,19930419,   50,    0
104146,19930420,   50,    0
104146,19930421,   40,    0
104146,19930422,   51,    0
104146,19930423,   58,    0
104146,19930424,   59,    0
104146,19930425,   49,    0
104146,19930426,-9999,    9
104146,19930427,   38,    0
104146,19930428,   38,    0
104146,19930429,   36,    0
104146,19930430,   43,    0
104146,19930501,   57,    0
104146,19930502,   98,    0
104146,19930503,   73,    0
104146,19930504,   49,    0
104146,19930505,   41,    0
104146,19930506,   32,    0
104146,19930507,   17,    0
104146,19930508,-9999,    9
104146,19930509,-9999,    9
104146,19930510,   21,    0
104146,19930511,   35,    0
104146,19930512,   60,    0
104146,19930513,   66,    0
104146,19930514,   56,    0
104146,19930515,   41,    0
104146,19930516,   66,    0
104146,19930517,   58,    0
104146,19930518,   37,    0
104146,19930519,   46,    0
104146,19930520,   53,    0
104146,19930521,   58,    0
104146,19930522,   23,    0
104146,19930523,    1,    0
104146,19930524,  -12,    0
104146,19930525,  -15,    0
104146,19930526,  -10,    0
104146,19930527,    4,    0
104146,19930528,   17,    0
104146,19930529,    9,    0
104146,19930530,   18,    0
104146,19930531,   16,    0
104146,19930601,    4,    0
104146,19930602,   12,    0
104146,19930603,    1,    0
104146,19930604,   -3,    0
104146,19930605,    8,    0
104146,19930606,-9999,    9
104146,19930607,-9999,    9
104146,19930608, -118,    0
104146,19930609,  -76,    0
104146,19930610,  -86,    0
104146,19930611,  -44,    0
104146,19930612,   -4,    0
104146,19930613,  -21,    0
104146,19930614,   22,    0
104146,19930615,   68,    0
104146,19930616,   66,    0
104146,19930617,   39,    0
104146,19930618,   27,    0
104146,19930619,   24,    0
104146,19930620,-9999,    9
104146,19930621,-9999,    9
104146,19930622,-9999,    9
104146,19930623,-9999,    9
104146,19930624,-9999,    9
104146,19930625,-9999,    9
104146,19930626,-9999,    9
104146,19930627,-9999,    9
104146,19930628,-9999,    9
104146,19930629,-9999,    9
104146,19930630,-9999,    9
104146,19930701,-9999,    9
104146,19930702,-9999,    9
104146,19930703,-9999,    9
104146,19930704,-9999,    9
104146,19930705,-9999,    9
104146,19930706,  -12,    0
104146,19930707,   29,    0
104146,19930708,   -9,    0
104146,19930709,   14,    0
104146,19930710,   21,    0
104146,19930711,-9999,    9
104146,19930712,   63,    0
104146,19930713,   27,    0
104146,19930714,   48,    0
104146,19930715,   12,    0
104146,19930716,   14,    0
104146,19930717,   24,    0
104146,19930718,    0,    0
104146,19930719,   -3,    0
104146,19930720,  -35,    0
104146,19930721,   23,    0
104146,19930722,   16,    0
104146,19930723,   32,    0
104146,19930724,   47,    0
104146,19930725,   33,    0
104146,19930726,   32,    0
104146,19930727,   43,    0
104146,19930728,   43,    0
104146,19930729,   54,    0
104146,19930730,   54,    0
104146,19930731,   33,    0
104146,19930801,   44,    0
104146,19930802,-9999,    9
104146,19930803,-9999,    9
104146,19930804,-9999,    9
104146,19930805,-9999,    9
104146,19930806,    9,    0
104146,19930807,   11,    0
104146,19930808,   10,    0
104146,19930809,   11,    0
104146,19930810,    6,    0
104146,19930811,   34,    0
104146,19930812,-9999,    9
104146,19930813,-9999,    9
104146,19930814,-9999,    9
104146,19930815,-9999,    9
104146,19930816,-9999,    9
104146,19930817,-9999,    9
104146,19930818,-9999,    9
104146,19930819,-9999,    9
104146,19930820,-9999,    9
104146,19930821,-9999,    9
104146,19930822,-9999,    9
104146,19930823,-9999,    9
104146,19930824,   36,    0
104146,19930825,   47,    0
