LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, BAHIA SAN FELIPE (STAID: 1298).
Blended and updated with sources: 104170 104354 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
104354,19820501,-9999,    9
104354,19820502,-9999,    9
104354,19820503,-9999,    9
104354,19820504,-9999,    9
104354,19820505,-9999,    9
104354,19820506,-9999,    9
104354,19820507,-9999,    9
104354,19820508,-9999,    9
104354,19820509,-9999,    9
104354,19820510,-9999,    9
104354,19820511,-9999,    9
104354,19820512,-9999,    9
104354,19820513,-9999,    9
104354,19820514,-9999,    9
104354,19820515,-9999,    9
104354,19820516,-9999,    9
104354,19820517,-9999,    9
104354,19820518,-9999,    9
104354,19820519,-9999,    9
104354,19820520,-9999,    9
104354,19820521,-9999,    9
104354,19820522,   60,    0
104354,19820523,   36,    0
104354,19820524,   55,    0
104354,19820525,   57,    0
104354,19820526,   71,    0
104354,19820527,   70,    0
104354,19820528,   36,    0
104354,19820529,   29,    0
104354,19820530,   16,    0
104354,19820531,-9999,    9
104354,19820601,    1,    0
104354,19820602,  -17,    0
104354,19820603,   24,    0
104354,19820604,   62,    0
104354,19820605,   25,    0
104354,19820606,   32,    0
104354,19820607,    0,    0
104354,19820608,   21,    0
104354,19820609,   47,    0
104354,19820610,   19,    0
104354,19820611,   -3,    0
104354,19820612,  -14,    0
104354,19820613,  -21,    0
104354,19820614,  -36,    0
104354,19820615,  -28,    0
104354,19820616,    9,    0
104354,19820617,   -1,    0
104354,19820618,   -2,    0
104354,19820619,    6,    0
104354,19820620,   16,    0
104354,19820621,  -18,    0
104354,19820622,  -48,    0
104354,19820623,    1,    0
104354,19820624,  -12,    0
104354,19820625,   21,    0
104354,19820626,   21,    0
104354,19820627,   -6,    0
104354,19820628,   -9,    0
104354,19820629,  -25,    0
104354,19820630,  -13,    0
104354,19820701,  -12,    0
104354,19820702,  -16,    0
104354,19820703,   17,    0
104354,19820704,    9,    0
104354,19820705,   -2,    0
104354,19820706,  -30,    0
104354,19820707,  -32,    0
104354,19820708,  -15,    0
104354,19820709,    9,    0
104354,19820710,  -39,    0
104354,19820711,  -40,    0
