LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, RIO ROBALO EN PUERTO WILLIAMS (STAID: 1314).
Blended and updated with sources: 104234 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
104234,19650901,-9999,    9
104234,19650902,-9999,    9
104234,19650903,-9999,    9
104234,19650904,-9999,    9
104234,19650905,-9999,    9
104234,19650906,-9999,    9
104234,19650907,-9999,    9
104234,19650908,-9999,    9
104234,19650909,  155,    0
104234,19650910,-9999,    9
104234,19650911,-9999,    9
104234,19650912,-9999,    9
104234,19650913,-9999,    9
104234,19650914,-9999,    9
104234,19650915,-9999,    9
104234,19650916,-9999,    9
104234,19650917,-9999,    9
104234,19650918,-9999,    9
104234,19650919,-9999,    9
104234,19650920,-9999,    9
104234,19650921,-9999,    9
104234,19650922,-9999,    9
104234,19650923,-9999,    9
104234,19650924,-9999,    9
104234,19650925,-9999,    9
104234,19650926,-9999,    9
104234,19650927,-9999,    9
104234,19650928,-9999,    9
104234,19650929,-9999,    9
104234,19650930,-9999,    9
104234,19651001,  139,    0
104234,19651002,  173,    0
104234,19651003,  160,    0
104234,19651004,  159,    0
104234,19651005,  169,    0
104234,19651006,  174,    0
104234,19651007,  170,    0
104234,19651008,  170,    0
104234,19651009,  164,    0
104234,19651010,  172,    0
104234,19651011,  162,    0
104234,19651012,  169,    0
104234,19651013,  182,    0
104234,19651014,  184,    0
104234,19651015,  186,    0
104234,19651016,  173,    0
104234,19651017,  180,    0
104234,19651018,  184,    0
104234,19651019,  179,    0
104234,19651020,  185,    0
104234,19651021,  172,    0
104234,19651022,  180,    0
104234,19651023,  182,    0
104234,19651024,  177,    0
104234,19651025,  175,    0
104234,19651026,  182,    0
104234,19651027,  182,    0
104234,19651028,  181,    0
104234,19651029,  168,    0
104234,19651030,  159,    0
104234,19651031,  174,    0
104234,19651101,  175,    0
104234,19651102,  182,    0
104234,19651103,  181,    0
104234,19651104,  183,    0
104234,19651105,  181,    0
104234,19651106,  170,    0
104234,19651107,  187,    0
104234,19651108,  190,    0
104234,19651109,  191,    0
104234,19651110,  193,    0
104234,19651111,  192,    0
104234,19651112,  190,    0
104234,19651113,  189,    0
104234,19651114,  180,    0
104234,19651115,  168,    0
104234,19651116,  192,    0
104234,19651117,  180,    0
104234,19651118,  189,    0
104234,19651119,  194,    0
104234,19651120,  194,    0
104234,19651121,  194,    0
104234,19651122,  196,    0
104234,19651123,  194,    0
104234,19651124,  178,    0
104234,19651125,  172,    0
104234,19651126,  196,    0
104234,19651127,  193,    0
104234,19651128,  181,    0
104234,19651129,  185,    0
104234,19651130,  194,    0
104234,19651201,  192,    0
104234,19651202,  206,    0
104234,19651203,  201,    0
104234,19651204,  206,    0
104234,19651205,  208,    0
104234,19651206,  196,    0
104234,19651207,  211,    0
104234,19651208,  209,    0
104234,19651209,  210,    0
104234,19651210,  226,    0
104234,19651211,  209,    0
104234,19651212,  207,    0
104234,19651213,  212,    0
104234,19651214,  215,    0
104234,19651215,  222,    0
104234,19651216,  222,    0
104234,19651217,  218,    0
104234,19651218,  230,    0
104234,19651219,  230,    0
104234,19651220,  240,    0
104234,19651221,  223,    0
104234,19651222,  209,    0
104234,19651223,  204,    0
104234,19651224,  211,    0
104234,19651225,  205,    0
104234,19651226,  202,    0
104234,19651227,  192,    0
104234,19651228,  202,    0
104234,19651229,  201,    0
104234,19651230,  192,    0
104234,19651231,  214,    0
104234,19660101,  193,    0
104234,19660102,  209,    0
104234,19660103,  200,    0
104234,19660104,  198,    0
104234,19660105,  206,    0
104234,19660106,  214,    0
104234,19660107,  196,    0
104234,19660108,  203,    0
104234,19660109,  208,    0
104234,19660110,  200,    0
104234,19660111,  186,    0
104234,19660112,  196,    0
104234,19660113,  200,    0
104234,19660114,  213,    0
104234,19660115,  213,    0
104234,19660116,  207,    0
104234,19660117,  211,    0
104234,19660118,  216,    0
104234,19660119,  216,    0
104234,19660120,  212,    0
