LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, GUARDIA MARINA ZANARTU PTO WILLIAMS AD. (STAID: 1323).
Blended and updated with sources: 104285 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
104285,19680201,-9999,    9
104285,19680202,-9999,    9
104285,19680203,-9999,    9
104285,19680204,-9999,    9
104285,19680205,-9999,    9
104285,19680206,-9999,    9
104285,19680207,-9999,    9
104285,19680208,-9999,    9
104285,19680209,-9999,    9
104285,19680210,-9999,    9
104285,19680211,-9999,    9
104285,19680212,   62,    0
104285,19680213,-9999,    9
104285,19680214,-9999,    9
104285,19680215,   70,    0
104285,19680216,   92,    0
104285,19680217,   98,    0
104285,19680218,  102,    0
104285,19680219,-9999,    9
104285,19680220,   98,    0
104285,19680221,   60,    0
104285,19680222,   35,    0
104285,19680223,  100,    0
104285,19680224,  115,    0
104285,19680225,   78,    0
104285,19680226,   60,    0
104285,19680227,   85,    0
104285,19680228,   68,    0
104285,19680229,   82,    0
104285,19680301,   95,    0
104285,19680302,   92,    0
104285,19680303,   55,    0
104285,19680304,-9999,    9
104285,19680305,   75,    0
104285,19680306,   60,    0
104285,19680307,  120,    0
104285,19680308,-9999,    9
104285,19680309,   62,    0
104285,19680310,   92,    0
104285,19680311,   78,    0
104285,19680312,   58,    0
104285,19680313,   62,    0
104285,19680314,   78,    0
104285,19680315,  120,    0
104285,19680316,  105,    0
104285,19680317,-9999,    9
104285,19680318,-9999,    9
104285,19680319,-9999,    9
104285,19680320,-9999,    9
104285,19680321,-9999,    9
104285,19680322,-9999,    9
104285,19680323,-9999,    9
104285,19680324,-9999,    9
104285,19680325,-9999,    9
104285,19680326,-9999,    9
104285,19680327,-9999,    9
104285,19680328,-9999,    9
104285,19680329,-9999,    9
104285,19680330,-9999,    9
104285,19680331,-9999,    9
104285,19680401,-9999,    9
104285,19680402,-9999,    9
104285,19680403,-9999,    9
104285,19680404,-9999,    9
104285,19680405,-9999,    9
104285,19680406,-9999,    9
104285,19680407,-9999,    9
104285,19680408,-9999,    9
104285,19680409,-9999,    9
104285,19680410,-9999,    9
104285,19680411,-9999,    9
104285,19680412,-9999,    9
104285,19680413,-9999,    9
104285,19680414,-9999,    9
104285,19680415,-9999,    9
104285,19680416,-9999,    9
104285,19680417,-9999,    9
104285,19680418,-9999,    9
104285,19680419,-9999,    9
104285,19680420,-9999,    9
104285,19680421,-9999,    9
104285,19680422,-9999,    9
104285,19680423,-9999,    9
104285,19680424,-9999,    9
104285,19680425,-9999,    9
104285,19680426,-9999,    9
104285,19680427,-9999,    9
104285,19680428,-9999,    9
104285,19680429,-9999,    9
104285,19680430,-9999,    9
104285,19680501,-9999,    9
104285,19680502,-9999,    9
104285,19680503,-9999,    9
104285,19680504,-9999,    9
104285,19680505,-9999,    9
104285,19680506,-9999,    9
104285,19680507,-9999,    9
104285,19680508,-9999,    9
104285,19680509,-9999,    9
104285,19680510,-9999,    9
104285,19680511,-9999,    9
104285,19680512,-9999,    9
104285,19680513,-9999,    9
104285,19680514,-9999,    9
104285,19680515,-9999,    9
104285,19680516,-9999,    9
