LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, EL LOA CALAMA AD. (STAID: 1325).
Blended and updated with sources: 104293 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
104293,19630201,-9999,    9
104293,19630202,-9999,    9
104293,19630203,-9999,    9
104293,19630204,-9999,    9
104293,19630205,-9999,    9
104293,19630206,-9999,    9
104293,19630207,-9999,    9
104293,19630208,-9999,    9
104293,19630209,-9999,    9
104293,19630210,-9999,    9
104293,19630211,-9999,    9
104293,19630212,-9999,    9
104293,19630213,-9999,    9
104293,19630214,-9999,    9
104293,19630215,-9999,    9
104293,19630216,-9999,    9
104293,19630217,-9999,    9
104293,19630218,-9999,    9
104293,19630219,-9999,    9
104293,19630220,-9999,    9
104293,19630221,-9999,    9
104293,19630222,  210,    0
104293,19630223,-9999,    9
104293,19630224,-9999,    9
104293,19630225,-9999,    9
104293,19630226,-9999,    9
104293,19630227,-9999,    9
104293,19630228,-9999,    9
104293,19630301,-9999,    9
104293,19630302,-9999,    9
104293,19630303,-9999,    9
104293,19630304,-9999,    9
104293,19630305,-9999,    9
104293,19630306,-9999,    9
104293,19630307,-9999,    9
104293,19630308,-9999,    9
104293,19630309,-9999,    9
104293,19630310,-9999,    9
104293,19630311,-9999,    9
104293,19630312,-9999,    9
104293,19630313,-9999,    9
104293,19630314,-9999,    9
104293,19630315,-9999,    9
104293,19630316,-9999,    9
104293,19630317,-9999,    9
104293,19630318,-9999,    9
104293,19630319,-9999,    9
104293,19630320,-9999,    9
104293,19630321,-9999,    9
104293,19630322,-9999,    9
104293,19630323,-9999,    9
104293,19630324,-9999,    9
104293,19630325,-9999,    9
104293,19630326,-9999,    9
104293,19630327,-9999,    9
104293,19630328,-9999,    9
104293,19630329,-9999,    9
104293,19630330,-9999,    9
104293,19630331,-9999,    9
104293,19630401,-9999,    9
104293,19630402,-9999,    9
104293,19630403,-9999,    9
104293,19630404,-9999,    9
104293,19630405,-9999,    9
104293,19630406,-9999,    9
104293,19630407,-9999,    9
104293,19630408,-9999,    9
104293,19630409,-9999,    9
104293,19630410,-9999,    9
104293,19630411,-9999,    9
104293,19630412,-9999,    9
