LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, MATAVERI ISLA DE PASCUA AP. (STAID: 1326).
Blended and updated with sources: 104297 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
104297,19630701,-9999,    9
104297,19630702,-9999,    9
104297,19630703,-9999,    9
104297,19630704,-9999,    9
104297,19630705,-9999,    9
104297,19630706,-9999,    9
104297,19630707,-9999,    9
104297,19630708,-9999,    9
104297,19630709,-9999,    9
104297,19630710,-9999,    9
104297,19630711,-9999,    9
104297,19630712,-9999,    9
104297,19630713,-9999,    9
104297,19630714,-9999,    9
104297,19630715,-9999,    9
104297,19630716,-9999,    9
104297,19630717,-9999,    9
104297,19630718,-9999,    9
104297,19630719,-9999,    9
104297,19630720,-9999,    9
104297,19630721,-9999,    9
104297,19630722,-9999,    9
104297,19630723,-9999,    9
104297,19630724,-9999,    9
104297,19630725,-9999,    9
104297,19630726,  109,    0
104297,19630727,-9999,    9
104297,19630728,-9999,    9
104297,19630729,-9999,    9
104297,19630730,-9999,    9
104297,19630731,-9999,    9
104297,19630801,-9999,    9
104297,19630802,-9999,    9
104297,19630803,-9999,    9
104297,19630804,-9999,    9
104297,19630805,-9999,    9
104297,19630806,-9999,    9
104297,19630807,-9999,    9
104297,19630808,-9999,    9
104297,19630809,-9999,    9
104297,19630810,-9999,    9
104297,19630811,-9999,    9
104297,19630812,-9999,    9
104297,19630813,-9999,    9
104297,19630814,-9999,    9
104297,19630815,-9999,    9
104297,19630816,-9999,    9
104297,19630817,-9999,    9
104297,19630818,-9999,    9
104297,19630819,-9999,    9
104297,19630820,-9999,    9
104297,19630821,  132,    0
104297,19630822,-9999,    9
104297,19630823,-9999,    9
104297,19630824,-9999,    9
104297,19630825,-9999,    9
104297,19630826,-9999,    9
104297,19630827,-9999,    9
104297,19630828,-9999,    9
104297,19630829,-9999,    9
104297,19630830,-9999,    9
104297,19630831,-9999,    9
104297,19630901,-9999,    9
104297,19630902,-9999,    9
104297,19630903,-9999,    9
104297,19630904,-9999,    9
104297,19630905,-9999,    9
104297,19630906,-9999,    9
104297,19630907,-9999,    9
104297,19630908,-9999,    9
104297,19630909,-9999,    9
104297,19630910,-9999,    9
104297,19630911,-9999,    9
104297,19630912,-9999,    9
104297,19630913,-9999,    9
104297,19630914,-9999,    9
104297,19630915,-9999,    9
104297,19630916,-9999,    9
104297,19630917,-9999,    9
104297,19630918,-9999,    9
104297,19630919,-9999,    9
104297,19630920,-9999,    9
104297,19630921,-9999,    9
104297,19630922,-9999,    9
104297,19630923,-9999,    9
104297,19630924,-9999,    9
104297,19630925,-9999,    9
104297,19630926,-9999,    9
104297,19630927,  116,    0
104297,19630928,-9999,    9
104297,19630929,-9999,    9
104297,19630930,-9999,    9
104297,19631001,-9999,    9
104297,19631002,-9999,    9
104297,19631003,-9999,    9
104297,19631004,-9999,    9
104297,19631005,-9999,    9
104297,19631006,-9999,    9
104297,19631007,-9999,    9
104297,19631008,-9999,    9
104297,19631009,-9999,    9
104297,19631010,-9999,    9
104297,19631011,-9999,    9
104297,19631012,-9999,    9
104297,19631013,-9999,    9
104297,19631014,-9999,    9
104297,19631015,-9999,    9
104297,19631016,-9999,    9
104297,19631017,-9999,    9
104297,19631018,-9999,    9
104297,19631019,-9999,    9
104297,19631020,-9999,    9
104297,19631021,-9999,    9
104297,19631022,-9999,    9
104297,19631023,-9999,    9
104297,19631024,-9999,    9
104297,19631025,-9999,    9
104297,19631026,-9999,    9
104297,19631027,-9999,    9
104297,19631028,-9999,    9
104297,19631029,-9999,    9
104297,19631030,-9999,    9
104297,19631031,-9999,    9
104297,19631101,-9999,    9
104297,19631102,-9999,    9
104297,19631103,-9999,    9
104297,19631104,-9999,    9
104297,19631105,-9999,    9
104297,19631106,-9999,    9
104297,19631107,-9999,    9
104297,19631108,-9999,    9
104297,19631109,-9999,    9
104297,19631110,-9999,    9
104297,19631111,-9999,    9
104297,19631112,-9999,    9
104297,19631113,-9999,    9
104297,19631114,-9999,    9
