LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, JUAN FERNANDEZ ESTACION METEOROLOGICA. (STAID: 1329).
Blended and updated with sources: 104310 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
104310,19600501,-9999,    9
104310,19600502,-9999,    9
104310,19600503,-9999,    9
104310,19600504,-9999,    9
104310,19600505,-9999,    9
104310,19600506,-9999,    9
104310,19600507,-9999,    9
104310,19600508,-9999,    9
104310,19600509,-9999,    9
104310,19600510,-9999,    9
104310,19600511,-9999,    9
104310,19600512,-9999,    9
104310,19600513,-9999,    9
104310,19600514,-9999,    9
104310,19600515,-9999,    9
104310,19600516,-9999,    9
104310,19600517,-9999,    9
104310,19600518,-9999,    9
104310,19600519,-9999,    9
104310,19600520,-9999,    9
104310,19600521,-9999,    9
104310,19600522,-9999,    9
104310,19600523,   61,    0
104310,19600524,   54,    0
104310,19600525,-9999,    9
104310,19600526,   88,    0
104310,19600527,  102,    0
104310,19600528,   79,    0
104310,19600529,   87,    0
104310,19600530,   52,    0
104310,19600531,   87,    0
104310,19600601,  120,    0
104310,19600602,  131,    0
104310,19600603,  114,    0
104310,19600604,  102,    0
104310,19600605,   97,    0
104310,19600606,-9999,    9
104310,19600607,  109,    0
104310,19600608,-9999,    9
104310,19600609,-9999,    9
104310,19600610,-9999,    9
104310,19600611,   72,    0
104310,19600612,-9999,    9
104310,19600613,  111,    0
104310,19600614,-9999,    9
104310,19600615,  108,    0
104310,19600616,-9999,    9
104310,19600617,-9999,    9
104310,19600618,-9999,    9
104310,19600619,-9999,    9
104310,19600620,   99,    0
104310,19600621,-9999,    9
104310,19600622,-9999,    9
104310,19600623,-9999,    9
104310,19600624,-9999,    9
104310,19600625,-9999,    9
104310,19600626,-9999,    9
104310,19600627,-9999,    9
104310,19600628,-9999,    9
104310,19600629,-9999,    9
104310,19600630,-9999,    9
104310,19600701,-9999,    9
104310,19600702,-9999,    9
104310,19600703,-9999,    9
104310,19600704,-9999,    9
104310,19600705,-9999,    9
104310,19600706,-9999,    9
104310,19600707,-9999,    9
104310,19600708,-9999,    9
104310,19600709,-9999,    9
104310,19600710,-9999,    9
104310,19600711,-9999,    9
104310,19600712,-9999,    9
104310,19600713,-9999,    9
104310,19600714,-9999,    9
104310,19600715,-9999,    9
104310,19600716,-9999,    9
104310,19600717,-9999,    9
104310,19600718,-9999,    9
104310,19600719,-9999,    9
104310,19600720,-9999,    9
104310,19600721,-9999,    9
104310,19600722,-9999,    9
104310,19600723,-9999,    9
104310,19600724,-9999,    9
104310,19600725,-9999,    9
104310,19600726,-9999,    9
104310,19600727,-9999,    9
104310,19600728,-9999,    9
104310,19600729,-9999,    9
104310,19600730,-9999,    9
104310,19600731,-9999,    9
104310,19600801,-9999,    9
104310,19600802,-9999,    9
104310,19600803,-9999,    9
104310,19600804,-9999,    9
104310,19600805,-9999,    9
104310,19600806,-9999,    9
104310,19600807,-9999,    9
104310,19600808,-9999,    9
104310,19600809,-9999,    9
104310,19600810,-9999,    9
104310,19600811,-9999,    9
104310,19600812,-9999,    9
104310,19600813,-9999,    9
104310,19600814,-9999,    9
104310,19600815,-9999,    9
104310,19600816,-9999,    9
104310,19600817,-9999,    9
104310,19600818,-9999,    9
104310,19600819,-9999,    9
104310,19600820,-9999,    9
104310,19600821,-9999,    9
104310,19600822,-9999,    9
104310,19600823,-9999,    9
104310,19600824,-9999,    9
104310,19600825,-9999,    9
104310,19600826,-9999,    9
104310,19600827,-9999,    9
104310,19600828,-9999,    9
104310,19600829,-9999,    9
104310,19600830,-9999,    9
104310,19600831,-9999,    9
104310,19600901,-9999,    9
104310,19600902,-9999,    9
104310,19600903,-9999,    9
104310,19600904,-9999,    9
104310,19600905,-9999,    9
104310,19600906,-9999,    9
104310,19600907,-9999,    9
104310,19600908,-9999,    9
104310,19600909,-9999,    9
