LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, CHAITEN AD. (STAID: 1331).
Blended and updated with sources: 104318 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
104318,19651101,-9999,    9
104318,19651102,   84,    0
104318,19651103,   70,    0
104318,19651104,  100,    0
104318,19651105,  115,    0
104318,19651106,   87,    0
104318,19651107,  126,    0
104318,19651108,  121,    0
104318,19651109,  110,    0
104318,19651110,   97,    0
104318,19651111,   89,    0
104318,19651112,   83,    0
104318,19651113,-9999,    9
104318,19651114,  107,    0
104318,19651115,  145,    0
104318,19651116,  110,    0
104318,19651117,  136,    0
104318,19651118,  135,    0
104318,19651119,  150,    0
104318,19651120,  129,    0
104318,19651121,  133,    0
104318,19651122,  104,    0
104318,19651123,  105,    0
104318,19651124,  109,    0
104318,19651125,  128,    0
104318,19651126,  146,    0
104318,19651127,  148,    0
104318,19651128,  134,    0
104318,19651129,   84,    0
104318,19651130,  109,    0
104318,19651201,  115,    0
104318,19651202,  117,    0
104318,19651203,   98,    0
104318,19651204,   80,    0
104318,19651205,   83,    0
104318,19651206,   85,    0
104318,19651207,   97,    0
104318,19651208,   81,    0
104318,19651209,  100,    0
104318,19651210,   95,    0
104318,19651211,   83,    0
104318,19651212,   82,    0
104318,19651213,   98,    0
104318,19651214,   94,    0
104318,19651215,  103,    0
104318,19651216,  117,    0
104318,19651217,  104,    0
104318,19651218,  102,    0
104318,19651219,   95,    0
104318,19651220,  126,    0
104318,19651221,  129,    0
104318,19651222,  126,    0
104318,19651223,  124,    0
104318,19651224,  123,    0
104318,19651225,  113,    0
104318,19651226,  125,    0
104318,19651227,  118,    0
104318,19651228,  146,    0
104318,19651229,  143,    0
104318,19651230,  140,    0
104318,19651231,  151,    0
104318,19660101,  142,    0
104318,19660102,  152,    0
104318,19660103,  128,    0
104318,19660104,  136,    0
104318,19660105,  131,    0
104318,19660106,  103,    0
104318,19660107,  118,    0
104318,19660108,  128,    0
104318,19660109,  134,    0
104318,19660110,  134,    0
104318,19660111,  145,    0
104318,19660112,  142,    0
104318,19660113,  136,    0
104318,19660114,  168,    0
104318,19660115,  142,    0
104318,19660116,  123,    0
104318,19660117,  128,    0
104318,19660118,  125,    0
104318,19660119,  102,    0
104318,19660120,  114,    0
104318,19660121,  121,    0
104318,19660122,  119,    0
104318,19660123,  130,    0
104318,19660124,  145,    0
104318,19660125,-9999,    9
104318,19660126,  141,    0
104318,19660127,  171,    0
104318,19660128,  139,    0
104318,19660129,  124,    0
104318,19660130,  140,    0
104318,19660131,  127,    0
104318,19660201,  117,    0
104318,19660202,  120,    0
104318,19660203,  118,    0
104318,19660204,  135,    0
104318,19660205,  123,    0
104318,19660206,   95,    0
104318,19660207,   78,    0
104318,19660208,  103,    0
104318,19660209,   93,    0
104318,19660210,  121,    0
104318,19660211,   88,    0
104318,19660212,  110,    0
104318,19660213,  109,    0
104318,19660214,  134,    0
104318,19660215,  111,    0
104318,19660216,  137,    0
104318,19660217,  132,    0
104318,19660218,  148,    0
104318,19660219,  112,    0
104318,19660220,  111,    0
104318,19660221,   90,    0
104318,19660222,  103,    0
104318,19660223,  114,    0
104318,19660224,   79,    0
104318,19660225,   84,    0
104318,19660226,  110,    0
104318,19660227,  111,    0
104318,19660228,   89,    0
104318,19660301,  121,    0
104318,19660302,  119,    0
104318,19660303,  123,    0
104318,19660304,  119,    0
104318,19660305,  113,    0
104318,19660306,   92,    0
104318,19660307,  152,    0
104318,19660308,  138,    0
104318,19660309,  126,    0
104318,19660310,  122,    0
104318,19660311,  130,    0
104318,19660312,  129,    0
104318,19660313,  132,    0
104318,19660314,  133,    0
104318,19660315,  107,    0
104318,19660316,   80,    0
104318,19660317,  107,    0
104318,19660318,  134,    0
104318,19660319,  105,    0
104318,19660320,  104,    0
104318,19660321,  125,    0
104318,19660322,  105,    0
104318,19660323,  112,    0
104318,19660324,  108,    0
104318,19660325,  109,    0
104318,19660326,  121,    0
104318,19660327,  128,    0
104318,19660328,  125,    0
104318,19660329,  141,    0
104318,19660330,  176,    0
104318,19660331,  175,    0
104318,19660401,  153,    0
104318,19660402,  129,    0
104318,19660403,  116,    0
104318,19660404,  122,    0
104318,19660405,  130,    0
104318,19660406,   83,    0
104318,19660407,  105,    0
104318,19660408,   96,    0
104318,19660409,  105,    0
104318,19660410,  132,    0
104318,19660411,  109,    0
104318,19660412,  117,    0
104318,19660413,  136,    0
104318,19660414,  136,    0
104318,19660415,  105,    0
104318,19660416,  103,    0
104318,19660417,   68,    0
104318,19660418,   48,    0
104318,19660419,  119,    0
104318,19660420,  114,    0
104318,19660421,   98,    0
104318,19660422,  124,    0
104318,19660423,  134,    0
104318,19660424,  133,    0
104318,19660425,  122,    0
104318,19660426,  128,    0
104318,19660427,  122,    0
104318,19660428,   90,    0
104318,19660429,  100,    0
104318,19660430,  130,    0
104318,19660501,  107,    0
104318,19660502,  137,    0
104318,19660503,  112,    0
104318,19660504,   61,    0
104318,19660505,   54,    0
104318,19660506,  114,    0
104318,19660507,  121,    0
104318,19660508,   78,    0
104318,19660509,   60,    0
104318,19660510,   61,    0
104318,19660511,   51,    0
104318,19660512,   72,    0
104318,19660513,  100,    0
104318,19660514,  111,    0
104318,19660515,  102,    0
104318,19660516,  122,    0
104318,19660517,  141,    0
104318,19660518,  145,    0
104318,19660519,  146,    0
104318,19660520,  110,    0
104318,19660521,   95,    0
104318,19660522,  104,    0
104318,19660523,  102,    0
104318,19660524,  153,    0
104318,19660525,   72,    0
104318,19660526,   60,    0
104318,19660527,   70,    0
104318,19660528,   49,    0
104318,19660529,  123,    0
104318,19660530,  143,    0
104318,19660531,  132,    0
104318,19660601,  140,    0
104318,19660602,  117,    0
104318,19660603,  110,    0
104318,19660604,   80,    0
104318,19660605,   46,    0
104318,19660606,   66,    0
104318,19660607,  114,    0
104318,19660608,   99,    0
104318,19660609,   94,    0
104318,19660610,   89,    0
104318,19660611,   50,    0
104318,19660612,   55,    0
104318,19660613,   54,    0
104318,19660614,   54,    0
104318,19660615,   48,    0
104318,19660616,   62,    0
104318,19660617,   65,    0
104318,19660618,   80,    0
104318,19660619,   81,    0
104318,19660620,   83,    0
104318,19660621,   88,    0
104318,19660622,   48,    0
104318,19660623,   76,    0
104318,19660624,   97,    0
104318,19660625,   66,    0
104318,19660626,   45,    0
104318,19660627,   72,    0
104318,19660628,   60,    0
104318,19660629,   53,    0
104318,19660630,   92,    0
104318,19660701,  117,    0
104318,19660702,  112,    0
104318,19660703,  133,    0
104318,19660704,  114,    0
104318,19660705,  121,    0
104318,19660706,   63,    0
104318,19660707,   58,    0
104318,19660708,   35,    0
104318,19660709,   33,    0
104318,19660710,   45,    0
104318,19660711,   41,    0
104318,19660712,   24,    0
104318,19660713,   48,    0
104318,19660714,   29,    0
104318,19660715,   85,    0
104318,19660716,  134,    0
104318,19660717,  101,    0
