LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, FUTALEUFU AD. (STAID: 1332).
Blended and updated with sources: 104322 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
104322,19610801,-9999,    9
104322,19610802,-9999,    9
104322,19610803,-9999,    9
104322,19610804,-9999,    9
104322,19610805,-9999,    9
104322,19610806,-9999,    9
104322,19610807,-9999,    9
104322,19610808,-9999,    9
104322,19610809,   62,    0
104322,19610810,-9999,    9
104322,19610811,-9999,    9
104322,19610812,-9999,    9
104322,19610813,-9999,    9
104322,19610814,-9999,    9
104322,19610815,-9999,    9
104322,19610816,-9999,    9
104322,19610817,-9999,    9
104322,19610818,-9999,    9
104322,19610819,-9999,    9
104322,19610820,-9999,    9
104322,19610821,-9999,    9
104322,19610822,-9999,    9
104322,19610823,-9999,    9
104322,19610824,-9999,    9
104322,19610825,-9999,    9
104322,19610826,-9999,    9
104322,19610827,-9999,    9
104322,19610828,-9999,    9
104322,19610829,-9999,    9
104322,19610830,-9999,    9
104322,19610831,-9999,    9
104322,19610901,-9999,    9
104322,19610902,-9999,    9
104322,19610903,-9999,    9
104322,19610904,-9999,    9
104322,19610905,-9999,    9
104322,19610906,-9999,    9
104322,19610907,-9999,    9
104322,19610908,-9999,    9
104322,19610909,-9999,    9
104322,19610910,-9999,    9
104322,19610911,-9999,    9
104322,19610912,-9999,    9
104322,19610913,-9999,    9
104322,19610914,-9999,    9
104322,19610915,-9999,    9
104322,19610916,-9999,    9
104322,19610917,-9999,    9
104322,19610918,-9999,    9
104322,19610919,-9999,    9
104322,19610920,-9999,    9
104322,19610921,-9999,    9
104322,19610922,-9999,    9
104322,19610923,-9999,    9
104322,19610924,-9999,    9
104322,19610925,-9999,    9
104322,19610926,-9999,    9
104322,19610927,-9999,    9
104322,19610928,-9999,    9
104322,19610929,-9999,    9
104322,19610930,-9999,    9
104322,19611001,-9999,    9
104322,19611002,-9999,    9
104322,19611003,-9999,    9
104322,19611004,-9999,    9
104322,19611005,-9999,    9
104322,19611006,-9999,    9
104322,19611007,-9999,    9
104322,19611008,-9999,    9
104322,19611009,-9999,    9
104322,19611010,-9999,    9
104322,19611011,-9999,    9
104322,19611012,-9999,    9
104322,19611013,-9999,    9
104322,19611014,-9999,    9
104322,19611015,-9999,    9
104322,19611016,-9999,    9
104322,19611017,-9999,    9
104322,19611018,-9999,    9
104322,19611019,-9999,    9
104322,19611020,-9999,    9
104322,19611021,-9999,    9
104322,19611022,-9999,    9
104322,19611023,-9999,    9
104322,19611024,-9999,    9
104322,19611025,-9999,    9
104322,19611026,-9999,    9
104322,19611027,-9999,    9
104322,19611028,-9999,    9
104322,19611029,-9999,    9
104322,19611030,-9999,    9
104322,19611031,-9999,    9
104322,19611101,-9999,    9
104322,19611102,-9999,    9
104322,19611103,-9999,    9
104322,19611104,-9999,    9
104322,19611105,-9999,    9
104322,19611106,-9999,    9
104322,19611107,-9999,    9
104322,19611108,-9999,    9
104322,19611109,-9999,    9
104322,19611110,-9999,    9
104322,19611111,-9999,    9
104322,19611112,-9999,    9
104322,19611113,-9999,    9
104322,19611114,-9999,    9
104322,19611115,-9999,    9
104322,19611116,-9999,    9
104322,19611117,-9999,    9
104322,19611118,-9999,    9
104322,19611119,-9999,    9
104322,19611120,-9999,    9
104322,19611121,-9999,    9
104322,19611122,-9999,    9
104322,19611123,-9999,    9
104322,19611124,-9999,    9
104322,19611125,-9999,    9
104322,19611126,-9999,    9
104322,19611127,-9999,    9
104322,19611128,-9999,    9
104322,19611129,-9999,    9
104322,19611130,-9999,    9
104322,19611201,-9999,    9
104322,19611202,-9999,    9
104322,19611203,-9999,    9
104322,19611204,-9999,    9
104322,19611205,-9999,    9
104322,19611206,-9999,    9
104322,19611207,  130,    0
104322,19611208,-9999,    9
104322,19611209,-9999,    9
104322,19611210,-9999,    9
104322,19611211,-9999,    9
104322,19611212,-9999,    9
104322,19611213,-9999,    9
104322,19611214,-9999,    9
104322,19611215,-9999,    9
104322,19611216,-9999,    9
104322,19611217,-9999,    9
104322,19611218,-9999,    9
104322,19611219,-9999,    9
104322,19611220,-9999,    9
104322,19611221,-9999,    9
104322,19611222,-9999,    9
104322,19611223,-9999,    9
104322,19611224,-9999,    9
104322,19611225,-9999,    9
104322,19611226,-9999,    9
104322,19611227,-9999,    9
104322,19611228,-9999,    9
104322,19611229,-9999,    9
104322,19611230,-9999,    9
104322,19611231,-9999,    9
104322,19620101,-9999,    9
104322,19620102,-9999,    9
104322,19620103,-9999,    9
104322,19620104,-9999,    9
104322,19620105,-9999,    9
104322,19620106,-9999,    9
104322,19620107,-9999,    9
104322,19620108,-9999,    9
104322,19620109,-9999,    9
104322,19620110,-9999,    9
104322,19620111,-9999,    9
104322,19620112,-9999,    9
104322,19620113,-9999,    9
104322,19620114,-9999,    9
104322,19620115,-9999,    9
104322,19620116,-9999,    9
104322,19620117,-9999,    9
104322,19620118,-9999,    9
104322,19620119,-9999,    9
104322,19620120,-9999,    9
104322,19620121,-9999,    9
104322,19620122,-9999,    9
104322,19620123,-9999,    9
104322,19620124,-9999,    9
104322,19620125,-9999,    9
104322,19620126,-9999,    9
104322,19620127,-9999,    9
104322,19620128,-9999,    9
104322,19620129,-9999,    9
104322,19620130,-9999,    9
104322,19620131,-9999,    9
104322,19620201,-9999,    9
104322,19620202,-9999,    9
104322,19620203,-9999,    9
104322,19620204,-9999,    9
104322,19620205,-9999,    9
104322,19620206,-9999,    9
104322,19620207,-9999,    9
104322,19620208,-9999,    9
104322,19620209,-9999,    9
104322,19620210,-9999,    9
104322,19620211,-9999,    9
104322,19620212,-9999,    9
104322,19620213,-9999,    9
104322,19620214,-9999,    9
104322,19620215,-9999,    9
104322,19620216,-9999,    9
104322,19620217,-9999,    9
104322,19620218,-9999,    9
104322,19620219,-9999,    9
104322,19620220,-9999,    9
104322,19620221,-9999,    9
104322,19620222,-9999,    9
104322,19620223,-9999,    9
104322,19620224,-9999,    9
104322,19620225,-9999,    9
104322,19620226,-9999,    9
104322,19620227,-9999,    9
104322,19620228,-9999,    9
104322,19620301,-9999,    9
104322,19620302,-9999,    9
104322,19620303,-9999,    9
104322,19620304,-9999,    9
104322,19620305,-9999,    9
104322,19620306,-9999,    9
104322,19620307,-9999,    9
104322,19620308,-9999,    9
104322,19620309,-9999,    9
104322,19620310,-9999,    9
