LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, ALTO PALENA AD. (STAID: 1333).
Blended and updated with sources: 104326 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
104326,19600701,-9999,    9
104326,19600702,-9999,    9
104326,19600703,-9999,    9
104326,19600704,-9999,    9
104326,19600705,-9999,    9
104326,19600706,-9999,    9
104326,19600707,-9999,    9
104326,19600708,-9999,    9
104326,19600709,-9999,    9
104326,19600710,-9999,    9
104326,19600711,-9999,    9
104326,19600712,-9999,    9
104326,19600713,-9999,    9
104326,19600714,-9999,    9
104326,19600715,-9999,    9
104326,19600716,-9999,    9
104326,19600717,-9999,    9
104326,19600718,-9999,    9
104326,19600719,   10,    0
104326,19600720,-9999,    9
104326,19600721,-9999,    9
104326,19600722,-9999,    9
104326,19600723,-9999,    9
104326,19600724,-9999,    9
104326,19600725,-9999,    9
104326,19600726,-9999,    9
104326,19600727,-9999,    9
104326,19600728,-9999,    9
104326,19600729,-9999,    9
104326,19600730,-9999,    9
104326,19600731,-9999,    9
104326,19600801,-9999,    9
104326,19600802,-9999,    9
104326,19600803,-9999,    9
104326,19600804,-9999,    9
104326,19600805,-9999,    9
104326,19600806,-9999,    9
104326,19600807,-9999,    9
104326,19600808,-9999,    9
104326,19600809,-9999,    9
104326,19600810,-9999,    9
104326,19600811,-9999,    9
104326,19600812,-9999,    9
104326,19600813,-9999,    9
104326,19600814,-9999,    9
104326,19600815,-9999,    9
104326,19600816,-9999,    9
104326,19600817,-9999,    9
104326,19600818,-9999,    9
104326,19600819,-9999,    9
104326,19600820,-9999,    9
104326,19600821,-9999,    9
104326,19600822,-9999,    9
104326,19600823,-9999,    9
104326,19600824,-9999,    9
104326,19600825,-9999,    9
104326,19600826,-9999,    9
104326,19600827,-9999,    9
104326,19600828,-9999,    9
104326,19600829,-9999,    9
104326,19600830,-9999,    9
104326,19600831,-9999,    9
104326,19600901,   37,    0
104326,19600902,-9999,    9
104326,19600903,-9999,    9
104326,19600904,-9999,    9
104326,19600905,-9999,    9
104326,19600906,-9999,    9
104326,19600907,-9999,    9
104326,19600908,-9999,    9
104326,19600909,-9999,    9
104326,19600910,-9999,    9
104326,19600911,-9999,    9
104326,19600912,-9999,    9
104326,19600913,-9999,    9
104326,19600914,-9999,    9
104326,19600915,-9999,    9
104326,19600916,-9999,    9
104326,19600917,-9999,    9
104326,19600918,-9999,    9
104326,19600919,-9999,    9
104326,19600920,-9999,    9
104326,19600921,-9999,    9
104326,19600922,-9999,    9
104326,19600923,-9999,    9
104326,19600924,-9999,    9
104326,19600925,-9999,    9
104326,19600926,-9999,    9
104326,19600927,-9999,    9
104326,19600928,-9999,    9
104326,19600929,-9999,    9
104326,19600930,-9999,    9
104326,19601001,-9999,    9
104326,19601002,-9999,    9
104326,19601003,-9999,    9
104326,19601004,-9999,    9
104326,19601005,-9999,    9
104326,19601006,-9999,    9
104326,19601007,-9999,    9
104326,19601008,-9999,    9
104326,19601009,-9999,    9
104326,19601010,-9999,    9
104326,19601011,-9999,    9
104326,19601012,-9999,    9
104326,19601013,-9999,    9
104326,19601014,-9999,    9
104326,19601015,-9999,    9
104326,19601016,-9999,    9
104326,19601017,-9999,    9
104326,19601018,-9999,    9
104326,19601019,-9999,    9
104326,19601020,-9999,    9
104326,19601021,-9999,    9
104326,19601022,-9999,    9
104326,19601023,-9999,    9
104326,19601024,-9999,    9
104326,19601025,-9999,    9
104326,19601026,-9999,    9
104326,19601027,-9999,    9
104326,19601028,-9999,    9
104326,19601029,-9999,    9
104326,19601030,-9999,    9
104326,19601031,-9999,    9
104326,19601101,-9999,    9
104326,19601102,-9999,    9
104326,19601103,-9999,    9
104326,19601104,-9999,    9
104326,19601105,-9999,    9
104326,19601106,-9999,    9
104326,19601107,-9999,    9
104326,19601108,-9999,    9
104326,19601109,-9999,    9
104326,19601110,-9999,    9
104326,19601111,-9999,    9
104326,19601112,-9999,    9
104326,19601113,-9999,    9
104326,19601114,-9999,    9
104326,19601115,-9999,    9
104326,19601116,-9999,    9
104326,19601117,-9999,    9
104326,19601118,-9999,    9
104326,19601119,-9999,    9
104326,19601120,-9999,    9
104326,19601121,-9999,    9
104326,19601122,-9999,    9
104326,19601123,-9999,    9
104326,19601124,-9999,    9
104326,19601125,-9999,    9
104326,19601126,-9999,    9
104326,19601127,-9999,    9
104326,19601128,-9999,    9
104326,19601129,-9999,    9
104326,19601130,-9999,    9
104326,19601201,-9999,    9
104326,19601202,-9999,    9
104326,19601203,-9999,    9
104326,19601204,-9999,    9
104326,19601205,-9999,    9
104326,19601206,-9999,    9
104326,19601207,-9999,    9
104326,19601208,-9999,    9
104326,19601209,-9999,    9
104326,19601210,-9999,    9
104326,19601211,-9999,    9
104326,19601212,-9999,    9
