LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, FUENTES MARTINEZ PORVENIR AD. (STAID: 1335).
Blended and updated with sources: 104334 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
104334,19850401,   54,    0
104334,19850402,   49,    0
104334,19850403,   73,    0
104334,19850404,   46,    0
104334,19850405,   33,    0
104334,19850406,   38,    0
104334,19850407,   74,    0
104334,19850408,   77,    0
104334,19850409,   60,    0
104334,19850410,   55,    0
104334,19850411,   62,    0
104334,19850412,   85,    0
104334,19850413,   81,    0
104334,19850414,   69,    0
104334,19850415,   49,    0
104334,19850416,   64,    0
104334,19850417,   62,    0
104334,19850418,   70,    0
104334,19850419,   68,    0
104334,19850420,   74,    0
104334,19850421,   81,    0
104334,19850422,   61,    0
104334,19850423,   78,    0
104334,19850424,   70,    0
104334,19850425,   52,    0
104334,19850426,   34,    0
104334,19850427,   42,    0
104334,19850428,   43,    0
104334,19850429,   56,    0
104334,19850430,   29,    0
104334,19850501,   68,    0
104334,19850502,   56,    0
104334,19850503,   50,    0
104334,19850504,   49,    0
104334,19850505,   46,    0
104334,19850506,   42,    0
104334,19850507,   36,    0
104334,19850508,   50,    0
104334,19850509,   26,    0
104334,19850510,   27,    0
104334,19850511,   39,    0
104334,19850512,   54,    0
104334,19850513,   42,    0
104334,19850514,   61,    0
104334,19850515,   47,    0
104334,19850516,   38,    0
104334,19850517,   31,    0
104334,19850518,    7,    0
104334,19850519,   18,    0
104334,19850520,  -20,    0
104334,19850521,   -6,    0
104334,19850522,    6,    0
104334,19850523,   17,    0
104334,19850524,   14,    0
104334,19850525,   13,    0
104334,19850526,   16,    0
104334,19850527,    5,    0
104334,19850528,   20,    0
104334,19850529,    2,    0
104334,19850530,   18,    0
104334,19850531,   -6,    0
104334,19850601,   -5,    0
104334,19850602,   15,    0
104334,19850603,   27,    0
104334,19850604,   37,    0
104334,19850605,   27,    0
104334,19850606,   36,    0
104334,19850607,   32,    0
104334,19850608,   17,    0
104334,19850609,   47,    0
104334,19850610,   36,    0
104334,19850611,   29,    0
104334,19850612,   30,    0
104334,19850613,   33,    0
104334,19850614,   16,    0
104334,19850615,   14,    0
104334,19850616,   -4,    0
104334,19850617,   -1,    0
104334,19850618,   -1,    0
104334,19850619,   40,    0
104334,19850620,   40,    0
104334,19850621,   50,    0
104334,19850622,   52,    0
104334,19850623,   31,    0
104334,19850624,   28,    0
104334,19850625,   35,    0
104334,19850626,   14,    0
104334,19850627,   20,    0
104334,19850628,  -17,    0
104334,19850629,    5,    0
104334,19850630,   10,    0
104334,19850701,    3,    0
104334,19850702,   22,    0
104334,19850703,    6,    0
104334,19850704,   36,    0
104334,19850705,   26,    0
104334,19850706,   13,    0
104334,19850707,   -2,    0
104334,19850708,   -6,    0
104334,19850709,   25,    0
104334,19850710,   26,    0
104334,19850711,   12,    0
104334,19850712,   25,    0
104334,19850713,    7,    0
104334,19850714,   22,    0
104334,19850715,   21,    0
104334,19850716,  -18,    0
104334,19850717,   38,    0
104334,19850718,   35,    0
104334,19850719,   30,    0
104334,19850720,   27,    0
104334,19850721,    8,    0
104334,19850722,   40,    0
104334,19850723,   36,    0
104334,19850724,   41,    0
104334,19850725,   62,    0
104334,19850726,   41,    0
104334,19850727,   12,    0
104334,19850728,   29,    0
104334,19850729,   30,    0
104334,19850730,   34,    0
104334,19850731,   46,    0
104334,19850801,   20,    0
104334,19850802,   20,    0
104334,19850803,   24,    0
104334,19850804,   38,    0
104334,19850805,   45,    0
104334,19850806,   14,    0
104334,19850807,   42,    0
104334,19850808,   38,    0
104334,19850809,   62,    0
104334,19850810,   28,    0
104334,19850811,   40,    0
104334,19850812,   56,    0
104334,19850813,   39,    0
104334,19850814,   34,    0
104334,19850815,   20,    0
104334,19850816,   14,    0
104334,19850817,   37,    0
104334,19850818,   43,    0
104334,19850819,   14,    0
104334,19850820,    9,    0
104334,19850821,   46,    0
104334,19850822,   33,    0
104334,19850823,   48,    0
104334,19850824,   67,    0
104334,19850825,   52,    0
104334,19850826,   55,    0
104334,19850827,   60,    0
104334,19850828,   36,    0
104334,19850829,   36,    0
104334,19850830,   16,    0
104334,19850831,   44,    0
104334,19850901,   66,    0
104334,19850902,   37,    0
104334,19850903,   35,    0
104334,19850904,   28,    0
104334,19850905,   66,    0
104334,19850906,   49,    0
104334,19850907,   51,    0
104334,19850908,   34,    0
104334,19850909,   37,    0
104334,19850910,   24,    0
104334,19850911,    7,    0
104334,19850912,   10,    0
104334,19850913,   28,    0
104334,19850914,   39,    0
104334,19850915,   44,    0
104334,19850916,   51,    0
104334,19850917,   31,    0
104334,19850918,   52,    0
104334,19850919,   54,    0
104334,19850920,   56,    0
104334,19850921,   60,    0
104334,19850922,   82,    0
104334,19850923,   58,    0
104334,19850924,   26,    0
104334,19850925,   49,    0
104334,19850926,   43,    0
104334,19850927,   84,    0
104334,19850928,   79,    0
104334,19850929,   77,    0
104334,19850930,   51,    0
104334,19851001,   60,    0
104334,19851002,   70,    0
104334,19851003,   54,    0
104334,19851004,   49,    0
104334,19851005,   57,    0
104334,19851006,   62,    0
104334,19851007,-9999,    9
104334,19851008,   87,    0
104334,19851009,   81,    0
104334,19851010,   64,    0
104334,19851011,   47,    0
104334,19851012,   49,    0
104334,19851013,   37,    0
104334,19851014,   67,    0
104334,19851015,   48,    0
104334,19851016,   54,    0
104334,19851017,   47,    0
104334,19851018,   64,    0
104334,19851019,   66,    0
104334,19851020,   71,    0
104334,19851021,   87,    0
104334,19851022,   90,    0
104334,19851023,   87,    0
104334,19851024,  102,    0
104334,19851025,   88,    0
104334,19851026,   75,    0
104334,19851027,   72,    0
104334,19851028,   71,    0
104334,19851029,   57,    0
104334,19851030,   59,    0
104334,19851031,   80,    0
104334,19851101,   88,    0
104334,19851102,   84,    0
104334,19851103,  106,    0
104334,19851104,   79,    0
104334,19851105,   96,    0
104334,19851106,   90,    0
104334,19851107,   91,    0
104334,19851108,   91,    0
104334,19851109,   85,    0
104334,19851110,   81,    0
104334,19851111,-9999,    9
104334,19851112,   78,    0
104334,19851113,   90,    0
104334,19851114,  102,    0
104334,19851115,   85,    0
104334,19851116,   88,    0
104334,19851117,  105,    0
104334,19851118,  108,    0
104334,19851119,  116,    1
104334,19851120,  125,    1
104334,19851121,  119,    1
104334,19851122,  111,    0
104334,19851123,   81,    0
104334,19851124,   67,    0
104334,19851125,   84,    0
104334,19851126,   98,    0
104334,19851127,  109,    0
104334,19851128,  112,    0
104334,19851129,  104,    0
104334,19851130,  103,    0
104334,19851201,  141,    1
104334,19851202,  146,    1
104334,19851203,   89,    0
104334,19851204,   93,    0
104334,19851205,   79,    0
104334,19851206,   86,    0
104334,19851207,   74,    0
104334,19851208,   91,    0
104334,19851209,   96,    0
104334,19851210,   83,    0
104334,19851211,  101,    0
104334,19851212,  113,    0
104334,19851213,   87,    0
104334,19851214,   84,    0
104334,19851215,  106,    0
104334,19851216,  129,    0
104334,19851217,  151,    1
104334,19851218,   93,    0
104334,19851219,  121,    0
104334,19851220,  115,    0
104334,19851221,  101,    0
104334,19851222,  126,    0
104334,19851223,   92,    0
104334,19851224,   91,    0
104334,19851225,  124,    0
104334,19851226,  132,    0
104334,19851227,   72,    0
104334,19851228,  105,    0
104334,19851229,  118,    0
104334,19851230,  130,    0
104334,19851231,  121,    0
104334,19860101,  118,    0
104334,19860102,  138,    0
104334,19860103,  115,    0
104334,19860104,  118,    0
104334,19860105,  127,    0
104334,19860106,  126,    0
104334,19860107,  115,    0
104334,19860108,  124,    0
104334,19860109,   96,    0
104334,19860110,  122,    0
104334,19860111,   88,    0
104334,19860112,   87,    0
104334,19860113,   86,    0
104334,19860114,   68,    0
104334,19860115,  125,    0
104334,19860116,  133,    1
104334,19860117,  123,    0
104334,19860118,  101,    0
104334,19860119,  112,    0
104334,19860120,  110,    0
104334,19860121,  116,    0
104334,19860122,  126,    0
104334,19860123,   97,    0
104334,19860124,  106,    0
104334,19860125,   94,    0
104334,19860126,   86,    0
104334,19860127,   87,    0
104334,19860128,  103,    0
104334,19860129,   83,    0
104334,19860130,   71,    0
104334,19860131,   92,    0
104334,19860201,  115,    0
104334,19860202,  110,    0
104334,19860203,  106,    0
104334,19860204,   78,    0
104334,19860205,   88,    0
104334,19860206,   94,    0
104334,19860207,   92,    0
104334,19860208,   83,    0
104334,19860209,   73,    0
104334,19860210,   98,    0
104334,19860211,  121,    0
104334,19860212,  101,    0
104334,19860213,  109,    0
104334,19860214,  112,    0
104334,19860215,  104,    0
104334,19860216,  114,    0
104334,19860217,  102,    0
104334,19860218,   67,    0
104334,19860219,   59,    0
104334,19860220,   92,    0
104334,19860221,   90,    0
104334,19860222,   82,    0
104334,19860223,  111,    0
104334,19860224,   89,    0
104334,19860225,   77,    0
104334,19860226,   61,    0
104334,19860227,   59,    0
104334,19860228,   59,    0
104334,19860301,   68,    0
104334,19860302,   88,    0
104334,19860303,  112,    0
104334,19860304,   71,    0
104334,19860305,   84,    0
104334,19860306,   91,    0
104334,19860307,   74,    0
104334,19860308,   79,    0
104334,19860309,   67,    0
104334,19860310,   76,    0
104334,19860311,   93,    0
104334,19860312,   62,    0
104334,19860313,   64,    0
104334,19860314,   61,    0
104334,19860315,   45,    0
104334,19860316,   56,    0
104334,19860317,   48,    0
104334,19860318,   88,    0
104334,19860319,  108,    0
104334,19860320,   70,    0
104334,19860321,   72,    0
104334,19860322,   86,    0
104334,19860323,   91,    0
104334,19860324,   99,    0
104334,19860325,   93,    0
104334,19860326,   76,    0
104334,19860327,  104,    0
104334,19860328,   65,    0
104334,19860329,   88,    0
104334,19860330,   76,    0
104334,19860331,   96,    0
104334,19860401,   92,    0
104334,19860402,   71,    0
104334,19860403,   43,    0
104334,19860404,   46,    0
104334,19860405,   65,    0
104334,19860406,   66,    0
104334,19860407,   38,    0
104334,19860408,   60,    0
104334,19860409,   51,    0
104334,19860410,   48,    0
104334,19860411,   33,    0
104334,19860412,   38,    0
104334,19860413,   40,    0
104334,19860414,   60,    0
104334,19860415,   98,    0
104334,19860416,   51,    0
104334,19860417,   42,    0
104334,19860418,   45,    0
104334,19860419,   32,    0
104334,19860420,   34,    0
104334,19860421,   29,    0
104334,19860422,   19,    0
104334,19860423,   68,    0
104334,19860424,   62,    0
104334,19860425,   60,    0
104334,19860426,   64,    0
104334,19860427,   69,    0
104334,19860428,   49,    0
104334,19860429,   13,    0
104334,19860430,   44,    0
104334,19860501,   46,    0
104334,19860502,   41,    0
104334,19860503,   29,    0
104334,19860504,   31,    0
104334,19860505,   19,    0
104334,19860506,   13,    0
104334,19860507,   -4,    0
104334,19860508,   -2,    0
104334,19860509,   15,    0
104334,19860510,  -12,    0
104334,19860511,   18,    0
