LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, LAGUNA NEGRA (STAID: 1337).
Blended and updated with sources: 104342 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
104342,20030201,-9999,    9
104342,20030202,-9999,    9
104342,20030203,-9999,    9
104342,20030204,-9999,    9
104342,20030205,-9999,    9
104342,20030206,-9999,    9
104342,20030207,-9999,    9
104342,20030208,-9999,    9
104342,20030209,-9999,    9
104342,20030210,-9999,    9
104342,20030211,-9999,    9
104342,20030212,-9999,    9
104342,20030213,-9999,    9
104342,20030214,-9999,    9
104342,20030215,-9999,    9
104342,20030216,-9999,    9
104342,20030217,-9999,    9
104342,20030218,-9999,    9
104342,20030219,-9999,    9
104342,20030220,-9999,    9
104342,20030221,-9999,    9
104342,20030222,-9999,    9
104342,20030223,-9999,    9
104342,20030224,-9999,    9
104342,20030225,  141,    0
104342,20030226,  116,    0
104342,20030227,  111,    0
104342,20030228,  108,    0
104342,20030301,  114,    0
104342,20030302,  119,    0
104342,20030303,  156,    0
104342,20030304,  138,    0
104342,20030305,   87,    0
104342,20030306,  149,    0
104342,20030307,  138,    0
104342,20030308,  134,    0
104342,20030309,  122,    0
104342,20030310,  126,    0
104342,20030311,  129,    0
104342,20030312,  114,    0
104342,20030313,  107,    0
104342,20030314,   99,    0
104342,20030315,  102,    0
104342,20030316,  131,    0
104342,20030317,  136,    0
104342,20030318,  121,    0
104342,20030319,  112,    0
104342,20030320,  112,    0
104342,20030321,  130,    0
104342,20030322,  115,    0
104342,20030323,   89,    0
104342,20030324,   98,    0
104342,20030325,  120,    0
104342,20030326,  108,    0
104342,20030327,   93,    0
104342,20030328,   98,    0
104342,20030329,  105,    0
104342,20030330,   96,    0
104342,20030331,   96,    0
104342,20030401,  109,    0
104342,20030402,-9999,    9
104342,20030403,-9999,    9
104342,20030404,   68,    0
104342,20030405,   83,    0
104342,20030406,  106,    0
104342,20030407,   95,    0
104342,20030408,   89,    0
104342,20030409,   86,    0
104342,20030410,  101,    0
104342,20030411,  115,    0
104342,20030412,  125,    0
104342,20030413,  141,    0
104342,20030414,  120,    0
104342,20030415,  106,    0
104342,20030416,   70,    0
104342,20030417,   30,    0
104342,20030418,   14,    0
104342,20030419,   32,    0
104342,20030420,   62,    0
104342,20030421,   55,    0
104342,20030422,   83,    0
104342,20030423,   70,    0
104342,20030424,   82,    0
104342,20030425,   51,    0
104342,20030426,   48,    0
104342,20030427,   47,    0
104342,20030428,   75,    0
104342,20030429,   22,    0
104342,20030430,   44,    0
104342,20030501,   62,    0
104342,20030502,   97,    0
104342,20030503,   94,    0
104342,20030504,   77,    0
104342,20030505,   80,    0
104342,20030506,   93,    0
104342,20030507,  103,    0
104342,20030508,   88,    0
104342,20030509,   68,    0
104342,20030510,   49,    0
104342,20030511,   68,    0
104342,20030512,   59,    0
104342,20030513,   43,    0
104342,20030514,   14,    0
104342,20030515,   44,    0
104342,20030516,   45,    0
104342,20030517,   13,    0
104342,20030518,   36,    0
104342,20030519,   24,    0
104342,20030520,   -6,    0
104342,20030521,  -25,    0
104342,20030522,  -24,    0
104342,20030523,    6,    0
104342,20030524,   33,    0
104342,20030525,   42,    0
104342,20030526,   21,    0
104342,20030527,   54,    0
104342,20030528,   66,    0
104342,20030529,   68,    0
104342,20030530,   67,    0
104342,20030531,   78,    0
104342,20030601,   71,    0
104342,20030602,   15,    0
104342,20030603,   18,    0
104342,20030604,   29,    0
104342,20030605,   -1,    0
104342,20030606,   25,    0
104342,20030607,   64,    0
104342,20030608,   32,    0
104342,20030609,   20,    0
104342,20030610,-9999,    9
104342,20030611,-9999,    9
104342,20030612,-9999,    9
104342,20030613,-9999,    9
104342,20030614,-9999,    9
104342,20030615,  -30,    0
104342,20030616,   12,    0
104342,20030617,   10,    0
104342,20030618,   28,    0
104342,20030619,   63,    0
104342,20030620,   28,    0
104342,20030621,   69,    0
104342,20030622,   52,    0
104342,20030623,   48,    0
104342,20030624,   39,    0
104342,20030625,   38,    0
104342,20030626,   43,    0
104342,20030627,   22,    0
104342,20030628,   58,    0
104342,20030629,   62,    0
104342,20030630,   64,    0
104342,20030701,   57,    0
104342,20030702,   54,    0
104342,20030703,   37,    0
104342,20030704,    2,    0
104342,20030705,  -24,    0
104342,20030706,  -14,    0
104342,20030707,  -34,    0
104342,20030708,  -65,    0
104342,20030709,  -32,    0
104342,20030710,  -17,    0
104342,20030711,   17,    0
104342,20030712,   35,    0
104342,20030713,   25,    0
104342,20030714,  -30,    0
104342,20030715,  -27,    0
104342,20030716,   32,    0
104342,20030717,   66,    0
104342,20030718,   64,    0
104342,20030719,   69,    0
104342,20030720,   -2,    0
104342,20030721,   -9,    0
104342,20030722,  -35,    0
104342,20030723,  -14,    0
104342,20030724,  -35,    0
104342,20030725,  -10,    0
104342,20030726,  -21,    0
104342,20030727,  -44,    0
104342,20030728,  -25,    0
104342,20030729,   32,    0
104342,20030730,   74,    0
104342,20030731,   39,    0
104342,20030801,  -34,    0
104342,20030802,   23,    0
104342,20030803,    8,    0
104342,20030804,  -49,    0
104342,20030805,  -61,    0
104342,20030806,  -31,    0
104342,20030807,    9,    0
104342,20030808,   14,    0
104342,20030809,   58,    0
104342,20030810,   96,    0
104342,20030811,   78,    0
104342,20030812,   53,    0
104342,20030813,   27,    0
104342,20030814,   15,    0
104342,20030815,   60,    0
104342,20030816,   64,    0
104342,20030817,  103,    0
104342,20030818,   80,    0
104342,20030819,   31,    0
104342,20030820,   30,    0
104342,20030821,    3,    0
104342,20030822,  -21,    0
104342,20030823,  -34,    0
104342,20030824,    4,    0
104342,20030825,   56,    0
104342,20030826,   88,    0
104342,20030827,   52,    0
104342,20030828,   35,    0
104342,20030829,   39,    0
104342,20030830,   20,    0
104342,20030831,   53,    0
104342,20030901,   82,    0
104342,20030902,   85,    0
104342,20030903,   74,    0
104342,20030904,   41,    0
104342,20030905,   23,    0
104342,20030906,  -13,    0
104342,20030907,  -54,    0
104342,20030908,  -77,    0
104342,20030909,  -50,    0
104342,20030910,   63,    0
104342,20030911,   48,    0
104342,20030912,   52,    0
104342,20030913,   84,    0
104342,20030914,   50,    0
104342,20030915,   35,    0
104342,20030916,   69,    0
104342,20030917,   56,    0
104342,20030918,   21,    0
104342,20030919,   23,    0
104342,20030920,   68,    0
104342,20030921,   68,    0
104342,20030922,   22,    0
104342,20030923,   24,    0
104342,20030924,   44,    0
104342,20030925,   39,    0
104342,20030926,-9999,    9
104342,20030927,  -10,    0
104342,20030928,   25,    0
104342,20030929,   67,    0
104342,20030930,   73,    0
104342,20031001,   59,    0
104342,20031002,   74,    0
104342,20031003,   70,    0
104342,20031004,   81,    0
104342,20031005,   85,    0
104342,20031006,   77,    0
104342,20031007,   46,    0
104342,20031008,   31,    0
104342,20031009,   43,    0
104342,20031010,   59,    0
104342,20031011,   83,    0
104342,20031012,  104,    0
104342,20031013,-9999,    9
104342,20031014,  129,    0
104342,20031015,   92,    0
104342,20031016,-9999,    9
104342,20031017,-9999,    9
104342,20031018,   65,    0
104342,20031019,   86,    0
104342,20031020,   84,    0
104342,20031021,   67,    0
104342,20031022,   92,    0
104342,20031023,   71,    0
104342,20031024,-9999,    9
104342,20031025,   40,    0
104342,20031026,   46,    0
104342,20031027,   74,    0
104342,20031028,  116,    0
104342,20031029,  121,    0
104342,20031030,-9999,    9
104342,20031031,   93,    0
104342,20031101,  101,    0
104342,20031102,   78,    0
104342,20031103,   58,    0
104342,20031104,   71,    0
104342,20031105,   90,    0
104342,20031106,  100,    0
104342,20031107,-9999,    9
104342,20031108,-9999,    9
104342,20031109,   99,    0
104342,20031110,  102,    0
104342,20031111,   30,    0
104342,20031112,   61,    0
104342,20031113,  117,    0
104342,20031114,  105,    0
104342,20031115,   50,    0
104342,20031116,    5,    0
104342,20031117,    4,    0
104342,20031118,   72,    0
104342,20031119,  115,    0
104342,20031120,  121,    0
104342,20031121,-9999,    9
104342,20031122,  119,    0
104342,20031123,  106,    0
104342,20031124,   93,    0
104342,20031125,   86,    0
104342,20031126,   85,    0
104342,20031127,   92,    0
104342,20031128,   93,    0
104342,20031129,   96,    0
104342,20031130,   96,    0
104342,20031201,   91,    0
104342,20031202,   82,    0
104342,20031203,-9999,    9
104342,20031204,   58,    0
104342,20031205,   92,    0
104342,20031206,   99,    0
104342,20031207,   79,    0
104342,20031208,   47,    0
104342,20031209,   89,    0
104342,20031210,   58,    0
104342,20031211,   89,    0
104342,20031212,-9999,    9
104342,20031213,   80,    0
104342,20031214,   58,    0
104342,20031215,   68,    0
104342,20031216,  108,    0
104342,20031217,  143,    0
104342,20031218,  140,    0
104342,20031219,  129,    0
104342,20031220,-9999,    9
104342,20031221,   99,    0
104342,20031222,  114,    0
104342,20031223,  126,    0
104342,20031224,  116,    0
104342,20031225,  117,    0
104342,20031226,  109,    0
104342,20031227,   88,    0
104342,20031228,  105,    0
104342,20031229,  105,    0
104342,20031230,  106,    0
104342,20031231,  121,    0
104342,20040101,  124,    0
104342,20040102,  127,    0
104342,20040103,  119,    0
104342,20040104,  134,    0
104342,20040105,  138,    0
104342,20040106,  140,    0
104342,20040107,  141,    0
104342,20040108,  139,    0
104342,20040109,  129,    0
104342,20040110,  130,    0
104342,20040111,  150,    0
104342,20040112,  153,    0
104342,20040113,  147,    0
104342,20040114,  164,    0
104342,20040115,  124,    0
104342,20040116,   82,    0
104342,20040117,  107,    0
104342,20040118,  116,    0
104342,20040119,  123,    0
104342,20040120,  125,    0
104342,20040121,  130,    0
104342,20040122,  126,    0
104342,20040123,  105,    0
104342,20040124,  119,    0
104342,20040125,  133,    0
104342,20040126,  131,    0
104342,20040127,  121,    0
104342,20040128,  134,    0
104342,20040129,  131,    0
104342,20040130,  114,    0
104342,20040131,  123,    0
104342,20040201,  131,    0
104342,20040202,  103,    0
104342,20040203,  104,    0
104342,20040204,  104,    0
104342,20040205,  138,    0
104342,20040206,  138,    0
104342,20040207,  128,    0
104342,20040208,  112,    0
104342,20040209,  144,    0
104342,20040210,  157,    0
104342,20040211,  112,    0
104342,20040212,  122,    0
104342,20040213,  131,    0
104342,20040214,  121,    0
104342,20040215,  105,    0
104342,20040216,   81,    0
104342,20040217,  113,    0
104342,20040218,  112,    0
104342,20040219,  145,    0
104342,20040220,  132,    0
104342,20040221,  130,    0
104342,20040222,  132,    0
104342,20040223,  118,    0
104342,20040224,   86,    0
104342,20040225,   99,    0
104342,20040226,  111,    0
104342,20040227,  117,    0
104342,20040228,   94,    0
104342,20040229,  103,    0
104342,20040301,   73,    0
104342,20040302,   79,    0
104342,20040303,  147,    0
104342,20040304,  128,    0
104342,20040305,  120,    0
104342,20040306,   87,    0
104342,20040307,  102,    0
104342,20040308,  116,    0
104342,20040309,  121,    0
104342,20040310,  145,    0
104342,20040311,  108,    0
104342,20040312,  106,    0
104342,20040313,  114,    0
104342,20040314,  121,    0
104342,20040315,  129,    0
104342,20040316,  125,    0
104342,20040317,  111,    0
104342,20040318,  123,    0
104342,20040319,  132,    0
104342,20040320,  143,    0
104342,20040321,  137,    0
104342,20040322,  132,    0
104342,20040323,  138,    0
104342,20040324,  146,    0
104342,20040325,  126,    0
104342,20040326,  117,    0
104342,20040327,  123,    0
104342,20040328,   73,    0
104342,20040329,   71,    0
104342,20040330,   66,    0
104342,20040331,   32,    0
104342,20040401,   50,    0
104342,20040402,   86,    0
104342,20040403,  111,    0
104342,20040404,  115,    0
104342,20040405,   95,    0
104342,20040406,   86,    0
104342,20040407,  110,    0
104342,20040408,  118,    0
104342,20040409,  130,    0
104342,20040410,-9999,    9
104342,20040411,   99,    0
104342,20040412,   87,    0
104342,20040413,  106,    0
104342,20040414,   71,    0
104342,20040415,   61,    0
104342,20040416,   52,    0
104342,20040417,   80,    0
104342,20040418,   72,    0
104342,20040419,   64,    0
104342,20040420,   37,    0
104342,20040421,  -32,    0
104342,20040422,  -44,    0
104342,20040423,  -22,    0
104342,20040424,    2,    0
104342,20040425,    3,    0
104342,20040426,   48,    0
104342,20040427,   66,    0
104342,20040428,   38,    0
104342,20040429,   21,    0
104342,20040430,   58,    0
104342,20040501,   77,    0
104342,20040502,   53,    0
104342,20040503,   37,    0
104342,20040504,   69,    0
104342,20040505,   68,    0
104342,20040506,   77,    0
104342,20040507,  102,    0
104342,20040508,   88,    0
104342,20040509,   80,    0
104342,20040510,   77,    0
104342,20040511,   37,    0
104342,20040512,    9,    0
104342,20040513,   23,    0
104342,20040514,   49,    0
104342,20040515,   53,    0
104342,20040516,   48,    0
104342,20040517,   42,    0
104342,20040518,   64,    0
104342,20040519,   55,    0
104342,20040520,    2,    0
104342,20040521,  -32,    0
104342,20040522,  -23,    0
104342,20040523,  -26,    0
104342,20040524,   -7,    0
104342,20040525,    1,    0
104342,20040526,   44,    0
104342,20040527,   43,    0
104342,20040528,   36,    0
104342,20040529,   17,    0
104342,20040530,   35,    0
104342,20040531,   16,    0
104342,20040601,   29,    0
104342,20040602,   59,    0
104342,20040603,   82,    0
104342,20040604,   72,    0
104342,20040605,   20,    0
104342,20040606,   16,    0
104342,20040607,   39,    0
104342,20040608,    4,    0
104342,20040609,  -54,    0
104342,20040610,  -93,    0
104342,20040611,  -48,    0
104342,20040612,   26,    0
104342,20040613,   45,    0
104342,20040614,   68,    0
104342,20040615,   80,    0
104342,20040616,   26,    0
104342,20040617,   29,    0
104342,20040618,   72,    0
104342,20040619,   40,    0
104342,20040620,  -47,    0
104342,20040621,   13,    0
104342,20040622,  -15,    0
104342,20040623,   38,    0
104342,20040624,   34,    0
104342,20040625,  -11,    0
104342,20040626,   -6,    0
104342,20040627,   44,    0
104342,20040628,   34,    0
104342,20040629,   60,    0
104342,20040630,   40,    0
104342,20040701,   47,    0
104342,20040702,   38,    0
104342,20040703,   48,    0
104342,20040704,   59,    0
104342,20040705,   96,    0
104342,20040706,   86,    0
104342,20040707,   35,    0
104342,20040708,   35,    0
104342,20040709,    2,    0
104342,20040710,   39,    0
104342,20040711,   50,    0
104342,20040712,   14,    0
104342,20040713,  -34,    0
104342,20040714,  -42,    0
104342,20040715,  -18,    0
104342,20040716,   13,    0
104342,20040717,   34,    0
104342,20040718,   25,    0
104342,20040719,   21,    0
104342,20040720,    0,    0
104342,20040721,  -55,    0
104342,20040722,  -51,    0
104342,20040723,  -38,    0
104342,20040724,    4,    0
104342,20040725,   -8,    0
104342,20040726,   -1,    0
104342,20040727,  -34,    0
104342,20040728,  -41,    0
104342,20040729,   -7,    0
104342,20040730,   51,    0
104342,20040731,   46,    0
104342,20040801,   28,    0
104342,20040802,  -39,    0
104342,20040803,  -64,    0
104342,20040804,-9999,    9
104342,20040805,  -75,    0
104342,20040806,  -24,    0
104342,20040807,   63,    0
104342,20040808,   73,    0
104342,20040809,   72,    0
104342,20040810,   62,    0
104342,20040811,-9999,    9
104342,20040812,   57,    0
104342,20040813,   29,    0
104342,20040814,  -21,    0
104342,20040815,  -47,    0
104342,20040816,  -46,    0
104342,20040817,  -61,    0
104342,20040818,  -47,    0
104342,20040819,  -53,    0
104342,20040820,  -81,    0
104342,20040821,  -15,    0
104342,20040822,    8,    0
104342,20040823,   38,    0
104342,20040824,   75,    0
104342,20040825,   81,    0
