LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, GLACIAR ECHAURREN (STAID: 1338).
Blended and updated with sources: 104346 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
104346,19990301,-9999,    9
104346,19990302,-9999,    9
104346,19990303,-9999,    9
104346,19990304,   28,    0
104346,19990305,   11,    0
104346,19990306,    4,    0
104346,19990307,  -13,    0
104346,19990308,   20,    0
104346,19990309,   61,    0
104346,19990310,   71,    0
104346,19990311,-9999,    9
104346,19990312,-9999,    9
104346,19990313,-9999,    9
104346,19990314,   13,    0
104346,19990315,   14,    0
104346,19990316,-9999,    9
104346,19990317,-9999,    9
104346,19990318,-9999,    9
104346,19990319,   13,    0
104346,19990320,   37,    0
104346,19990321,-9999,    9
104346,19990322,-9999,    9
104346,19990323,   34,    0
104346,19990324,-9999,    9
104346,19990325,   43,    0
104346,19990326,-9999,    9
104346,19990327,-9999,    9
104346,19990328,-9999,    9
104346,19990329,-9999,    9
104346,19990330,   -3,    0
104346,19990331,   -7,    0
104346,19990401,-9999,    9
104346,19990402,  -23,    0
104346,19990403,-9999,    9
104346,19990404,-9999,    9
104346,19990405,-9999,    9
104346,19990406,-9999,    9
104346,19990407,-9999,    9
104346,19990408,-9999,    9
104346,19990409,-9999,    9
104346,19990410,-9999,    9
104346,19990411,-9999,    9
104346,19990412,-9999,    9
104346,19990413,-9999,    9
104346,19990414,-9999,    9
104346,19990415,  -34,    0
104346,19990416,-9999,    9
104346,19990417,   42,    0
104346,19990418,-9999,    9
104346,19990419,   26,    0
104346,19990420,   13,    0
104346,19990421,-9999,    9
104346,19990422,-9999,    9
104346,19990423,   30,    0
104346,19990424,-9999,    9
104346,19990425,  -46,    0
104346,19990426,-9999,    9
104346,19990427,-9999,    9
104346,19990428,-9999,    9
104346,19990429,    8,    0
104346,19990430,    9,    0
104346,19990501,   24,    0
104346,19990502,   31,    0
104346,19990503,   18,    0
104346,19990504,  -25,    0
104346,19990505,  -45,    0
104346,19990506,  -43,    0
104346,19990507,-9999,    9
104346,19990508,   41,    0
104346,19990509,   26,    0
104346,19990510,   17,    0
104346,19990511,-9999,    9
104346,19990512,   11,    0
104346,19990513,   17,    0
104346,19990514,-9999,    9
104346,19990515,   15,    0
104346,19990516,-9999,    9
104346,19990517,-9999,    9
104346,19990518,   14,    0
104346,19990519,  178,    0
104346,19990520,   18,    0
104346,19990521,    3,    0
104346,19990522,   16,    0
104346,19990523,   55,    0
104346,19990524,   57,    0
104346,19990525,   66,    0
104346,19990526,  102,    0
104346,19990527,   93,    0
104346,19990528,-9999,    9
104346,19990529,-9999,    9
104346,19990530,-9999,    9
104346,19990531,-9999,    9
104346,19990601,   26,    0
104346,19990602,   37,    0
104346,19990603,   20,    0
104346,19990604,   34,    0
104346,19990605,-9999,    9
104346,19990606,-9999,    9
104346,19990607,-9999,    9
104346,19990608,-9999,    9
104346,19990609,-9999,    9
104346,19990610,   29,    0
104346,19990611,   56,    0
104346,19990612,   31,    0
104346,19990613,   13,    0
104346,19990614,   66,    0
104346,19990615,-9999,    9
104346,19990616,   76,    0
104346,19990617,   96,    0
104346,19990618,   53,    0
104346,19990619,   22,    0
104346,19990620,   32,    0
104346,19990621,   73,    0
104346,19990622,   85,    0
104346,19990623,   94,    0
104346,19990624,  104,    0
104346,19990625,   49,    0
104346,19990626,   26,    0
104346,19990627,   59,    0
104346,19990628,   94,    0
104346,19990629,  102,    0
104346,19990630,  106,    0
104346,19990701,  126,    0
104346,19990702,  110,    0
104346,19990703,-9999,    9
104346,19990704,-9999,    9
104346,19990705,-9999,    9
