LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHILE, GLACIAR TEMPANO (STAID: 1339).
Blended and updated with sources: 104350 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
104350,20110501,   25,    0
104350,20110502,   49,    0
104350,20110503,   56,    0
104350,20110504,   60,    0
104350,20110505,   38,    0
104350,20110506,   72,    0
104350,20110507,-9999,    9
104350,20110508,-9999,    9
104350,20110509,-9999,    9
104350,20110510,   27,    0
104350,20110511,   37,    0
104350,20110512,   51,    0
104350,20110513,   49,    0
104350,20110514,-9999,    9
104350,20110515,   45,    0
104350,20110516,   56,    0
104350,20110517,   85,    0
104350,20110518,   29,    0
104350,20110519,   27,    0
104350,20110520,   27,    0
104350,20110521,   30,    0
104350,20110522,   23,    0
104350,20110523,   59,    0
104350,20110524,   55,    0
104350,20110525,   47,    0
104350,20110526,   68,    0
104350,20110527,   47,    0
104350,20110528,   37,    0
104350,20110529,   52,    0
104350,20110530,   55,    0
104350,20110531,   20,    0
104350,20110601,-9999,    9
104350,20110602,-9999,    9
104350,20110603,-9999,    9
104350,20110604,-9999,    9
104350,20110605,-9999,    9
104350,20110606,-9999,    9
104350,20110607,-9999,    9
104350,20110608,-9999,    9
104350,20110609,-9999,    9
104350,20110610,-9999,    9
104350,20110611,-9999,    9
104350,20110612,-9999,    9
104350,20110613,-9999,    9
104350,20110614,-9999,    9
104350,20110615,-9999,    9
104350,20110616,-9999,    9
104350,20110617,-9999,    9
104350,20110618,-9999,    9
104350,20110619,-9999,    9
104350,20110620,-9999,    9
104350,20110621,-9999,    9
104350,20110622,-9999,    9
104350,20110623,-9999,    9
104350,20110624,-9999,    9
104350,20110625,-9999,    9
104350,20110626,-9999,    9
104350,20110627,-9999,    9
104350,20110628,-9999,    9
104350,20110629,-9999,    9
104350,20110630,-9999,    9
104350,20110701,-9999,    9
104350,20110702,-9999,    9
104350,20110703,-9999,    9
104350,20110704,-9999,    9
104350,20110705,-9999,    9
104350,20110706,-9999,    9
104350,20110707,-9999,    9
104350,20110708,-9999,    9
104350,20110709,-9999,    9
104350,20110710,-9999,    9
104350,20110711,-9999,    9
104350,20110712,-9999,    9
104350,20110713,-9999,    9
104350,20110714,-9999,    9
104350,20110715,-9999,    9
104350,20110716,-9999,    9
104350,20110717,-9999,    9
104350,20110718,-9999,    9
104350,20110719,-9999,    9
104350,20110720,-9999,    9
104350,20110721,-9999,    9
104350,20110722,-9999,    9
104350,20110723,-9999,    9
104350,20110724,-9999,    9
104350,20110725,-9999,    9
104350,20110726,-9999,    9
104350,20110727,-9999,    9
104350,20110728,-9999,    9
104350,20110729,-9999,    9
104350,20110730,-9999,    9
104350,20110731,-9999,    9
104350,20110801,-9999,    9
104350,20110802,-9999,    9
104350,20110803,-9999,    9
104350,20110804,-9999,    9
104350,20110805,-9999,    9
104350,20110806,-9999,    9
104350,20110807,-9999,    9
104350,20110808,-9999,    9
104350,20110809,-9999,    9
104350,20110810,-9999,    9
104350,20110811,-9999,    9
104350,20110812,-9999,    9
104350,20110813,-9999,    9
104350,20110814,-9999,    9
104350,20110815,-9999,    9
104350,20110816,-9999,    9
104350,20110817,-9999,    9
104350,20110818,-9999,    9
104350,20110819,-9999,    9
104350,20110820,-9999,    9
104350,20110821,-9999,    9
104350,20110822,-9999,    9
104350,20110823,-9999,    9
104350,20110824,-9999,    9
104350,20110825,-9999,    9
104350,20110826,-9999,    9
104350,20110827,-9999,    9
104350,20110828,-9999,    9
104350,20110829,-9999,    9
104350,20110830,-9999,    9
104350,20110831,-9999,    9
104350,20110901,-9999,    9
104350,20110902,-9999,    9
104350,20110903,-9999,    9
104350,20110904,-9999,    9
104350,20110905,-9999,    9
104350,20110906,-9999,    9
104350,20110907,-9999,    9
104350,20110908,-9999,    9
104350,20110909,-9999,    9
104350,20110910,-9999,    9
104350,20110911,-9999,    9
104350,20110912,-9999,    9
104350,20110913,-9999,    9
104350,20110914,-9999,    9
104350,20110915,-9999,    9
104350,20110916,-9999,    9
104350,20110917,-9999,    9
104350,20110918,-9999,    9
104350,20110919,-9999,    9
104350,20110920,-9999,    9
104350,20110921,-9999,    9
104350,20110922,-9999,    9
104350,20110923,-9999,    9
104350,20110924,-9999,    9
104350,20110925,-9999,    9
104350,20110926,-9999,    9
104350,20110927,-9999,    9
104350,20110928,-9999,    9
104350,20110929,-9999,    9
104350,20110930,-9999,    9
104350,20111001,-9999,    9
104350,20111002,-9999,    9
104350,20111003,-9999,    9
104350,20111004,-9999,    9
104350,20111005,-9999,    9
104350,20111006,-9999,    9
104350,20111007,-9999,    9
104350,20111008,-9999,    9
104350,20111009,-9999,    9
104350,20111010,-9999,    9
104350,20111011,-9999,    9
104350,20111012,-9999,    9
104350,20111013,-9999,    9
104350,20111014,-9999,    9
104350,20111015,-9999,    9
104350,20111016,-9999,    9
104350,20111017,-9999,    9
104350,20111018,-9999,    9
104350,20111019,-9999,    9
104350,20111020,-9999,    9
104350,20111021,-9999,    9
104350,20111022,-9999,    9
104350,20111023,-9999,    9
104350,20111024,-9999,    9
104350,20111025,-9999,    9
