LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 76 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 78- 81 HGTH   : Station elevation in meters
 83- 86 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 88- 95 BEGIN  : Begin date YYYYMMDD
 97-104 END    : End date YYYYMMDD
106-110 PARID  : Participant identifier
112-162 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,      LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME

  553,101182,CAQUENA                                 ,CL,-18:03:15,-69:12:06,4400, TG1,19761004,19930930,    8,DGA-WEB                                           
  553,101218,PARINACOTA EX ENDESA                    ,CL,-18:12:15,-69:16:06,4420, TG1,19890207,19940101,    8,DGA-WEB                                           
  557,101198,CHUNGARA AJATA                          ,CL,-18:14:07,-69:11:00,4585, TG1,19910511,19940102,    8,DGA-WEB                                           
  562,101182,CAQUENA                                 ,CL,-18:03:15,-69:12:06,4400, TG1,19761004,19930930,    8,DGA-WEB                                           
  562,101218,PARINACOTA EX ENDESA                    ,CL,-18:12:15,-69:16:06,4420, TG1,19890207,19940101,    8,DGA-WEB                                           
  564,101226,GUALLATIRE                              ,CL,-18:29:54,-69:09:17,4240, TG1,19681220,19710930,    8,DGA-WEB                                           
  565,101230,CHILCAYA                                ,CL,-18:47:38,-69:05:04,4270, TG1,19711026,19870327,    8,DGA-WEB                                           
  584,101306,PACOLLO                                 ,CL,-18:10:37,-69:30:33,4185, TG1,19781120,19940102,    8,DGA-WEB                                           
  585,101310,PUTRE                                   ,CL,-18:11:57,-69:33:37,3545, TG1,19760120,19940102,    8,DGA-WEB                                           
  585,101318,PUTRE (DCP)                             ,CL,-18:11:42,-69:33:32,3560, TG1,20020117,20050831,    8,DGA-WEB                                           
  585,101326,MURMUNTANE                              ,CL,-18:21:07,-69:33:07,3550, TG1,19700601,19841122,    8,DGA-WEB                                           
  587,101310,PUTRE                                   ,CL,-18:11:57,-69:33:37,3545, TG1,19760120,19940102,    8,DGA-WEB                                           
  587,101318,PUTRE (DCP)                             ,CL,-18:11:42,-69:33:32,3560, TG1,20020117,20050831,    8,DGA-WEB                                           
  587,101326,MURMUNTANE                              ,CL,-18:21:07,-69:33:07,3550, TG1,19700601,19841122,    8,DGA-WEB                                           
  588,101322,LLUTA                                   ,CL,-18:24:37,-70:10:09, 290, TG1,19681217,19931226,    8,DGA-WEB                                           
  588,104338,LA RIVERA                               ,CL,-18:31:42,-70:09:51, 310, TG1,19700714,19731113,    8,DGA-WEB                                           
  589,101310,PUTRE                                   ,CL,-18:11:57,-69:33:37,3545, TG1,19760120,19940102,    8,DGA-WEB                                           
  589,101318,PUTRE (DCP)                             ,CL,-18:11:42,-69:33:32,3560, TG1,20020117,20050831,    8,DGA-WEB                                           
  589,101326,MURMUNTANE                              ,CL,-18:21:07,-69:33:07,3550, TG1,19700601,19841122,    8,DGA-WEB                                           
  595,101350,ARICA OFICINA                           ,CL,-18:28:39,-70:19:15,  20, TG1,19741231,19891216,    8,DGA-WEB                                           
  595,101358,U. DEL NORTE                            ,CL,-18:29:00,-70:17:37,  55, TG1,19750502,19850629,    8,DGA-WEB                                           
  596,101354,AZAPA                                   ,CL,-18:30:56,-70:10:50, 365, TG1,19681217,19940102,    8,DGA-WEB                                           
  597,101350,ARICA OFICINA                           ,CL,-18:28:39,-70:19:15,  20, TG1,19741231,19891216,    8,DGA-WEB                                           
  597,101358,U. DEL NORTE                            ,CL,-18:29:00,-70:17:37,  55, TG1,19750502,19850629,    8,DGA-WEB                                           
  598,101362,EL BUITRE AERODROMO                     ,CL,-18:30:43,-70:17:03, 110, TG1,19850827,19931231,    8,DGA-WEB                                           
  599,101366,CHACA                                   ,CL,-18:49:01,-70:09:00, 350, TG1,19681218,19791128,    8,DGA-WEB                                           
